dataset,target_snr_db,packet_count,traditional_fft_symbol_ser,traditional_fft_symbol_accuracy,traditional_fft_crc_valid_rate,multi_offset_argmax_symbol_ser,multi_offset_argmax_symbol_accuracy,multi_offset_argmax_crc_valid_rate,current_selected_symbol_ser,current_selected_symbol_accuracy,current_selected_crc_valid_rate,savaux_paper_symbol_ser,savaux_paper_symbol_accuracy,savaux_paper_crc_valid_rate,structured_path_symbol_ser,structured_path_symbol_accuracy,structured_path_crc_valid_rate,savaux_gain_vs_current,structured_gain_vs_current,structured_gain_vs_savaux,structured_crc_gain_vs_current,structured_crc_gain_vs_savaux,mean_path_override_count,mean_path_fix_count,mean_path_break_count,mean_path_ratio
0_0_0_10_14_8,-22.0,10,0.6228571428571428,0.3771428571428572,0.0,0.21142857142857144,0.7885714285714286,0.2,0.08285714285714287,0.9171428571428571,0.4,0.019999999999999997,0.98,0.6,0.019999999999999997,0.98,0.6,0.06285714285714286,0.06285714285714286,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,2.3013856121746423
0_0_0_10_14_8,-23.0,10,0.7485714285714286,0.25142857142857145,0.0,0.33999999999999997,0.66,0.0,0.15999999999999998,0.8400000000000001,0.3,0.05142857142857142,0.9485714285714286,0.5,0.05142857142857142,0.9485714285714286,0.5,0.10857142857142855,0.10857142857142855,0.0,0.2,0.0,0.0,0.0,0.0,2.4380112235439784
0_0_0_10_14_8,-24.0,10,0.8200000000000001,0.17999999999999994,0.0,0.48285714285714293,0.5171428571428571,0.0,0.2942857142857143,0.7057142857142857,0.0,0.13999999999999999,0.86,0.3,0.13999999999999999,0.86,0.3,0.15428571428571433,0.15428571428571433,0.0,0.3,0.0,0.1,0.0,0.0,2.565749687345163
0_0_0_10_14_8,-25.0,10,0.8885714285714286,0.11142857142857143,0.0,0.6199999999999999,0.3800000000000001,0.0,0.4428571428571429,0.5571428571428572,0.0,0.2828571428571428,0.7171428571428572,0.1,0.2828571428571428,0.7171428571428572,0.1,0.1600000000000001,0.1600000000000001,0.0,0.1,0.0,0.9,0.2,0.2,2.712139240537455
0_0_0_10_14_8,-26.0,10,0.917142857142857,0.08285714285714296,0.0,0.7371428571428571,0.2628571428571429,0.0,0.5771428571428572,0.4228571428571428,0.0,0.3857142857142857,0.6142857142857143,0.0,0.3885714285714285,0.6114285714285714,0.0,0.1914285714285715,0.18857142857142867,-0.002857142857142836,0.0,0.0,0.9,0.1,0.2,2.811583801123731
0_0_0_10_14_16,-22.0,11,0.6805194805194805,0.3194805194805195,0.0,0.1688311688311688,0.8311688311688312,0.18181818181818182,0.051948051948051945,0.948051948051948,0.36363636363636365,0.025974025974025972,0.974025974025974,0.6363636363636364,0.025974025974025972,0.974025974025974,0.6363636363636364,0.025974025974025972,0.025974025974025972,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,2.336590937884836
0_0_0_10_14_16,-23.0,11,0.8181818181818182,0.18181818181818177,0.0,0.3376623376623376,0.6623376623376624,0.0,0.14025974025974025,0.8597402597402597,0.18181818181818182,0.05974025974025974,0.9402597402597402,0.18181818181818182,0.05714285714285714,0.9428571428571428,0.2727272727272727,0.08051948051948052,0.08311688311688312,0.0025974025974025983,0.09090909090909088,0.09090909090909088,0.09090909090909091,0.09090909090909091,0.0,2.475785530814275
0_0_0_10_14_16,-24.0,11,0.890909090909091,0.10909090909090902,0.0,0.509090909090909,0.49090909090909096,0.0,0.2727272727272727,0.7272727272727273,0.09090909090909091,0.11688311688311687,0.8831168831168832,0.18181818181818182,0.11688311688311687,0.8831168831168832,0.18181818181818182,0.15584415584415584,0.15584415584415584,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,2.6149868963629874
0_0_0_10_14_16,-25.0,11,0.9142857142857145,0.08571428571428552,0.0,0.6493506493506493,0.35064935064935066,0.0,0.4597402597402597,0.5402597402597402,0.0,0.24935064935064932,0.7506493506493507,0.0,0.25454545454545446,0.7454545454545456,0.0,0.2103896103896104,0.20519480519480526,-0.005194805194805141,0.0,0.0,0.45454545454545453,0.09090909090909091,0.2727272727272727,2.7712600300344095
0_0_0_10_14_16,-26.0,11,0.9454545454545454,0.054545454545454564,0.0,0.7610389610389611,0.23896103896103893,0.0,0.5922077922077922,0.4077922077922078,0.0,0.4,0.6,0.0,0.39999999999999997,0.6000000000000001,0.0,0.19220779220779216,0.19220779220779222,5.551115123125783e-17,0.0,0.0,0.5454545454545454,0.18181818181818182,0.18181818181818182,2.892231656394789
