dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_8,savaux_paper,current_selected,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_8,savaux_paper,current_selected,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_8,savaux_paper,current_selected,CRC/PRR>=50%,,,,missing_threshold
mean_of_datasets,multi_offset_argmax,traditional_fft,SER<=10%,,,,missing_threshold
mean_of_datasets,multi_offset_argmax,traditional_fft,accuracy>=90%,,,,missing_threshold
mean_of_datasets,multi_offset_argmax,traditional_fft,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,multi_offset_argmax,traditional_fft,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,multi_offset_argmax,traditional_fft,CRC/PRR>=50%,,,,missing_threshold
mean_of_datasets,current_selected,traditional_fft,SER<=10%,,,,missing_threshold
mean_of_datasets,current_selected,traditional_fft,accuracy>=90%,,,,missing_threshold
mean_of_datasets,current_selected,traditional_fft,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,current_selected,traditional_fft,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,current_selected,traditional_fft,CRC/PRR>=50%,,,,missing_threshold
mean_of_datasets,savaux_paper,traditional_fft,SER<=10%,,,,missing_threshold
mean_of_datasets,savaux_paper,traditional_fft,accuracy>=90%,,,,missing_threshold
mean_of_datasets,savaux_paper,traditional_fft,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,savaux_paper,traditional_fft,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,savaux_paper,traditional_fft,CRC/PRR>=50%,,,,missing_threshold
mean_of_datasets,savaux_paper,current_selected,SER<=10%,,,,missing_threshold
mean_of_datasets,savaux_paper,current_selected,accuracy>=90%,,,,missing_threshold
mean_of_datasets,savaux_paper,current_selected,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,savaux_paper,current_selected,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,savaux_paper,current_selected,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_16,structured_path,traditional_fft,SER<=10%,,,,missing_threshold
0_0_0_10_14_16,structured_path,traditional_fft,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_16,structured_path,traditional_fft,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,structured_path,traditional_fft,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_16,structured_path,current_selected,SER<=10%,-23.717391304347828,-22.544117647058822,1.1732736572890055,ok
0_0_0_10_14_16,structured_path,current_selected,accuracy>=90%,-23.717391304347828,-22.544117647058822,1.1732736572890055,ok
