dataset,target_snr_db,seed_count,symbol_count,raw_savaux_ser,raw_phase_line_ser,symbol_savaux_ser,symbol_phase_line_ser,stage1_top40_recall,actual_viterbi_candidate_recall,mean_evidence_topk_size,mean_actual_viterbi_candidate_count,raw_A_savaux_ok_phase_ok,raw_A_savaux_ok_phase_ok_rate,raw_B_savaux_wrong_phase_rescue,raw_B_savaux_wrong_phase_rescue_rate,raw_C_savaux_ok_phase_break,raw_C_savaux_ok_phase_break_rate,raw_D_gt_not_in_viterbi_candidates,raw_D_gt_not_in_viterbi_candidates_rate,raw_E_gt_in_viterbi_candidates_phase_miss,raw_E_gt_in_viterbi_candidates_phase_miss_rate,raw_Z_other,raw_Z_other_rate
0_0_0_10_14_16,-26.0,5,1925,0.4077922077922078,0.38597402597402597,0.4077922077922078,0.38597402597402597,0.9402597402597402,0.7641558441558441,40.0,11.822857142857142,1118,0.5807792207792207,64,0.03324675324675325,22,0.011428571428571429,454,0.23584415584415586,267,0.13870129870129871,0,0.0
0_0_0_10_14_16,-25.0,5,1925,0.24727272727272728,0.21506493506493507,0.24727272727272728,0.21506493506493507,0.9787012987012987,0.8784415584415585,40.0,8.953246753246754,1437,0.7464935064935065,74,0.03844155844155844,12,0.006233766233766234,234,0.12155844155844156,168,0.08727272727272728,0,0.0
0_0_0_10_14_16,-24.0,5,1925,0.12311688311688311,0.09922077922077922,0.12311688311688311,0.09922077922077922,0.9942857142857143,0.9407792207792208,40.0,5.267532467532468,1683,0.8742857142857143,51,0.026493506493506493,5,0.0025974025974025974,114,0.05922077922077922,72,0.0374025974025974,0,0.0
0_0_0_10_14_16,-23.0,5,1925,0.03896103896103896,0.027532467532467533,0.03896103896103896,0.027532467532467533,0.9979220779220779,0.9838961038961039,40.0,2.743896103896104,1849,0.9605194805194806,23,0.011948051948051949,1,0.0005194805194805195,31,0.016103896103896103,21,0.01090909090909091,0,0.0
0_0_0_10_14_16,-22.0,5,1925,0.01090909090909091,0.006233766233766234,0.01090909090909091,0.006233766233766234,1.0,0.9953246753246753,40.0,1.4488311688311688,1904,0.9890909090909091,9,0.004675324675324675,0,0.0,9,0.004675324675324675,3,0.0015584415584415584,0,0.0
