dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,savaux_top1_raw_bin,phase_line_raw_bin,gt_symbol,savaux_top1_symbol,phase_line_symbol,gt_in_evidence_top40_raw,gt_in_actual_viterbi_candidates_raw,evidence_topk_size,actual_viterbi_candidate_count,effective_top_l,pre_hard_anchor_count,hard_anchor_rmse_pi,raw_category,symbol_category
0_0_0_10_14_16,-22.0,42,1,0,222,222,222,221,221,221,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,1,826,826,826,825,825,825,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,2,922,922,922,921,921,921,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,3,718,718,718,717,717,717,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,4,107,107,107,106,106,106,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,5,468,468,468,467,467,467,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,6,89,89,89,88,88,88,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,7,713,713,713,712,712,712,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,8,865,865,865,864,864,864,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,9,492,492,492,491,491,491,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,10,765,765,765,764,764,764,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,11,1023,1023,1023,1022,1022,1022,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,12,597,597,597,596,596,596,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,13,562,562,562,561,561,561,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,14,478,478,478,477,477,477,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,15,267,267,267,266,266,266,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,16,917,917,917,916,916,916,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,17,656,656,656,655,655,655,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,18,889,889,889,888,888,888,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,19,510,510,510,509,509,509,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,20,860,860,860,859,859,859,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,21,553,553,553,552,552,552,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,22,629,629,629,628,628,628,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,23,759,759,759,758,758,758,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,24,874,874,874,873,873,873,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,25,720,720,720,719,719,719,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,26,314,314,314,313,313,313,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,27,602,602,602,601,601,601,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,28,7,7,7,6,6,6,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,29,610,610,610,609,609,609,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,30,807,807,807,806,806,806,1,1,40,1,40,35,0.14603067436006345,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
