file_name,packet_index,event_index,anchor_count,preamble_len,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,netid_valid,payload_cfo_correction_mode,anchor_slope_pi_per_symbol,anchor_intercept_pi,anchor_fit_r2,anchor_fit_rmse_pi,anchor_residual_std_pi,anchor_residual_peak_to_peak_pi,anchor_bin_mode,anchor_bin,anchor_signed_bin,anchor_bin_argmax_rate,anchor_mean_er,anchor_mean_margin_db,payload_symbol_count,payload_phase_offset_rad,payload_phase_offset_pi,payload_residual_direct_rmse_pi,payload_residual_direct_std_pi,payload_residual_aligned_rmse_pi,payload_residual_aligned_std_pi,payload_residual_aligned_peak_to_peak_pi,payload_own_slope_pi_per_symbol,payload_own_fit_r2,payload_own_fit_rmse_pi,preamble_payload_slope_delta_pi_per_symbol,payload_argmax_correct_rate,payload_gt_top8_recall,payload_gt_top16_recall,payload_gt_top32_recall,payload_mean_gt_rank,payload_mean_gt_er
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,1,1,12,16.0,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,1,continuous,-0.27315219950003283,0.24503881402679567,0.7692632472045602,0.5164199293601419,0.47028178773857404,1.4921743068876392,modal_argmax,1,1,0.08333333333333333,0.002666821418409951,0.6023685450829811,35,-0.23008655964641878,-0.07323882661347153,0.5364718457074215,0.5363225998495739,0.5397337467555103,0.5363225998495739,1.745102183117951,-0.04786782978770525,0.6599361618671242,0.3470348475531025,0.22528436971232757,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.3142857142857143,288.0857142857143,0.002403601184630974
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,2,2,12,16.0,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,1,continuous,0.07286435374312517,0.03831235133277603,0.265274961059062,0.41860730577362504,0.41860730577362504,1.4187615629373358,modal_argmax,78,78,0.08333333333333333,0.0011073427541715426,0.5008953373517219,35,-2.400113907802998,-0.7639799848209053,0.601651125522391,0.5922360050221525,0.5293436373154181,0.5286154493704317,1.943519726107105,-0.10055948358443324,0.9331204552632011,0.2718948110425849,-0.1734238373275584,0.0,0.11428571428571428,0.11428571428571428,0.2857142857142857,318.8285714285714,0.0021793481597142997
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,3,3,12,16.0,10,125000.0,500000.0,-24,-0.22814255140766385,-0.006209796635074755,1,continuous,0.19175795583020097,0.026303247545531483,0.6430859195437796,0.4931489666810091,0.4931489666810092,1.6920313314078386,modal_argmax,485,485,0.16666666666666666,0.0022359806672966553,0.6336831571207515,35,-1.4585969900977387,-0.4642858419060309,0.5584066147324563,0.5545515086715413,0.5598969325706433,0.5511138430437387,1.8234460981099507,-0.08428948368167902,0.7176094132379164,0.534016312905009,-0.27604743951188,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.42857142857142855,174.82857142857142,0.002846075081370518
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,5,5,12,16.0,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,1,continuous,-0.21068498073681932,-0.27823739166111516,0.8599147130245169,0.29354828317597936,0.29354828317597936,0.8714570362827855,modal_argmax,85,85,0.08333333333333333,0.001172654992959401,0.7465656510310349,35,0.8318412892846743,0.26478330611518236,0.5221516571680376,0.5065070632039593,0.5163049914470863,0.5099461123340218,1.9126862431337481,-0.11487773679486869,0.9484432743140708,0.2705035320684089,0.09580724394195063,0.0,0.11428571428571428,0.2,0.37142857142857144,225.0857142857143,0.0025650506896110377
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,6,6,12,16.0,10,125000.0,500000.0,-24,-0.2696020429472565,-0.006220422914431837,1,continuous,-0.47494296896656485,-0.19154921600690666,0.9887443745810996,0.1749289387834831,0.1749289387834831,0.8067869132679598,modal_argmax,1,1,0.08333333333333333,0.0022190791233518965,0.9079607372130422,35,1.1499986317703723,0.3660559335903422,0.5916464952452678,0.5915198929255192,0.5443720430609467,0.5386315219883286,1.7150549619107447,-0.10501915439299822,0.8803968967101163,0.3909314186667405,0.3699238145735666,0.02857142857142857,0.2,0.2571428571428571,0.34285714285714286,190.62857142857143,0.002839321036321103
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,8,8,12,16.0,10,125000.0,500000.0,-24,-0.3483401354552673,-0.006240603889546665,1,continuous,-0.03090260848727133,-0.6825252221239122,0.05234017547894387,0.45392194876327435,0.4539219487632744,1.4341154700929681,modal_argmax,11,11,0.08333333333333333,0.0016899145153252398,0.6886918170974167,35,1.4479669788729455,0.46090220424293454,0.5710083412589667,0.557094460757173,0.47355464384094814,0.4691576267546617,1.7892080643163149,-0.11265471707632821,0.9626941556555226,0.22397200424525954,-0.08175210858905688,0.02857142857142857,0.17142857142857143,0.22857142857142856,0.4,190.68571428571428,0.0027172368702871675
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,9,9,12,16.0,10,125000.0,500000.0,-24,-0.3905926756700688,-0.006251433431328191,1,continuous,-0.10126239947190586,-2.26794393170826,0.1434610521924804,0.8541460988408079,0.5391640328419302,1.795598280964125,modal_argmax,1,1,0.08333333333333333,0.0025221728877478414,0.5174836324297952,35,3.0978818554646854,0.9860864208237943,0.7571999127464538,0.7228479625901535,0.36964856727394013,0.3694674741847645,1.6872210598861739,-0.023168482650147117,0.17701580460039956,0.504530474648052,0.07809391682175874,0.02857142857142857,0.14285714285714285,0.14285714285714285,0.22857142857142856,307.1714285714286,0.002111866542457353
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,10,10,12,16.0,10,125000.0,500000.0,-24,-0.439221980632291,-0.006263897370471676,1,continuous,0.2152080909289571,-0.237655908584469,0.7914021482764257,0.3814101919646901,0.3814101919646901,1.4032797254547633,modal_argmax,0,0,0.08333333333333333,0.001343367272147441,0.919778953145792,35,-1.454218734953554,-0.46289220000940184,0.5749843134442136,0.5717252849160647,0.5640404752613998,0.5613148712737147,1.9613381218881172,-0.12893904692033142,0.9484636946979388,0.3035504114720053,-0.3441471378492885,0.05714285714285714,0.17142857142857143,0.2,0.2857142857142857,267.51428571428573,0.002612872013950281
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,11,11,12,16.0,10,125000.0,500000.0,-24,0.12328787264913654,-0.0061197232231266305,1,continuous,-0.056898987634867906,1.0882382929477017,0.17432377317846437,0.42747283015831733,0.42747283015831733,1.711555934841607,modal_argmax,42,42,0.08333333333333333,0.0013362085656191574,0.5975407458246629,35,0.38324897118685025,0.12199193639854118,0.5386335371033035,0.5206131455150147,0.5105505000375691,0.5052597344355518,1.7660317839104447,-0.06706759531421874,0.33012907636074995,0.9648648741738611,-0.010168607679350836,0.05714285714285714,0.2571428571428571,0.37142857142857144,0.4,126.91428571428571,0.0037267709811825383
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,12,12,12,16.0,10,125000.0,500000.0,-24,-0.11851083147497382,-0.006181697465520549,1,continuous,-0.20987837471839327,-0.49857749455907924,0.9185682996766229,0.21571786476424276,0.21571786476424276,0.8318469601853121,modal_argmax,0,0,0.08333333333333333,0.00340663569456123,0.5760714587229155,35,2.7367756064161957,0.871142731788914,0.6177906997247182,0.6149722646413046,0.5495859654256767,0.5477451119908368,1.9110261572109428,-0.046603690864656135,0.100407732205117,1.4088335211893543,0.16327468385373714,0.08571428571428572,0.2,0.3142857142857143,0.42857142857142855,111.14285714285714,0.003513021168566875
