timing_error_samples_1m,timing_error_chips,cfo_error_bins,cfo_error_hz,trial_count,error_count,ser,mean_true_margin_db
-4.0,-0.5,-2.0,-61.03515625,128,128,1.0,-9.005203936998933
-4.0,-0.5,-1.0,-30.517578125,128,49,0.3828125,0.38267017167864104
-4.0,-0.5,-0.75,-22.88818359375,128,65,0.5078125,-0.21662463952947572
-4.0,-0.5,-0.5,-15.2587890625,128,73,0.5703125,-2.2254080262666407
-4.0,-0.5,-0.25,-7.62939453125,128,76,0.59375,-1.8215811305729646
-4.0,-0.5,0.0,0.0,128,104,0.8125,-1.8271374729025518
-4.0,-0.5,0.25,7.62939453125,128,101,0.7890625,-3.8449980276950884
-4.0,-0.5,0.5,15.2587890625,128,116,0.90625,-7.98706960531047
-4.0,-0.5,0.75,22.88818359375,128,128,1.0,-10.581577292984726
-4.0,-0.5,1.0,30.517578125,128,128,1.0,-9.67856035781775
-4.0,-0.5,2.0,61.03515625,128,128,1.0,-11.230465503971663
-2.0,-0.25,-2.0,-61.03515625,128,128,1.0,-11.875669082709628
-2.0,-0.25,-1.0,-30.517578125,128,128,1.0,-7.814609744453824
-2.0,-0.25,-0.75,-22.88818359375,128,104,0.8125,-5.311988019573247
-2.0,-0.25,-0.5,-15.2587890625,128,66,0.515625,-0.5403233937458527
-2.0,-0.25,-0.25,-7.62939453125,128,21,0.1640625,2.35948822810973
-2.0,-0.25,0.0,0.0,128,3,0.0234375,2.9496990277226343
-2.0,-0.25,0.25,7.62939453125,128,36,0.28125,0.9682139507849514
-2.0,-0.25,0.5,15.2587890625,128,99,0.7734375,-3.957548651086262
-2.0,-0.25,0.75,22.88818359375,128,125,0.9765625,-10.802927924616405
-2.0,-0.25,1.0,30.517578125,128,128,1.0,-11.501911283798828
-2.0,-0.25,2.0,61.03515625,128,128,1.0,-12.607680400544176
-1.0,-0.125,-2.0,-61.03515625,128,128,1.0,-13.981675619873851
-1.0,-0.125,-1.0,-30.517578125,128,128,1.0,-12.279550307672043
-1.0,-0.125,-0.75,-22.88818359375,128,120,0.9375,-6.71567026332105
-1.0,-0.125,-0.5,-15.2587890625,128,53,0.4140625,0.1565738381610936
-1.0,-0.125,-0.25,-7.62939453125,128,5,0.0390625,3.283327895188267
-1.0,-0.125,0.0,0.0,128,0,0.0,3.810848232196787
-1.0,-0.125,0.25,7.62939453125,128,17,0.1328125,2.2892513668216425
-1.0,-0.125,0.5,15.2587890625,128,99,0.7734375,-2.6154537096048935
-1.0,-0.125,0.75,22.88818359375,128,127,0.9921875,-10.877875792436193
-1.0,-0.125,1.0,30.517578125,128,128,1.0,-14.242528730354223
-1.0,-0.125,2.0,61.03515625,128,128,1.0,-14.509120333587934
-0.5,-0.0625,-2.0,-61.03515625,128,128,1.0,-15.153546524940516
-0.5,-0.0625,-1.0,-30.517578125,128,128,1.0,-13.824318224611638
-0.5,-0.0625,-0.75,-22.88818359375,128,127,0.9921875,-7.087660274796548
-0.5,-0.0625,-0.5,-15.2587890625,128,51,0.3984375,0.35899917001777726
-0.5,-0.0625,-0.25,-7.62939453125,128,3,0.0234375,3.523865875383855
-0.5,-0.0625,0.0,0.0,128,0,0.0,4.052685032271066
-0.5,-0.0625,0.25,7.62939453125,128,6,0.046875,2.7225461563981037
-0.5,-0.0625,0.5,15.2587890625,128,95,0.7421875,-2.1975878986573694
-0.5,-0.0625,0.75,22.88818359375,128,127,0.9921875,-10.8328934862525
-0.5,-0.0625,1.0,30.517578125,128,128,1.0,-15.780820039843016
-0.5,-0.0625,2.0,61.03515625,128,128,1.0,-15.341777103392836
0.0,0.0,-2.0,-61.03515625,128,128,1.0,-15.595710813248077
0.0,0.0,-1.0,-30.517578125,128,128,1.0,-15.201670327256398
0.0,0.0,-0.75,-22.88818359375,128,128,1.0,-7.208354110352637
0.0,0.0,-0.5,-15.2587890625,128,48,0.375,0.44034315045841155
