packet_id,reference_id,payload_index,gt_symbol,start_sample,savaux_origin_start_sample,clean_decision,accepted,clean_true_margin_db,signal_power,offpacket_power
exp0_000000_rxg20_0_fulltrim,0,0,3293,935698,935694.0,3293,1,19.97176827923206,5.4620857083541596e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,1,313,968466,968462.0,313,1,18.323748052340143,5.5153568635856477e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,2,1433,1001234,1001230.0,1433,1,21.645364990194572,5.490364174448007e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,3,2865,1034002,1033998.0,2865,1,17.891507502121325,5.705077613554365e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,4,3469,1066771,1066767.0,3469,1,18.46849447303673,5.729993595646629e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,5,3985,1099539,1099535.0,3985,1,15.464374566595438,5.998586474912753e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,6,3165,1132307,1132303.0,3165,1,15.643815259377048,6.021652091786988e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,7,1669,1165075,1165071.0,1669,1,16.524139856923156,6.298564517848611e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,8,849,1197844,1197840.0,849,1,17.256451288357837,6.500044003541635e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,9,665,1230612,1230608.0,665,1,16.00570191017023,6.361297891562806e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,10,713,1263380,1263376.0,713,1,14.439261494715538,6.285646075018163e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,11,797,1296149,1296145.0,797,1,17.51925571231064,6.420614755623784e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,12,3881,1328917,1328913.0,3881,1,14.206051571305132,6.637923248860607e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,13,693,1361685,1361681.0,693,1,14.340997044888255,6.708211539219993e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,14,2437,1394453,1394449.0,2437,1,17.152330862763222,6.669487445864438e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,15,1117,1427222,1427218.0,1117,1,15.042639468344333,6.647101159984367e-08,9.926245921143361e-08
exp0_000002_rxg20_0_fulltrim,2,0,3293,935690,935686.0,3293,1,22.127551989809163,2.9178040677380994e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,1,313,968458,968454.0,313,1,22.43357477803645,2.8570887703572153e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,2,1433,1001226,1001222.0,1433,1,22.631939706962267,2.881299848798873e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,3,2865,1033994,1033990.0,2865,1,20.729642012519754,3.086201529867261e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,4,3469,1066763,1066759.0,3469,1,22.143175266992777,2.9387208714623735e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,5,3985,1099531,1099527.0,3985,1,20.767817023127428,3.0645457211338755e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,6,3165,1132299,1132295.0,3165,1,18.883482202941128,2.942899098550958e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,7,1669,1165068,1165064.0,1669,1,21.159575152984136,2.9515767985029503e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,8,173,1197836,1197832.0,173,1,22.257623834074025,2.8444915160143222e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,9,1669,1230604,1230600.0,1669,1,22.716555726070837,2.8901480629964842e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,10,53,1263372,1263368.0,53,1,17.657264493806625,3.0145687985723224e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,11,541,1296141,1296137.0,541,1,23.77522316511498,2.918884155938113e-08,1.0311762318316182e-07
exp0_000002_rxg20_0_fulltrim,2,12,213,1328909,1328905.0,213,1,20.40953943875298,2.9723116976989935e-08,1.0311762318316182e-07
