trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,signal_power,added_noise_power,timing_error_samples_1m,timing_error_chips,cfo_error_bins,cfo_error_hz,decision,correct,true_margin_db,true_power
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,-2.0,-61.03515625,3295,0,-18.653803589393995,9.505961637895632e-05
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,-1.0,-30.517578125,3294,0,-2.1505406775865272,0.004296692056808882
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,-0.75,-22.88818359375,3293,1,1.5184158870593372,0.0062889652375455185
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,-0.5,-15.2587890625,3293,1,3.6701147798971725,0.008516474430675436
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,-0.25,-7.62939453125,3293,1,3.6937076599592484,0.009119539872284088
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,0.0,0.0,3293,1,1.6312027684682966,0.0069983659102546
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,0.25,7.62939453125,3292,0,-2.4221048747486815,0.0035688212470366687
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,0.5,15.2587890625,3292,0,-7.471649665825341,0.0015130513993719674
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,0.75,22.88818359375,3292,0,-6.817743896144942,0.0018901596979409435
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,1.0,30.517578125,3292,0,-3.715566181739329,0.0029711416243580757
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-4.0,-0.5,2.0,61.03515625,3291,0,-11.843036223478675,0.0004526688478247026
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,-2.0,-61.03515625,3295,0,-18.309249064669476,0.0001562637419667218
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,-1.0,-30.517578125,3294,0,-7.0514994102145625,0.002113909891698365
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,-0.75,-22.88818359375,3293,1,0.48562573879798226,0.006186834768925564
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,-0.5,-15.2587890625,3293,1,4.407742421873574,0.011067383330108704
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,-0.25,-7.62939453125,3293,1,5.549017178241943,0.013209630227911051
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,0.0,0.0,3293,1,4.230250634513132,0.010703206729184567
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,0.25,7.62939453125,3292,0,-0.4921635961487742,0.005510227902561837
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,0.5,15.2587890625,3292,0,-8.656319863328715,0.001507308430390833
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,0.75,22.88818359375,3292,0,-13.819565598783987,0.0005484958102989351
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,1.0,30.517578125,3292,0,-9.754687410426644,0.0011334993735583887
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-2.0,-0.25,2.0,61.03515625,3291,0,-10.501787135422845,0.0009416355337386051
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,-2.0,-61.03515625,3295,0,-17.66119888729857,0.00018922247478801116
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,-1.0,-30.517578125,3294,0,-8.859803609088422,0.001455337898320988
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,-0.75,-22.88818359375,3294,0,-0.18865105773444799,0.005657227395740316
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,-0.5,-15.2587890625,3293,1,3.9687700498620275,0.010951299338462173
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,-0.25,-7.62939453125,3293,1,5.598399362346955,0.01351453388669871
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,0.0,0.0,3293,1,4.885771516631805,0.011199884575675334
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,0.25,7.62939453125,3293,1,0.17155899213798534,0.005888998501327125
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,0.5,15.2587890625,3292,0,-8.599128912122344,0.0015159439489629278
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,0.75,22.88818359375,3292,0,-22.717717654104128,7.250875190368058e-05
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,1.0,30.517578125,3292,0,-15.320558648245976,0.000329927563749291
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-1.0,-0.125,2.0,61.03515625,3291,0,-8.682677858194376,0.0014981891112915285
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,-2.0,-61.03515625,3295,0,-17.606260427268538,0.00018892399142381947
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,-1.0,-30.517578125,3294,0,-9.638389017440653,0.0011999073539815108
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,-0.75,-22.88818359375,3294,0,-0.552760659139641,0.0052560390344569274
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,-0.5,-15.2587890625,3293,1,3.6549529885168,0.010508215632577311
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,-0.25,-7.62939453125,3293,1,5.475848359508508,0.013167223447896115
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,0.0,0.0,3293,1,4.935703402640089,0.011058202079159196
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,0.25,7.62939453125,3293,1,0.5275472917527582,0.00594897672067779
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,0.5,15.2587890625,3292,0,-8.096532325022151,0.0016357299177554574
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,0.75,22.88818359375,3292,0,-23.58788926636152,5.789867333140519e-05
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,1.0,30.517578125,3292,0,-19.307888163691945,0.00013020486448180133
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,-0.5,-0.0625,2.0,61.03515625,3291,0,-7.748114761476775,0.0018344642400371924
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,-2.0,-61.03515625,3295,0,-17.76526579322756,0.0001757086815160772
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,-1.0,-30.517578125,3294,0,-10.365247882577078,0.0009796648672023012
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,-0.75,-22.88818359375,3294,0,-0.9743057887153034,0.004775598755031363
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,-0.5,-15.2587890625,3293,1,3.1962563378389124,0.009835132102708144
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,-0.25,-7.62939453125,3293,1,5.051118562971029,0.012514674805253811
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,0.0,0.0,3293,1,4.925574140405482,0.01068175506799296
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,0.25,7.62939453125,3293,1,0.9398974419710143,0.0059538082964047945
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,0.5,15.2587890625,3292,0,-7.216464770225116,0.0018779740507363224
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,0.75,22.88818359375,3292,0,-17.010865123688287,0.00025057153106017305
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,1.0,30.517578125,3292,0,-19.47183791407672,0.00012125230988270508
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,2.0,61.03515625,3291,0,-6.833035067410302,0.00218770112866995
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,-2.0,-61.03515625,3295,0,-18.16310273720415,0.00015154896689338008
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,-1.0,-30.517578125,3294,0,-11.074609450642555,0.0007868296602497916
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,-0.75,-22.88818359375,3294,0,-1.4828839671772254,0.004233666099863476
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,-0.5,-15.2587890625,3293,1,2.727085876464387,0.008970535895830523
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,-0.25,-7.62939453125,3293,1,4.6110474190114505,0.011600966643678712
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,0.0,0.0,3293,1,4.7355562731109995,0.010107043109990832
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,0.25,7.62939453125,3293,1,1.412676832235538,0.005931010332376696
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,0.5,15.2587890625,3292,0,-6.005184025252609,0.002267621322668903
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,0.75,22.88818359375,3292,0,-12.361546108717857,0.0006785749148391675
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,1.0,30.517578125,3292,0,-14.887570384767784,0.00033008152147199
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.5,0.0625,2.0,61.03515625,3291,0,-5.951636199257802,0.00253576432093916
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,-2.0,-61.03515625,3295,0,-18.817125158198028,0.00012089210667900422
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,-1.0,-30.517578125,3294,0,-11.80672075777504,0.0006167427997315657
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,-0.75,-22.88818359375,3294,0,-2.106112809238859,0.0036539744654713463
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,-0.5,-15.2587890625,3293,1,2.2466048078589647,0.007965058167125838
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,-0.25,-7.62939453125,3293,1,4.101956743010813,0.01048518422177147
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,0.0,0.0,3293,1,4.1077359219909315,0.009380273257747485
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,0.25,7.62939453125,3293,1,1.323531619511404,0.005905966706700794
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,0.5,15.2587890625,3292,0,-4.553454643928786,0.0028171901938770644
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,0.75,22.88818359375,3292,0,-8.931671736053904,0.0013531320457267487
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,1.0,30.517578125,3292,0,-10.898739708063177,0.0007684575017220668
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,1.0,0.125,2.0,61.03515625,3291,0,-5.1135610346924185,0.002853945137990102
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,-2.0,-61.03515625,3295,0,-20.405312519906413,6.847752712400932e-05
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,-1.0,-30.517578125,3294,0,-13.49302418571705,0.0003417688556341947
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,-0.75,-22.88818359375,3294,0,-3.7749470943887795,0.002494891588472728
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,-0.5,-15.2587890625,3293,1,1.1469136768136001,0.005764444973295257
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,-0.25,-7.62939453125,3293,1,2.7042636328528733,0.007916282346998038
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,0.0,0.0,3293,1,2.7376805754003137,0.007665696448413195
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,0.25,7.62939453125,3293,1,1.4623080461865823,0.0059196971122619235
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,0.5,15.2587890625,3292,0,-1.2530647012362892,0.004373088851119589
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,0.75,22.88818359375,3292,0,-3.731746695864835,0.003394382275712593
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,1.0,30.517578125,3292,0,-5.274676391829814,0.0022988130670156814
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,2.0,0.25,2.0,61.03515625,3291,0,-3.6036343582986734,0.0032995972888417158
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,4.0,0.5,-2.0,-61.03515625,3296,0,-14.968794283161479,0.0002215094117318274
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,4.0,0.5,-1.0,-30.517578125,3295,0,-18.702520410204784,9.426518068741344e-05
