trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,signal_power,added_noise_power,timing_error_samples_1m,cfo_error_bins,cfo_error_hz,decision,correct,true_margin_db,true_power
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,-65.536,-2000.0,3358,0,-13.876091886068112,0.0003865663469209725
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,-32.768,-1000.0,3326,0,-11.454626555742614,0.0004496131849771601
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,-16.384,-500.0,3309,0,-14.53941735876094,0.00041638614861673473
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,-8.192,-250.0,3301,0,-17.099383809470226,0.0002406225145895058
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,-4.096,-125.0,3297,0,-10.162007595835378,0.001130027368978992
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,0.0,3293,1,4.925574140405482,0.01068175506799296
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,4.096,125.0,3289,0,-15.092837996299068,0.00027330013145589194
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,8.192,250.0,3285,0,-11.593699281002138,0.0004946303521858077
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,16.384,500.0,3276,0,-13.467946003191093,0.0003370619722571494
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,32.768,1000.0,3260,0,-13.186569871189002,0.0006008671097117481
20260819:0,14.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,65.536,2000.0,3227,0,-12.840113989453636,0.0005539936434297843
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,-65.536,-2000.0,378,0,-18.76584698720556,7.391274124902373e-05
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,-32.768,-1000.0,346,0,-11.226436065894354,0.0005116384438998978
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,-16.384,-500.0,329,0,-9.117675972837887,0.0009349669538604756
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,-8.192,-250.0,321,0,-7.591526530417285,0.0016135486112602848
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,-4.096,-125.0,317,0,-12.459767155084723,0.0005279956045566338
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,0.0,0.0,313,1,2.4444852875171814,0.0094488594620184
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,4.096,125.0,309,0,-29.26506893725396,1.0432876888107642e-05
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,8.192,250.0,305,0,-8.986536020808305,0.0009652459134624203
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,16.384,500.0,2633,0,-15.471238046257508,0.00014762122900178424
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,32.768,1000.0,280,0,-14.967869829352754,0.00028632284425468557
20260819:1,14.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,65.536,2000.0,247,0,-6.049005395828868,0.0016020858763541451
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,-65.536,-2000.0,1498,0,-6.0255887271539095,0.0014630581705155216
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,-32.768,-1000.0,1466,0,-7.714329317120955,0.0015658848471891695
20260819:2,14.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,-16.384,-500.0,1449,0,-18.942765840054662,0.00011280619665599012
