packet_index,event_index,success,total_payload,correct_count,pre_block_correct_count,pre_template_correct_count,block_code_search_enabled,payload_template_known,byte_symbol_prior_known,byte_residual_candidates,byte_residual_unknown_bytes,byte_residual_symbol_known,prior_search_success,prior_search_selected,prior_search_payload_hex,prior_search_candidates,prior_search_known_symbols,prior_search_score,prior_search_signal_score,prior_search_score_mode,prior_search_effective_kappa,prior_search_kappa_source,prior_search_kappa_source_line_rmse_pi,prior_search_prior_score,prior_search_margin,prior_search_phase_score,prior_search_amp_score,prior_search_profile_score,prior_search_line_rmse_pi,prior_search_line_r2,prior_search_map_phase_ll,prior_search_map_line_ll,prior_search_map_amp_ll,final_error_rate,initial_slope_pi,final_slope_pi,initial_line_r2,final_line_r2,preamble_anchors,header_anchors,header_method,header_rescue_score,header_rescue_visited,preamble_line_slope_pi,header_line_slope_pi,hough_line_slope_pi,hough_score,preamble_profile_quality,preamble_profile_anchors,preamble_line_r2,header_line_r2,refinement_rounds,round0_acc,round1_acc,round2_acc,payload_len,gt_bins_available,reconstructed_payload_hex,reconstructed_unknown_bytes
1,1,1,35,26,0,0,0,30,0,256,1,30,1,84,404433221100540058303132333435363738393a3b3c3d3e3f4041424378563412,256,10,-0.282403,-0.282403,map,2.101602,initial_line,0.219571,0.000000,0.022217,0.595658,0.315154,0.000000,0.098378,0.697581,0.402070,-0.053768,-1.780181,0.2571,0.0274,0.0274,0.0753,0.0753,16,8,session_header_prior_forced,,,-0.0023,0.0274,0.0000,0.0000,0.0000,0,-0.0335,0.0753,2,0.0000,0.0000,,33,35,404433221100540058303132333435363738393a3b3c3d3e3f4041424378563412,0
2,2,1,35,26,0,0,0,30,0,256,1,30,1,66,404433221100420058303132333435363738393a3b3c3d3e3f4041424378563412,256,10,-0.368268,-0.368268,map,1.417378,initial_line,0.267367,0.000000,0.024114,0.477851,0.255957,0.000000,0.074325,0.878472,-0.062788,-0.030690,-1.686133,0.2571,-0.0880,-0.0880,0.3625,0.3625,16,8,session_header_prior_forced,,,-0.0068,-0.0880,0.0000,0.0000,0.0000,0,0.0619,0.3625,2,0.0000,0.0000,,33,35,404433221100420058303132333435363738393a3b3c3d3e3f4041424378563412,0
3,3,1,35,24,1,1,0,30,0,256,1,30,1,246,404433221100f60058303132333435363738393a3b3c3d3e3f4041424378563412,256,10,-0.210025,-0.210025,map,4.000000,initial_line,0.077628,0.000000,0.046651,0.674138,0.189843,0.000000,0.164682,0.694385,1.393103,-0.150667,-2.414834,0.3143,0.0025,0.0025,0.0053,0.0053,16,8,session_header_prior_forced,,,-0.0073,0.0025,0.0000,0.0000,0.0000,0,0.0712,0.0053,2,0.0286,0.0286,,33,35,404433221100f60058303132333435363738393a3b3c3d3e3f4041424378563412,0
5,5,1,35,30,0,0,0,30,0,256,1,30,1,6,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,256,10,0.027685,0.027685,map,2.183922,initial_line,0.215393,0.000000,0.002502,0.785155,0.343129,0.000000,0.074748,0.893882,1.245513,-0.031040,-1.340864,0.1429,-0.0899,-0.0899,0.4779,0.4779,16,8,session_header_prior_forced,,,-0.0155,-0.0899,0.0000,0.0000,0.0000,0,0.0709,0.4779,2,0.0000,0.0000,,33,35,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0
6,6,1,35,30,1,1,0,30,0,256,1,30,1,7,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,256,10,0.123886,0.123886,map,2.063291,initial_line,0.221600,0.000000,0.059946,0.816080,0.508743,0.000000,0.093193,0.864247,1.304330,-0.048250,-0.890359,0.1429,-0.0446,-0.0446,0.1752,0.1752,16,8,session_header_prior_forced,,,-0.0082,-0.0446,0.0000,0.0000,0.0000,0,0.0438,0.1752,2,0.0286,0.0286,,33,35,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0
