dataset,target_snr_db,packet_index,symbol_index,gt_in_top_l,v3_is_error,multi_is_error,gt_energy_rank,gt_phase_rank,gt_local_phase_rank,gt_combined_rank,gt_local_combined_rank,gt_energy_score,gt_phase_score,gt_local_phase_score,gt_combined_score,gt_local_combined_score,top1_bin,gt_bin,v3_bin,multi_bin,clean_line_r2,clean_line_rmse_pi
0_0_0_10_14_16,-24.0,1,0,1,0,1,3,15,24,15,22,0.9337923889709276,0.31920722501086474,0.03237136471525792,0.44212425780287734,0.21265556956639187,210,222,222,210,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,1,0,,,,,,,,,,,,,,,,,,
0_0_0_10_14_16,-24.0,1,2,1,0,1,4,12,5,10,3,0.8851147365438748,0.4709589601108919,0.9439112774313791,0.5537901153974885,0.9321519692538783,154,922,922,154,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,3,1,0,0,1,20,12,18,11,1.0,0.08390873608451366,0.6207435114108327,0.26712698886761094,0.6965948091286662,718,718,718,718,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,4,1,0,0,1,6,17,2,15,1.0,0.9223413210612621,0.22747238394325942,0.9378730568490097,0.38197790715460755,107,107,107,107,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,5,1,0,0,1,20,2,18,1,1.0,0.017304872803961202,0.9987099284220593,0.21384389824316896,0.9989679427376474,468,468,468,468,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,6,1,0,1,7,8,18,8,18,0.7066602521580738,0.6876828816584692,0.20458721201290153,0.6914783557583902,0.305001820041936,921,89,89,921,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,7,1,0,0,1,22,2,21,1,1.0,0.03163987470045232,0.9901139575320121,0.22531189976036187,0.9920911660256098,713,713,713,713,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,8,1,0,0,1,9,17,6,16,1.0,0.7001711775230383,0.2649922981113496,0.7601369420184307,0.4119938384890797,865,865,865,865,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,9,1,1,1,20,20,5,21,5,0.7907067357099835,0.2020316264512032,0.8009526495227395,0.3197666483029593,0.7989034667601883,1008,492,185,1008,0.9998706886380241,0.08828975252897754
