dataset,target_snr_db,packet_index,symbol_index,gt_in_top_l,v3_is_error,multi_is_error,gt_energy_rank,gt_phase_rank,gt_local_phase_rank,gt_combined_rank,gt_local_combined_rank,gt_energy_score,gt_phase_score,gt_local_phase_score,gt_combined_score,gt_local_combined_score,top1_bin,gt_bin,v3_bin,multi_bin,clean_line_r2,clean_line_rmse_pi
0_0_0_10_14_16,-22.0,1,0,1,0,0,1,16,24,15,21,1.0,0.32402101433397,0.03422014020623604,0.459216811467176,0.22737611216498885,222,222,222,222,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,1,0,,,,,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,1,2,1,0,0,1,11,5,7,1,1.0,0.5414859187565259,0.907117309933721,0.6331887350052208,0.9256938479469767,922,922,922,922,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,3,1,0,0,1,20,12,17,10,1.0,0.09632296076187896,0.5995894393771969,0.27705836860950317,0.6796715515017575,718,718,718,718,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,4,1,0,0,1,6,16,1,13,1.0,0.9235101005570991,0.2256379660132442,0.9388080804456793,0.3805103728105954,107,107,107,107,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,5,1,0,0,1,24,5,17,1,1.0,0.0002866052371380823,0.966241052943392,0.20022928418971048,0.9729928423547136,468,468,468,468,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,6,1,0,1,2,2,24,1,22,0.8960275078901523,0.9718511091205374,0.002017202214075642,0.9566863888744604,0.180819263349291,921,89,89,921,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,7,1,0,0,1,22,2,21,1,1.0,0.034600623051320056,0.9884096184692254,0.22768049844105606,0.9907276947753803,713,713,713,713,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,8,1,0,0,1,11,15,6,14,1.0,0.7165939117954665,0.2492012045792762,0.7732751294363733,0.399360963663421,865,865,865,865,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,9,1,0,0,1,20,5,19,4,1.0,0.22394725888662276,0.779152191319501,0.37915780710929825,0.8233217530556007,492,492,492,492,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,10,1,0,0,1,11,13,9,12,1.0,0.5340780031217641,0.491541012993251,0.6272624024974114,0.5932328103946007,765,765,765,765,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,11,1,0,0,1,5,20,3,18,1.0,0.8137277388063957,0.14618995672106455,0.8509821910451165,0.31695196537685166,1023,1023,1023,1023,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,12,1,0,1,8,19,5,19,5,0.8011164773072396,0.12097346033338707,0.9261367482057937,0.2570020637281576,0.9011326940260829,548,597,597,548,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,13,1,0,0,1,5,22,1,20,1.0,0.9817904272195183,0.0010290592228111572,0.9854323417756146,0.20082324737824894,562,562,562,562,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,14,1,0,0,1,24,1,23,1,1.0,0.00011090419807369134,0.9875491598688966,0.20008872335845895,0.9900393278951174,478,478,478,478,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,15,1,0,0,1,3,20,1,16,1.0,0.9767660993271683,0.0799443758331067,0.9814128794617347,0.2639555006664854,267,267,267,267,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,16,1,0,0,1,19,8,17,6,1.0,0.12475911383206556,0.7674470007067393,0.29980729106565246,0.8139576005653915,917,917,917,917,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,17,1,0,0,1,5,17,1,16,1.0,0.9458010597015485,0.1393164538651076,0.9566408477612389,0.3114531630920861,656,656,656,656,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,18,1,0,1,4,10,18,9,17,0.8484584725345592,0.7638561544036636,0.12371325593557791,0.7807766180298428,0.2686622992553742,264,889,889,264,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,19,1,0,0,1,15,6,12,3,1.0,0.3044003998519587,0.818329815525207,0.443520319881567,0.8546638524201657,510,510,510,510,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,20,1,0,0,1,7,20,2,18,1.0,0.853123109407074,0.06674249960688472,0.8824984875256592,0.2533939996855078,860,860,860,860,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,21,1,0,0,1,17,5,11,1,1.0,0.12004252068021992,0.9438176976248489,0.29603401654417594,0.9550541580998793,553,553,553,553,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,22,1,0,0,1,6,18,1,17,1.0,0.9769054127676888,0.06006287855966458,0.9815243302141512,0.24805030284773166,629,629,629,629,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,23,0,,,,,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,1,24,1,0,0,1,12,13,11,11,1.0,0.39808766784771044,0.6443415882040977,0.5184701342781683,0.7154732705632783,874,874,874,874,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,25,1,0,0,1,12,13,12,12,1.0,0.5322641116363453,0.4587369833173249,0.6258112893090764,0.5669895866538599,720,720,720,720,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,26,1,0,0,1,18,7,18,1,1.0,0.084961602194212,0.895726192467084,0.2679692817553696,0.9165809539736671,314,314,314,314,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,27,1,0,0,1,3,22,1,19,1.0,0.9231709513742925,0.04008544469988812,0.938536761099434,0.2320683557599105,602,602,602,602,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,28,1,0,1,3,20,4,19,1,0.9412019995534509,0.08195368682694326,0.9747253450055586,0.2538033493722448,0.9680206759151372,6,7,7,6,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,29,1,0,0,1,8,21,2,16,1.0,0.9320682944939481,0.006135849886013567,0.9456546355951585,0.20490867990881087,610,610,610,610,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,30,1,0,0,1,14,7,14,2,1.0,0.2996652463727779,0.8924167667495095,0.43973219709822237,0.9139334133996078,807,807,807,807,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,31,1,0,0,1,16,12,13,10,1.0,0.2257889640044511,0.5901955490719928,0.3806311712035609,0.6721564392575943,897,897,897,897,0.9998706886380241,0.08828975252897754
