dataset,target_snr_db,packet_index,symbol_index,gt_in_top_l,v3_is_error,multi_is_error,gt_energy_rank,gt_phase_rank,gt_combined_rank,gt_energy_score,gt_phase_score,gt_combined_score,top1_bin,gt_bin,v3_bin,multi_bin,clean_line_r2,clean_line_rmse_pi
0_0_0_10_14_16,-22.0,1,0,1,0,0,1,16,15,1.0,0.32402101433397,0.459216811467176,222,222,222,222,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,1,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,1,2,1,0,0,1,11,7,1.0,0.5414859187565259,0.6331887350052208,922,922,922,922,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,3,1,0,0,1,20,17,1.0,0.09632296076187896,0.27705836860950317,718,718,718,718,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,4,1,0,0,1,6,1,1.0,0.9235101005570991,0.9388080804456793,107,107,107,107,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,5,1,0,0,1,24,17,1.0,0.0002866052371380823,0.20022928418971048,468,468,468,468,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,6,1,0,1,2,2,1,0.8960275078901523,0.9718511091205374,0.9566863888744604,921,89,89,921,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,7,1,0,0,1,22,21,1.0,0.034600623051320056,0.22768049844105606,713,713,713,713,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,8,1,0,0,1,11,6,1.0,0.7165939117954665,0.7732751294363733,865,865,865,865,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,9,1,0,0,1,20,19,1.0,0.22394725888662276,0.37915780710929825,492,492,492,492,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,10,1,0,0,1,11,9,1.0,0.5340780031217641,0.6272624024974114,765,765,765,765,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,11,1,0,0,1,5,3,1.0,0.8137277388063957,0.8509821910451165,1023,1023,1023,1023,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,12,1,0,1,8,19,19,0.8011164773072396,0.12097346033338707,0.2570020637281576,548,597,597,548,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,13,1,0,0,1,5,1,1.0,0.9817904272195183,0.9854323417756146,562,562,562,562,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,14,1,0,0,1,24,23,1.0,0.00011090419807369134,0.20008872335845895,478,478,478,478,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,15,1,0,0,1,3,1,1.0,0.9767660993271683,0.9814128794617347,267,267,267,267,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,16,1,0,0,1,19,17,1.0,0.12475911383206556,0.29980729106565246,917,917,917,917,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,17,1,0,0,1,5,1,1.0,0.9458010597015485,0.9566408477612389,656,656,656,656,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,18,1,0,1,4,10,9,0.8484584725345592,0.7638561544036636,0.7807766180298428,264,889,889,264,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,19,1,0,0,1,15,12,1.0,0.3044003998519587,0.443520319881567,510,510,510,510,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,20,1,0,0,1,7,2,1.0,0.853123109407074,0.8824984875256592,860,860,860,860,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,21,1,0,0,1,17,11,1.0,0.12004252068021992,0.29603401654417594,553,553,553,553,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,22,1,0,0,1,6,1,1.0,0.9769054127676888,0.9815243302141512,629,629,629,629,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,23,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,1,24,1,0,0,1,12,11,1.0,0.39808766784771044,0.5184701342781683,874,874,874,874,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,25,1,0,0,1,12,12,1.0,0.5322641116363453,0.6258112893090764,720,720,720,720,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,26,1,0,0,1,18,18,1.0,0.084961602194212,0.2679692817553696,314,314,314,314,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,27,1,0,0,1,3,1,1.0,0.9231709513742925,0.938536761099434,602,602,602,602,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-22.0,1,28,1,0,1,3,20,19,0.9412019995534509,0.08195368682694326,0.2538033493722448,6,7,7,6,0.9998706886380241,0.08828975252897754
