dataset,target_snr_db,packet_index,symbol_index,gt_in_top_l,v3_is_error,multi_is_error,gt_energy_rank,gt_phase_rank,gt_combined_rank,gt_energy_score,gt_phase_score,gt_combined_score,top1_bin,gt_bin,v3_bin,multi_bin,clean_line_r2,clean_line_rmse_pi
0_0_0_10_14_16,-24.0,1,0,1,0,1,3,15,15,0.9337923889709276,0.31920722501086474,0.44212425780287734,210,222,222,210,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,1,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-24.0,1,2,1,0,1,4,12,10,0.8851147365438748,0.4709589601108919,0.5537901153974885,154,922,922,154,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,3,1,0,0,1,20,18,1.0,0.08390873608451366,0.26712698886761094,718,718,718,718,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,4,1,0,0,1,6,2,1.0,0.9223413210612621,0.9378730568490097,107,107,107,107,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,5,1,0,0,1,20,18,1.0,0.017304872803961202,0.21384389824316896,468,468,468,468,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,6,1,0,1,7,8,8,0.7066602521580738,0.6876828816584692,0.6914783557583902,921,89,89,921,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,7,1,0,0,1,22,21,1.0,0.03163987470045232,0.22531189976036187,713,713,713,713,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,8,1,0,0,1,9,6,1.0,0.7001711775230383,0.7601369420184307,865,865,865,865,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,9,1,1,1,20,20,21,0.7907067357099835,0.2020316264512032,0.3197666483029593,1008,492,185,1008,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,10,1,0,1,2,10,9,0.7808729669197602,0.5503840414125089,0.5964818265139591,147,765,765,147,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,11,1,0,1,2,4,3,0.8925350508999936,0.8381286188412664,0.8490099052530119,289,1023,1023,289,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,12,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-24.0,1,13,1,0,1,23,4,5,0.7385056744329951,0.9841814619943374,0.9350463044820689,550,562,562,550,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,14,1,1,1,11,24,24,0.7549610163986502,0.00041042233978627607,0.15132054115155907,288,478,288,288,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,15,1,0,1,2,2,2,0.8130036096463962,0.9824502649269556,0.9485609338708437,608,267,267,608,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,16,1,0,0,1,19,19,1.0,0.1067786364193789,0.28542290913550317,917,917,917,917,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,17,1,0,0,1,3,1,1.0,0.9910047902629515,0.9928038322103612,656,656,656,656,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,18,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-24.0,1,19,1,0,0,1,14,11,1.0,0.3255661079299469,0.46045288634395753,510,510,510,510,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,20,1,0,0,1,9,7,1.0,0.8197514621007342,0.8558011696805874,860,860,860,860,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,21,1,0,0,1,16,11,1.0,0.16925942968579566,0.33540754374863657,553,553,553,553,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,22,1,0,1,2,5,1,0.9289240954074424,0.9837212354014486,0.9727618074026474,250,629,629,250,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,23,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-24.0,1,24,1,1,1,3,11,11,0.9777892206424585,0.37360554271528723,0.4944422783007215,329,874,788,329,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,25,1,0,1,2,16,15,0.8571205308514955,0.473899538049958,0.5505437366102656,286,720,720,286,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,26,1,0,0,1,19,19,1.0,0.08493109175830876,0.267944873406647,314,314,314,314,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,27,1,0,0,1,5,3,1.0,0.8704688432063373,0.8963750745650698,602,602,602,602,0.9998706886380241,0.08828975252897754
0_0_0_10_14_16,-24.0,1,28,1,1,1,10,20,20,0.6824678851324144,0.09397122707290567,0.2116705586848074,13,7,6,13,0.9998706886380241,0.08828975252897754
