packet_index,payload_symbol_index,gt_bin,savaux_bin,savaux_hit,gt_savaux_rank,gt_in_topk,gt_score,arg_score,gt_score_over_arg_db,gt_path_gain,arg_path_gain,gt_tau0,arg_tau0,gt_slope,arg_slope,would_fix
1,0,222,222,1,1,1,0.468151501381831,0.468151501381831,0.0,0.05555467671034919,0.05555467671034919,0.5,0.5,-0.5,-0.5,0
1,1,826,640,0,10,0,0.20706179052304388,0.3096835855624576,-1.7481822150483952,0.12785537084621887,0.17034055736840542,-0.5,0.0,0.5,0.0,0
1,2,922,922,1,1,1,0.4680500596628081,0.4680500596628081,0.0,0.08630318734766872,0.08630318734766872,-0.5,-0.5,-0.5,-0.5,0
1,3,718,718,1,1,1,0.575206776858534,0.575206776858534,0.0,0.06956319987971907,0.06956319987971907,0.5,0.5,-0.5,-0.5,0
1,4,107,107,1,1,1,0.6857277812203639,0.6857277812203639,0.0,0.06761352735462049,0.06761352735462049,-0.5,-0.5,0.5,0.5,0
1,5,468,468,1,1,1,0.5097002641218116,0.5097002641218116,0.0,0.09214958666486907,0.09214958666486907,0.5,0.5,-0.5,-0.5,0
1,6,89,89,1,1,1,0.5349103247175423,0.5349103247175423,0.0,0.15199038241352403,0.15199038241352403,-0.5,-0.5,-0.5,-0.5,0
1,7,713,713,1,1,1,0.4115733755252155,0.4115733755252155,0.0,0.029636972923430285,0.029636972923430285,-0.5,-0.5,-0.5,-0.5,0
1,8,865,865,1,1,1,0.5823944321121891,0.5823944321121891,0.0,0.059733628053424345,0.059733628053424345,0.5,0.5,0.5,0.5,0
1,9,492,492,1,1,1,0.5621951755850525,0.5621951755850525,0.0,0.1612647923456327,0.1612647923456327,0.0,0.0,0.0,0.0,0
1,10,765,765,1,1,1,0.5810437256220065,0.5810437256220065,0.0,0.1184861645935764,0.1184861645935764,0.0,0.0,0.0,0.0,0
1,11,1023,1023,1,1,1,0.6200094002978418,0.6200094002978418,0.0,0.09524718679750435,0.09524718679750435,-0.5,-0.5,0.5,0.5,0
1,12,597,394,0,10,0,0.19801641017598934,0.27077232022184666,-1.3590308344779742,0.10085871154259367,0.06411969852220831,-0.5,0.5,0.5,0.5,0
1,13,562,562,1,1,1,0.25272768274801805,0.25272768274801805,0.0,0.04830024488807984,0.04830024488807984,-0.5,-0.5,0.5,0.5,0
1,14,478,478,1,1,1,0.44060466556534866,0.44060466556534866,0.0,0.14961732347591777,0.14961732347591777,0.0,0.0,0.0,0.0,0
1,15,267,267,1,1,1,0.5306945276775242,0.5306945276775242,0.0,0.11790214680568689,0.11790214680568689,0.0,0.0,0.0,0.0,0
1,16,917,917,1,1,1,0.6399465241372203,0.6399465241372203,0.0,0.06880384859596748,0.06880384859596748,0.5,0.5,0.5,0.5,0
1,17,656,656,1,1,1,0.46567721960587366,0.46567721960587366,0.0,0.12797160654251832,0.12797160654251832,0.5,0.5,0.5,0.5,0
1,18,889,889,1,1,1,0.47460638164590613,0.47460638164590613,0.0,0.1196557524506209,0.1196557524506209,-0.5,-0.5,0.5,0.5,0
1,19,510,510,1,1,1,0.7123521198829492,0.7123521198829492,0.0,0.104499038748837,0.104499038748837,0.0,0.0,0.0,0.0,0
1,20,860,860,1,1,1,0.46675785957096283,0.46675785957096283,0.0,0.08353581293996461,0.08353581293996461,-0.5,-0.5,0.5,0.5,0
1,21,553,553,1,1,1,0.6780151354570528,0.6780151354570528,0.0,0.09072207852163477,0.09072207852163477,-0.5,-0.5,0.5,0.5,0
1,22,629,629,1,1,1,0.5646410676920205,0.5646410676920205,0.0,0.08978978891615949,0.08978978891615949,0.5,0.5,-0.5,-0.5,0
1,23,759,525,0,5,1,0.22014863821822586,0.32874874879388327,-1.741481052194951,0.09156798822263401,0.1515283400131048,0.5,0.0,-0.5,-0.5,0
1,24,874,874,1,1,1,0.43935176497840583,0.43935176497840583,0.0,0.0995550074998108,0.0995550074998108,0.5,0.5,-0.5,-0.5,0
1,25,720,720,1,1,1,0.8345959443201084,0.8345959443201084,0.0,0.08829531654024002,0.08829531654024002,0.5,0.5,0.5,0.5,0
1,26,314,314,1,1,1,0.6800494807478284,0.6800494807478284,0.0,0.09919838313772383,0.09919838313772383,0.0,0.0,0.0,0.0,0
1,27,602,602,1,1,1,0.7390382347950015,0.7390382347950015,0.0,0.1063543488120803,0.1063543488120803,0.0,0.0,0.0,0.0,0
1,28,7,7,1,1,1,0.5723209502961264,0.5723209502961264,0.0,0.13009864175816546,0.13009864175816546,0.0,0.0,-0.5,-0.5,0
1,29,610,610,1,1,1,0.5163236390496243,0.5163236390496243,0.0,0.06034660676922503,0.06034660676922503,0.5,0.5,-0.5,-0.5,0
1,30,807,807,1,1,1,0.7720084108834162,0.7720084108834162,0.0,0.10486923491944325,0.10486923491944325,-0.5,-0.5,-0.5,-0.5,0
1,31,897,897,1,1,1,0.5389343861719862,0.5389343861719862,0.0,0.056779265795432715,0.056779265795432715,-0.5,-0.5,0.5,0.5,0
1,32,749,749,1,1,1,0.5501983745599954,0.5501983745599954,0.0,0.12222810939179697,0.12222810939179697,0.5,0.5,-0.5,-0.5,0
1,33,584,584,1,1,1,0.7956468187313457,0.7956468187313457,0.0,0.12196457536501414,0.12196457536501414,0.0,0.0,0.0,0.0,0
1,34,934,934,1,1,1,0.3954084046518784,0.3954084046518784,0.0,0.11622416267555799,0.11622416267555799,0.5,0.5,-0.5,-0.5,0
2,0,803,803,1,1,1,0.5769114245146438,0.5769114245146438,0.0,0.0724024624532811,0.0724024624532811,-0.5,-0.5,0.5,0.5,0
2,1,826,826,1,1,1,0.5939089082240974,0.5939089082240974,0.0,0.12558894601858078,0.12558894601858078,0.0,0.0,0.0,0.0,0
