packet_index,payload_symbol_index,gt_bin,bank_kind,pattern_count,savaux_selected_bin,savaux_ok,savaux_gt_rank,savaux_gt_power,savaux_gt_margin_db,savaux_gt_floor_db,plain_coherent_selected_bin,plain_coherent_ok,plain_coherent_gt_rank,plain_coherent_gt_power,plain_coherent_gt_margin_db,plain_coherent_gt_floor_db,lora_coherent_selected_bin,lora_coherent_ok,lora_coherent_gt_rank,lora_coherent_gt_power,lora_coherent_gt_margin_db,lora_coherent_gt_floor_db,lora_mean_power_selected_bin,lora_mean_power_ok,lora_mean_power_gt_rank,lora_mean_power_gt_power,lora_mean_power_gt_margin_db,lora_mean_power_gt_floor_db,lora_best_power_selected_bin,lora_best_power_ok,lora_best_power_gt_rank,lora_best_power_gt_power,lora_best_power_gt_margin_db,lora_best_power_gt_floor_db,lora_stable_power_selected_bin,lora_stable_power_ok,lora_stable_power_gt_rank,lora_stable_power_gt_power,lora_stable_power_gt_margin_db,lora_stable_power_gt_floor_db,lora_adaptive_gls_selected_bin,lora_adaptive_gls_ok,lora_adaptive_gls_gt_rank,lora_adaptive_gls_gt_power,lora_adaptive_gls_gt_margin_db,lora_adaptive_gls_gt_floor_db,dataset,snr_db,seed
1,0,222,fixed,4,222,True,1,0.5742221507735081,0.254272280358318,10.83737523312362,222,True,1,0.0344315531638108,0.10497970107031762,10.491708742508832,222,True,1,0.03588888160166332,0.2542728905264059,10.837376975474227,695,False,3,0.047790204279175845,-0.8293718956435127,5.0458507777098225,695,False,47,0.07469341062664636,-2.8023832422344452,3.924042755875081,222,True,1,0.43122206931311935,0.0633001617345391,16.527204976077787,222,True,1,9.093102952553526,0.566986431320667,11.120429739740302,0_0_0_10_14_16,-24.0,42
1,1,826,fixed,4,826,True,1,1.0187175191731654,3.410099111045315,13.388735314938558,826,True,1,0.033417567540355686,0.4259199778456352,10.851380941761699,826,True,1,0.06366985537746839,3.4101005415269476,13.388735748737028,826,True,1,0.07980929756202768,1.04728184866394,7.283199129038288,826,True,1,0.19975238615673233,1.0876782195461552,8.125971738899477,826,True,1,0.8127072796980637,4.743376391638657,19.29941379113596,826,True,1,14.990276363062282,3.435753077164589,13.342993696392787,0_0_0_10_14_16,-24.0,42
1,2,922,fixed,4,922,True,1,1.0917012918073397,4.036020551127459,13.959691458418444,922,True,1,0.08389156377493381,4.63300237641322,14.599076007147534,922,True,1,0.0682313236705938,4.036021135157228,13.959687860657198,922,True,1,0.07473159474357884,1.7095221679696062,6.919089972430363,549,False,4,0.11600504875482871,-1.5843299275009548,5.917840029228804,922,True,1,0.9967434048276109,4.365295381773452,20.296029952694568,922,True,1,16.451790849948257,4.124190000074204,14.062891324201471,0_0_0_10_14_16,-24.0,42
1,3,718,fixed,4,718,True,1,0.44300765210212845,0.45764534618526226,9.732578331184074,573,False,436,0.0033706168767598447,-8.834668351113457,0.9250247424165288,718,True,1,0.027687979554315286,0.45764472808741885,9.732576208572487,469,False,32,0.03545303022127073,-1.6287546079801307,3.8955534643342555,469,False,106,0.05875070658698428,-2.99571696325446,3.131084711239294,718,True,1,0.34597851685043657,0.6522738474457819,15.100653340528623,718,True,1,6.703737905072565,0.30820363236652876,9.833286086780298,0_0_0_10_14_16,-24.0,42
1,4,107,fixed,4,107,True,1,0.5836475464424531,0.650909536353889,11.214135399866532,107,True,1,0.038172792263637415,1.6966320950833567,11.39713741181457,107,True,1,0.036477971222150074,0.6509105360588003,11.214137891119725,886,False,3,0.05004371202403836,-1.0390228139513988,5.389494932905508,886,False,39,0.07421840050761129,-2.945253708949407,4.138016797892277,107,True,1,0.42543363675299656,0.187489043810802,16.79253519661547,107,True,1,8.86826183274068,0.5312168354014756,11.216871120080727,0_0_0_10_14_16,-24.0,42
1,5,468,fixed,4,468,True,1,1.2879668340340231,4.484310794635421,14.744377746303899,83,False,12,0.017892075374379944,-2.645020671008391,7.856579923432082,468,True,1,0.08049792451452208,4.484312219598132,14.744374481829876,468,True,1,0.10016047542787013,2.839734130337463,8.329664330621915,468,True,1,0.2197845952651674,1.9102510341015753,8.66553051348272,468,True,1,1.0351254478413718,4.837320595759938,20.743035359731476,468,True,1,19.20989273899156,4.262578960868336,14.732187347863624,0_0_0_10_14_16,-24.0,42
1,6,89,fixed,4,89,True,1,0.926527028145788,1.9561834958464188,12.545990376704374,89,True,1,0.04807468549180252,2.3242583912723345,12.182735004354498,89,True,1,0.057907945369887595,1.9561834883808786,12.545991562741117,89,True,1,0.066637100986203,0.17413398216584125,6.3212750568939,342,False,3,0.1293287749901551,-0.11209703873252502,6.093095143534172,89,True,1,0.8051562228179666,1.7413699512490695,18.448254091256317,89,True,1,12.820648216876776,1.8879622989488696,12.585636346382978,0_0_0_10_14_16,-24.0,42
1,7,713,fixed,4,713,True,1,0.6648492701125441,1.230954585784552,11.745771200692545,998,False,24,0.01657136250303165,-2.7300763377052704,7.619486694286999,713,True,1,0.04155308710454685,1.2309555121969842,11.745772571784393,485,False,3,0.049135646050404054,-0.48992080395625015,5.189640332185609,493,False,15,0.10025512826173975,-1.4088750062956064,5.314872990887181,713,True,1,0.5622504607763017,1.609839349124299,18.025165051302846,713,True,1,10.04357142900239,1.3022295330265115,11.740186066391825,0_0_0_10_14_16,-24.0,42
1,8,865,fixed,4,865,True,1,0.555788866042576,0.866765772873304,11.068637416131814,265,False,9,0.01789411710698025,-1.5547068191792337,8.16847112755532,865,True,1,0.03473679221246024,0.8667637698106546,11.06863444007075,209,False,5,0.04756745986333171,-0.8545942858839122,5.121070127946325,654,False,5,0.1222774627861529,-0.5445970331669974,6.1594005339267035,865,True,1,0.4058724684729805,0.47661542092862885,16.602604826266546,865,True,1,8.726935032347816,0.9395561944168043,11.189186041828975,0_0_0_10_14_16,-24.0,42
1,9,492,fixed,4,740,False,2,0.5529381395633806,-0.46821907248222194,10.985364641217899,167,False,943,0.0003877774812780957,-17.89529099912382,-8.658316439743315,740,False,2,0.03455864371770581,-0.46821772510141435,10.98536657823878,740,False,4,0.0500343115216408,-0.3328688864892851,5.328346091867491,740,False,3,0.11300389266461762,-0.1302020583533944,5.862998821012498,740,False,2,0.3819137624155584,-0.6035679110943509,16.316723620248922,740,False,2,9.056384312933647,-0.2217731181982477,11.165097677413263,0_0_0_10_14_16,-24.0,42
