dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,savaux_codec_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_codec_gain_vs_traditional_fft,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,savaux_codec_crc_valid,savaux_codec_success,savaux_codec_selected_source,savaux_codec_selection_variant,savaux_codec_base_crc_valid,savaux_codec_selected_beam_rank,savaux_codec_candidate_payload_count,savaux_codec_observed_crc_valid_count,savaux_codec_accepted_crc_valid_count,savaux_codec_accepted_crc_min_beam_rank,savaux_codec_accepted_crc_max_beam_rank,savaux_codec_accepted_crc_best_evidence_margin,savaux_codec_selected_evidence_margin,savaux_codec_selected_is_earliest_accepted_crc,savaux_codec_selected_source_is_argmax_fallback,savaux_codec_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_symbol_change_count,savaux_codec_symbol_fix_count,savaux_codec_symbol_break_count,winner_by_symbol_ser
0_0_0_10_14_16,-23.0,1,0,1,33,35,0.8,0.45714285714285713,0.17142857142857143,0.02857142857142857,0.0,0.6285714285714286,0.7714285714285715,0.8,0.14285714285714285,0.17142857142857143,0.02857142857142857,0,0,0,0,1,1,beam,savaux_codec,1,0,2048,1,1,0,0,3.5027021425576725,3.5027021425576725,1,0,1.0,1.0571428571428572,1,1,0,savaux_codec
0_0_0_10_14_16,-23.0,2,1,2,33,35,0.8857142857142857,0.4,0.14285714285714285,0.08571428571428572,0.0,0.7428571428571429,0.7999999999999999,0.8857142857142857,0.057142857142857134,0.14285714285714285,0.08571428571428572,0,0,0,0,1,1,beam,savaux_codec,1,3,2048,1,1,3,3,1.2625057355650258,1.2625057355650258,1,0,1.0,1.9428571428571428,3,3,0,savaux_codec
0_0_0_10_14_16,-23.0,3,2,3,33,35,0.6857142857142857,0.4,0.2,0.02857142857142857,0.0,0.4857142857142857,0.6571428571428571,0.6857142857142857,0.17142857142857143,0.2,0.02857142857142857,0,0,0,0,1,1,beam,savaux_codec,1,0,2048,2,1,0,0,2.706006025661468,2.706006025661468,1,0,1.0,1.0285714285714285,1,1,0,savaux_codec
0_0_0_10_14_16,-23.0,5,3,5,33,35,0.7142857142857143,0.37142857142857144,0.2,0.11428571428571428,0.0,0.5142857142857142,0.6,0.7142857142857143,0.08571428571428573,0.2,0.11428571428571428,0,0,0,0,1,1,beam,savaux_codec,1,7,2048,5,1,7,7,6.295248122131282,6.295248122131282,1,0,1.0,1.1428571428571428,4,4,0,savaux_codec
0_0_0_10_14_16,-23.0,6,4,6,33,35,0.7428571428571429,0.3142857142857143,0.2571428571428571,0.05714285714285714,0.0,0.48571428571428577,0.6857142857142857,0.7428571428571429,0.19999999999999998,0.2571428571428571,0.05714285714285714,0,0,0,0,1,1,beam,savaux_codec,1,0,2048,4,1,0,0,3.826428600628757,3.826428600628757,1,0,1.0,1.0571428571428572,2,2,0,savaux_codec
0_0_0_10_14_16,-23.0,8,5,8,33,35,0.8,0.3142857142857143,0.2,0.05714285714285714,0.0,0.6000000000000001,0.7428571428571429,0.8,0.14285714285714288,0.2,0.05714285714285714,0,0,0,0,1,1,beam,savaux_codec,1,0,2048,6,3,0,164,3.1329083832023334,3.1329083832023334,1,0,1.0,1.0857142857142856,2,2,0,savaux_codec
0_0_0_10_14_16,-23.0,9,6,9,33,35,0.8285714285714286,0.4857142857142857,0.3142857142857143,0.11428571428571428,0.0,0.5142857142857143,0.7142857142857143,0.8285714285714286,0.2,0.3142857142857143,0.11428571428571428,0,0,0,0,1,1,beam,savaux_codec,1,6,2048,5,1,6,6,1.3640752425388323,1.3640752425388323,1,0,1.0,1.1142857142857143,4,4,0,savaux_codec
0_0_0_10_14_16,-23.0,10,7,10,33,35,0.7714285714285715,0.3142857142857143,0.17142857142857143,0.02857142857142857,0.0,0.6000000000000001,0.7428571428571429,0.7714285714285715,0.14285714285714285,0.17142857142857143,0.02857142857142857,0,0,0,0,1,1,beam,savaux_codec,1,0,2048,13,9,0,73,0.10796145460156303,-0.1897038946200258,1,0,1.0,1.0285714285714285,1,1,0,savaux_codec
0_0_0_10_14_16,-23.0,11,8,11,33,35,0.6285714285714286,0.14285714285714285,0.02857142857142857,0.0,0.0,0.6,0.6285714285714286,0.6285714285714286,0.02857142857142857,0.02857142857142857,0.0,0,0,0,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,savaux_paper
0_0_0_10_14_16,-23.0,12,9,12,33,35,0.4857142857142857,0.17142857142857143,0.08571428571428572,0.0,0.0,0.4,0.4857142857142857,0.4857142857142857,0.08571428571428572,0.08571428571428572,0.0,0,0,0,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,savaux_paper
0_0_0_10_14_16,-23.0,13,10,13,33,35,0.7142857142857143,0.14285714285714285,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.6571428571428571,0.6857142857142857,0.6857142857142857,0.02857142857142857,0.02857142857142857,0.0,0,0,0,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,savaux_paper
