packet_index,event_index,detected_start_sample,detected_end_sample,detected_window_count,detected_reference_bin,detected_reference_signed_bin,detected_mean_confidence_db,aligned_start_sample,align_offset_samples,align_peak_bin,align_peak_signed_bin,align_confidence_db,align_peak_share,frame_valid,located_preamble_start_sample,located_sfd_start_sample,located_payload_start_sample,locator_score,preamble_ref_bin,preamble_ref_signed_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_expected_bin,sync2_expected_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,grlora_framesync_valid,grlora_coarse_offset_chips,grlora_coarse_offset_samples,grlora_synced_preamble_start_sample,grlora_synced_sfd_start_sample,grlora_synced_payload_start_sample,grlora_fine_preamble_start_sample,grlora_fine_payload_start_sample,grlora_preamble_peak_mean_signed_bin,grlora_preamble_peak_max_abs_signed_bin,grlora_preamble_bin0_count,grlora_preamble_peak_count,grlora_sync1_peak_signed_bin,grlora_sync2_peak_signed_bin,grlora_sync1_expected_signed_bin,grlora_sync2_expected_signed_bin,grlora_sync1_distance,grlora_sync2_distance,grlora_sfd1_peak_signed_bin,grlora_sfd2_peak_signed_bin,grlora_sfd_mean_signed_bin,grlora_up_symbols_used,grlora_cfo_frac_est,grlora_sto_frac_initial,grlora_sto_frac_refined,grlora_sto_frac_used,grlora_sto_sample_correction,grlora_cfo_int_est,grlora_down_val_signed_bin,grlora_cfo_total_est,grlora_cfo_hz_est,grlora_sfo_hat,grlora_sfo_samples_per_symbol,grlora_clk_off,grlora_fs_p,grlora_netid_sto_frac_est,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid1_est,grlora_netid2_est,grlora_netid_offset,grlora_netid_valid,grlora_sfo_cum_initial,grlora_fine_preamble_peak_mean_signed_bin,grlora_fine_preamble_peak_max_abs_signed_bin,grlora_fine_preamble_bin0_count,grlora_fine_preamble_peak_count,grlora_spectrum_chirps,grlora_spectrum_raw_peak_signed_bin,grlora_spectrum_peak_signed_bin,grlora_spectrum_peak_relative_db,grlora_spectrum_bin0_relative_db,grlora_spectrum_bin0_is_peak
0,0,1835008,2179072,18,16036,-348,4.372817203301156,1851392,16384,16036,-348,5.894563112500996,0.6714183482971605,1,1885608,2180520,2217384,423.63900085234246,14,14,16,38,46,24,32,0,0,13,13,0,5.574332123130726,24.61850901994141,1,-14,-56,1885552,2180464,2217328,1885552,2217376,0.0,0,16,16,24,32,24,32,0,0,27,27,27.0,12,-0.19329029321670532,0.04615511748224499,0.027019429191162736,0.027019429191162736,0,13,27,12.806709706783295,390.82976400095504,0.003282425083756227,0.013129700335024908,8.013733114639226e-07,124999.89982833607,0.07953823053126241,0.09348853713722638,0,25,33,1,1,0.09348853713722638,1.0,1,0,12,,,,,,
1,1,4341760,4685824,18,1262,1262,0.4178297295291562,4353160,11400,16,16,2.1727167919729693,0.501422968526608,1,4386008,4680920,4717784,373.9688345831553,36,36,16,60,68,24,32,0,0,16375,16375,0,0.9562286646154957,23.635192726482224,0,-36,-144,4385864,4680776,4717640,4385863,4717687,0.25,1,12,16,24,32,24,32,0,0,27,27,27.0,12,-0.18919549882411957,0.17734214206237375,0.15996077076397275,0.15996077076397275,1,13,27,12.81080450117588,390.9547272087366,0.0032834746004654193,0.013133898401861677,8.016295411292528e-07,124999.89979630736,0.2124963643714195,0.22645113142339746,1,25,33,1,1,-0.023548868576602544,1.0,1,0,12,,,,,,
2,2,6832128,7192576,19,15223,-1161,4.339055744376254,6848512,16384,15223,-1161,3.8607497141680645,0.521870078348639,1,6883328,7178240,7215104,341.13637200341066,15735,-649,16,15759,15767,24,32,0,0,677,677,0,7.086877604445292,4.423544253168929,1,649,2596,6885924,7180836,7217700,6885922,7217758,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,-0.1645887941122055,0.45408315483576955,0.43403193817633245,0.43403193817633245,2,14,28,13.835411205887794,422.22324236718123,0.0035460865301127215,0.014184346120450886,8.657437817658011e-07,124999.89178202728,0.490769322658136,-0.49415980958888506,-2,24,32,0,1,0.005840190411114943,0.0,0,12,12,,,,,,
3,3,9338880,9699328,19,394,394,9.392374164972884,9353744,14864,14,14,10.87717861964532,0.8360824626257226,1,9386512,9681424,9718288,421.0283010775649,14,14,16,38,46,24,32,0,0,14,14,0,14.826868974321556,5.4469742293621,1,-14,-56,9386456,9681368,9718232,9386454,9718286,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,-0.1503465324640274,0.4943989992071031,0.472959948663122,0.472959948663122,2,14,28,13.849653467535973,422.6578816997062,0.0035497368944884078,0.014198947577953631,8.666349840059589e-07,124999.891670627,-0.47024426102506345,-0.4551578792234876,-2,25,33,1,1,0.044842120776512395,0.0,0,12,12,,,,,,
4,4,11894784,12189696,15,1974,1974,0.9578466611809773,11886944,-7840,14,14,15.821743236029517,0.9293776015538716,1,11886944,12181856,12218720,398.9966082250378,14,14,16,38,46,24,32,0,0,14,14,0,14.62723522362654,1.6091478877961443,1,-14,-56,11886888,12181800,12218664,11886889,12218713,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,-0.04629211500287056,-0.2870193072562701,-0.307994125878539,-0.307994125878539,-1,13,27,12.95370788499713,395.3157923888284,0.0033201014673459937,0.013280405869383975,8.10571647301268e-07,124999.8986785441,-0.2548725024010031,-0.24076207116478265,-1,25,33,1,1,0.009237928835217346,1.0,1,0,12,,,,,,
5,5,14336000,14696448,19,15800,-584,10.277130435783937,14352384,16384,15800,-584,13.610372644967796,0.7740456953044372,1,14387200,14682112,14718976,486.4517879462771,16312,-72,16,16336,16344,24,32,0,0,100,100,0,18.616524722152892,12.453994795693967,1,72,288,14387488,14682400,14719264,14387490,14719314,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,0.0576891154050827,-0.4611111760372951,-0.4805784872671496,-0.4805784872671496,-2,13,27,13.057689115405083,398.48904771133675,0.0033467523875858832,0.013387009550343533,8.170782196254598e-07,124999.89786522255,-0.4270304490657755,-0.41280675141853546,-2,25,33,1,1,0.08719324858146454,1.0,1,0,12,,,,,,
6,6,16842752,17203200,19,1048,1048,2.7882166249808744,16855000,12248,14,14,3.827395948360237,0.5776348528608585,1,16887768,17182680,17219544,331.6365145448757,14,14,16,38,46,24,32,0,0,14,14,0,5.976370723194531,3.7268843890209453,1,-14,-56,16887712,17182624,17219488,16887712,17219544,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,0.13142091035842896,0.03923330434976565,0.01843397587025725,0.01843397587025725,0,14,28,14.131420910358429,431.256741649122,0.0036219553286750126,0.01448782131470005,8.84266437664798e-07,124999.8894666953,0.07638526112905741,0.09177857127592626,0,24,32,0,1,0.09177857127592626,0.0,0,12,12,,,,,,
7,7,19333120,19693568,19,14952,-1432,1.8993341362691603,19349504,16384,14952,-1432,1.353248792267864,0.40236526714636306,1,19384320,19679232,19716096,273.67275828529847,15464,-920,16,15488,15496,24,32,0,0,949,948,1,3.1625546325978853,0.1595277262910674,1,920,3680,19388000,19682912,19719776,19388000,19719832,0.0,0,16,16,24,32,24,32,0,0,29,28,28.5,12,0.18729394674301147,-0.016672774260840347,-0.03905611724380028,-0.03905611724380028,0,14,28,14.187293946743011,432.96185140206944,0.0036362758731656275,0.01454510349266251,8.87762664347077e-07,124999.88902966696,0.019124296726849788,0.03457846918780372,0,24,32,0,1,0.03457846918780372,0.0,0,12,12,,,,,,
8,8,21839872,22183936,18,179,179,10.20933468951423,21855600,15728,15,15,14.861756783918409,0.9188447507983277,1,21888368,22183280,22220144,484.9361884433499,15,15,16,39,47,24,32,0,0,13,13,0,12.5171602835999,23.918526130168253,1,-15,-60,21888308,22183220,22220084,21888310,22220134,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,0.17632192373275757,-0.4730397295568689,-0.4934940313521061,-0.4934940313521061,-2,13,27,13.176321923732758,402.1094337076647,0.0033771585820516602,0.013508634328206641,8.245016069462061e-07,124999.89693729913,-0.43945949403927953,-0.42510657006556,-2,25,33,1,1,0.07489342993443998,1.0,1,0,12,,,,,,
9,9,24363008,24707072,18,1772,1772,1.918801853080855,24372360,9352,14,14,8.344670652044831,0.7600256883418859,1,24388744,24683656,24720520,378.5947656300535,14,14,16,38,46,24,32,0,0,14,14,0,9.91017659655131,5.622884196712145,1,-14,-56,24388688,24683600,24720464,24388688,24720519,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,0.15921400487422943,0.10363962684830447,0.08262293790765417,0.08262293790765417,0,14,28,14.15921400487423,432.1049195823434,0.003629078840699772,0.014516315362799088,8.860055763427178e-07,124999.88924930296,0.14068819935885046,0.1561117844318245,1,24,32,0,1,-0.0938882155681755,0.0,0,12,12,,,,,,
