packet_index,event_index,candidate_index,selected,candidate_values,candidate_payload_hex,score,signal_score,prior_score,score_mode,effective_kappa,known_symbols,mean_phase_score,mean_amp_score,mean_profile_score,line_rmse_pi,line_r2,map_phase_ll,map_line_ll,map_amp_ll,map_profile_ll
1,1,50,1,6:32,404433221100320058303132333435363738393a3b3c3d3e3f4041424378563412,0.024181597,0.024181597,0.000000000,map,4.000000000,10,0.692036707,0.369468675,0.000000000,0.095782197,0.755175270,1.536293657,-0.050967940,-1.672039236,0.000000000
1,1,82,0,6:52,404433221100520058303132333435363738393a3b3c3d3e3f4041424378563412,-0.017173571,-0.017173571,0.000000000,map,4.000000000,10,0.680160949,0.380834876,0.000000000,0.092519136,0.793638583,1.441287589,-0.047554392,-1.768591363,0.000000000
1,1,98,0,6:62,404433221100620058303132333435363738393a3b3c3d3e3f4041424378563412,-0.076757441,-0.076757441,0.000000000,map,4.000000000,10,0.677880298,0.369889770,0.000000000,0.092519136,0.793638583,1.423042385,-0.047554392,-2.043704207,0.000000000
1,1,52,0,6:34,404433221100340058303132333435363738393a3b3c3d3e3f4041424378563412,-0.082715243,-0.082715243,0.000000000,map,4.000000000,10,0.639124884,0.371873273,0.000000000,0.108049153,0.536355198,1.112999069,-0.064858997,-1.642677558,0.000000000
1,1,114,0,6:72,404433221100720058303132333435363738393a3b3c3d3e3f4041424378563412,-0.083866412,-0.083866412,0.000000000,map,4.000000000,10,0.656114434,0.378568360,0.000000000,0.132832990,0.627517644,1.248915476,-0.098025574,-1.735412471,0.000000000
1,1,2,0,6:02,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,-0.090789752,-0.090789752,0.000000000,map,4.000000000,10,0.687768372,0.356689812,0.000000000,0.095782197,0.755175270,1.502146972,-0.050967940,-2.204212623,0.000000000
1,1,18,0,6:12,404433221100120058303132333435363738393a3b3c3d3e3f4041424378563412,-0.095184966,-0.095184966,0.000000000,map,4.000000000,10,0.666002508,0.365368401,0.000000000,0.131461362,0.680188495,1.328020063,-0.096011609,-1.895920887,0.000000000
1,1,84,0,6:54,404433221100540058303132333435363738393a3b3c3d3e3f4041424378563412,-0.122991419,-0.122991419,0.000000000,map,4.000000000,10,0.627249125,0.383239475,0.000000000,0.103304131,0.586584520,1.017993001,-0.059287464,-1.739229685,0.000000000
1,1,242,0,6:f2,404433221100f20058303132333435363738393a3b3c3d3e3f4041424378563412,-0.146762499,-0.146762499,0.000000000,map,4.000000000,10,0.654077417,0.304396993,0.000000000,0.132832990,0.627517644,1.232619333,-0.098025574,-2.029522727,0.000000000
1,1,34,0,6:22,404433221100220058303132333435363738393a3b3c3d3e3f4041424378563412,-0.158567528,-0.158567528,0.000000000,map,4.000000000,10,0.663721857,0.354423295,0.000000000,0.136563607,0.668167484,1.309774859,-0.103608994,-2.171033731,0.000000000
1,1,146,0,6:92,404433221100920058303132333435363738393a3b3c3d3e3f4041424378563412,-0.165206641,-0.165206641,0.000000000,map,4.000000000,10,0.663965490,0.291197034,0.000000000,0.140880449,0.544253777,1.311723920,-0.110262784,-2.190031144,0.000000000
