packet_index,joint_byte_value,joint_byte_hex,affine_byte_value,affine_byte_hex,used_outlier,joint_payload_hex,joint_score,joint_candidate_rank,joint_candidate_count,candidate_top1_gap,candidate_score_std,candidate_entropy_norm,independent_byte_value,independent_byte_hex,independent_payload_hex,independent_score,score_gap_independent_minus_joint,expected_payload_hex,joint_app_exact,independent_app_exact,affine_slope,affine_intercept
1,2,02,2,02,0,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,0.446538059,1,256,0.126979037,0.301294030,0.926191902,2,02,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,0.446538059,0.000000000,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,1,1,1,1
2,3,03,3,03,0,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,0.459324430,1,256,0.148293537,0.177875865,0.919255096,3,03,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,0.459324430,0.000000000,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,1,1,1,1
3,4,04,4,04,0,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,0.354122665,1,256,0.126624329,0.226300764,0.917599342,4,04,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,0.354122665,0.000000000,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,1,1,1,1
5,6,06,6,06,0,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0.491739853,1,256,0.212504865,0.263933944,0.918752746,6,06,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0.491739853,0.000000000,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,1,1,1,1
6,7,07,7,07,0,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0.440315387,1,256,0.127205183,0.268579676,0.919456956,7,07,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0.440315387,0.000000000,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,1,1,1,1
