frame_index,packet_index,event_index,header_start_sample,source_frame_valid,source_grlora_framesync_valid,source_grlora_netid_valid,source_grlora_cfo_int,source_grlora_cfo_frac,source_grlora_payload_sto_frac,source_grlora_sfo_hat,header_valid,payload_len,cr,has_crc,ldro,payload_symbol_count,total_symbol_count,header_checksum_received,header_checksum_computed,header_error,header_nibbles,gray_symbols,codewords,decoded_nibbles,error
0,0,0,1014007,0,0,0,-24,-0.20646830419512133,-0.4326940376473818,-0.006204241414854194,0,69,1,1,0,0,8,19,20,-1,4 5 3 7 3,222 110 242 8 30 186 169 237,44 167 197 226 197 11 255 233,4 5 3 7 3 1 15 7,
1,1,1,2518192,1,1,1,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
2,2,2,4018557,1,1,1,-24,-0.27825675980667963,-0.22708294569816,-0.006222641162550411,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
3,3,3,5518920,1,1,1,-24,-0.22814255140766385,-0.47433050608014027,-0.006209796635074755,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
4,4,4,7015188,0,0,0,-24,-0.22884731159436633,0.46561321467916394,-0.006209977268708828,0,84,1,1,0,0,8,19,3,16,5 4 3 7 3,9 110 242 8 30 186 169 237,172 39 69 226 69 11 127 105,5 4 3 7 3 1 15 6,
5,5,5,8519648,1,1,1,-24,-0.2470649666885119,-0.3829332194884841,-0.006214646546721477,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
6,6,6,10020012,1,1,1,-24,-0.2696020429472565,-0.20641451367369845,-0.006220422914431837,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
7,7,7,11516284,0,0,0,-24,-0.32000643507340576,-0.2874951149954756,-0.006233341817478318,0,69,1,1,0,0,8,19,20,-1,4 5 3 7 3,78 110 242 8 30 186 169 237,44 167 197 226 69 11 255 105,4 5 3 7 3 1 15 6,
8,8,8,13020741,1,1,1,-24,-0.3483401354552673,-0.31076598572039227,-0.006240603889546665,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
9,9,9,14521106,1,1,1,-24,-0.3905926756700688,-0.13882633954043927,-0.006251433431328191,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
10,10,10,16021471,1,1,1,-24,-0.439221980632291,0.02365388137379698,-0.006263897370471676,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
11,11,11,17521840,1,1,1,-24,0.12328787264913654,0.33956135088487627,-0.0061197232231266305,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
12,12,12,19022206,1,1,1,-24,-0.11851083147497382,0.34677628905892344,-0.006181697465520549,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
13,13,13,20522566,1,1,1,-25,-0.25404660440359844,-0.3960338435637206,-0.006472741081710989,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
