kind,step_index,source_file,output_file,noise_power_db_relative,added_noise_power,seed,detected_packets,decoded_payload_packets,expected_packet_count,crc_valid_packets,crc_invalid_packets,correct_payload_packets,wrong_payload_packets,missed_detection_packets,missed_correct_payload_packets,compared_payload_packets,compared_byte_count,compared_bit_count,byte_error_count,bit_error_count,ber,all_expected_payloads_correct,grlora_snr_count,grlora_snr_mean,grlora_snr_median,grlora_snr_std,grlora_snr_min,grlora_snr_max,sf,preamble_len,samp_rate,bw,sync_word
clean,0,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,,0,,8,8,8,8,0,8,0,0,0,8,264,2112,0,0,0,True,8,3.9079386,6.63164926,8.05155549,-16.9496498,9.43907738,10,8,500000,125000,0x34
noisy,1,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_16\0_0_0_10_14_16_noise_rel_10p0dB.bin,10,9.76913936e-05,20260503,7,7,8,7,0,7,0,1,1,7,231,1848,0,0,0,False,7,-2.64799816,-2.81672001,0.927811625,-4.06464005,-1.05862522,10,8,500000,125000,0x34
noisy,2,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_16\0_0_0_10_14_16_noise_rel_15p0dB.bin,15,0.000308927312,20260503,7,7,8,7,0,7,0,1,1,7,231,1848,0,0,0,False,7,-7.32318837,-7.52172947,0.895940666,-8.59795094,-5.61861563,10,8,500000,125000,0x34
noisy,3,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_16\0_0_0_10_14_16_noise_rel_25p0dB.bin,25,0.00308927312,20260503,7,7,8,5,2,3,4,1,5,7,231,1848,13,15,0.00811688312,False,7,-17.4613007,-18.0269089,1.05095792,-18.4377384,-15.7529373,10,8,500000,125000,0x34
noisy,4,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_16\0_0_0_10_14_16_noise_rel_30p0dB.bin,30,0.00976913936,20260503,0,0,8,0,0,0,0,8,8,0,0,0,0,0,,False,0,,,,,,10,8,500000,125000,0x34
