file_name,packet_index,event_index,anchor_count,preamble_len,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,netid_valid,anchor_slope_pi_per_symbol,anchor_intercept_pi,anchor_fit_r2,anchor_fit_rmse_pi,anchor_residual_std_pi,anchor_residual_peak_to_peak_pi,anchor_bin_mode,anchor_bin,anchor_signed_bin,anchor_bin_argmax_rate,anchor_mean_er,anchor_mean_margin_db,payload_symbol_count,payload_phase_offset_rad,payload_phase_offset_pi,payload_residual_direct_rmse_pi,payload_residual_direct_std_pi,payload_residual_aligned_rmse_pi,payload_residual_aligned_std_pi,payload_residual_aligned_peak_to_peak_pi,payload_own_slope_pi_per_symbol,payload_own_fit_r2,payload_own_fit_rmse_pi,preamble_payload_slope_delta_pi_per_symbol,payload_argmax_correct_rate,payload_gt_top8_recall,payload_gt_top16_recall,payload_gt_top32_recall,payload_mean_gt_rank,payload_mean_gt_er
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,1,1,12,16.0,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,1,-0.6596077128706215,0.8855120011128353,0.9501234195209995,0.52170073043962,0.52170073043962,1.6280354679280984,bin0,0,0,0.0,0.007699830277355522,19.897601664661526,35,-0.3038804567686828,-0.09672815360751776,0.5632079170165158,0.5632078206518487,0.568565469468368,0.5683043953415279,1.9275369859479607,-0.05404652253670309,0.9451945794000373,0.1314374086043778,0.6055611903339184,1.0,1.0,1.0,1.0,1.0,0.7918576734151025
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,2,2,12,16.0,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,1,-0.5205444613028065,-0.9915126348957435,0.9826773795306311,0.23858137719580788,0.23858137719580788,0.9084122905925174,bin0,0,0,0.0,0.00805179573320646,18.950567201572255,35,2.660577162374817,0.8468880137387208,0.5879159567465524,0.5872021382076686,0.5601449524695419,0.5598580538303677,1.8586662003243193,-0.09982351947389313,0.9705829797324523,0.17551569893339264,0.4207209418289134,1.0,1.0,1.0,1.0,1.0,0.7786928224356088
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,3,3,12,16.0,10,125000.0,500000.0,-24,-0.22814255140766385,-0.006209796635074755,1,-0.3984659333628456,0.4217509694703283,0.937711388812063,0.35451802547574324,0.3017233025618181,1.2060752705546178,bin0,0,0,0.0,0.008507371569179283,18.81005424798879,35,-3.015943373523473,-0.9600045919630145,0.5848328607638643,0.580799214754133,0.5747471022505832,0.5742926869832015,1.9679404108567393,-0.10715310839377311,0.9710404698284352,0.18688822987044112,0.29131282496907246,1.0,1.0,1.0,1.0,1.0,0.7825964113984692
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,5,5,12,16.0,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,1,-0.14657953402372567,-0.1697721205273707,0.651295083728624,0.3702464197915007,0.3702464197915007,1.3080708221301849,bin0,0,0,0.0,0.0007694523818987078,28.056761721177534,35,1.8112242977913662,0.5765306000832859,0.5878101943661342,0.37618004852122183,0.39016711912012214,0.38424631276426835,1.9155074261897986,-0.11479103658933575,0.9721954539771352,0.19606007970398928,0.031788497434389926,1.0,1.0,1.0,1.0,1.0,0.8215266995304912
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,6,6,12,16.0,10,125000.0,500000.0,-24,-0.2696020429472565,-0.006220422914431837,1,-0.49316936782369036,-1.060322996300352,0.9797149535488282,0.24496927904716567,0.24496927904716567,0.9449722620671815,bin0,0,0,0.0,0.0061285693676384105,20.53419585638062,35,1.6789713637836585,0.5344331837118201,0.5784894325215071,0.5784135097878667,0.5573775984288855,0.5532240904966522,1.7832544806835546,-0.12256638084554072,0.9736761035187537,0.20353508349484112,0.37060298697814964,1.0,1.0,1.0,1.0,1.0,0.7987397127635228
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,8,8,12,16.0,10,125000.0,500000.0,-24,-0.3483401354552673,-0.006240603889546665,1,-0.683454433774976,-0.8997653654350004,0.9985594373077525,0.08961198186387401,0.089611981863874,0.3056410809363914,bin0,0,0,0.0,0.004803078536437008,22.733863444746564,35,0.23146193971255732,0.07367662368578354,0.5652238679576697,0.5616465212204244,0.569988987174587,0.5695294795113368,1.9255927846911538,-0.12008088873379838,0.9724390582765607,0.20416900333896149,0.5633735450411775,1.0,1.0,1.0,1.0,1.0,0.8209265681858195
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,9,9,12,16.0,10,125000.0,500000.0,-24,-0.3905926756700688,-0.006251433431328191,1,-0.09368133818803685,-0.7328830170972824,0.2989476306577339,0.49523137849215937,0.49523137849215937,1.5442888816049196,bin0,0,0,0.0,0.0004670396865605701,26.511156622504725,35,-2.7729054384902634,-0.88264321452425,0.7485149305573133,0.67152681778148,0.32764367408363443,0.31857003863391264,1.1294178946282571,-0.11815086862308258,0.9724006806400374,0.20103124559288468,-0.024469530435045725,1.0,1.0,1.0,1.0,1.0,0.8196537319473856
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,10,12,16.0,10,125000.0,500000.0,-24,-0.439221980632291,-0.006263897370471676,1,-0.6048850890209818,-0.8339642442260091,0.949588380065908,0.48111390115969754,0.48111390115969754,1.5677426385017021,bin0,0,0,0.0,0.010161844357615126,19.15522786450433,35,-1.6789118587285643,-0.5344142426645058,0.5764735900412093,0.576469042781534,0.5646247815469126,0.5643429100873573,1.9297269410077649,-0.12343023171817927,0.9726056702865761,0.20921054502214867,0.4814548573028026,1.0,1.0,1.0,1.0,1.0,0.8107315984044784
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,11,11,12,16.0,10,125000.0,500000.0,-24,0.12328787264913654,-0.0061197232231266305,1,0.21277480709188804,-0.17542944554455323,0.905751092232563,0.23693615198459275,0.23693615198459272,0.9107766271601777,bin0,0,0,1.0,0.8730904732109451,25.39817877026586,35,-2.952698333393568,-0.9398730704375751,0.5984401286064289,0.5915662906800109,0.5030028521058879,0.4988042026775271,1.6711954005719032,-0.158215864105361,0.6225585681772449,1.2441845142537302,-0.37099067119724904,1.0,1.0,1.0,1.0,1.0,0.8503624997760973
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,12,12,12,16.0,10,125000.0,500000.0,-24,-0.11851083147497382,-0.006181697465520549,1,-0.19991807757999364,-0.5022639119436643,0.9241844948535675,0.1976647102239312,0.19766471022393114,0.8043343193171083,bin0,0,0,1.0,0.9019291365779883,30.1712580557133,35,0.8191854677482557,0.26075483300236263,0.5211070877219692,0.5141345304497991,0.49365686450043855,0.4936375590784033,1.859973920115792,-0.19441250008934827,0.8293442153195204,0.8906711152005304,0.005505577490645369,1.0,1.0,1.0,1.0,1.0,0.8704455447253877
