method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,training_dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
savaux,0,70,25,0.35714285714285715,0,0,0.23115199999665492,3.302171428523642,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,22,0.3142857142857143,3,0,0.1017156999805593,1.4530814282937041,14,0.2,15,0.21428571428571427,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,25,0.35714285714285715,0,0,0.09387610000339919,1.3410871429057027,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,23,0.32857142857142857,3,1,0.11159490000864025,1.5942128572662893,17,0.24285714285714285,18,0.2571428571428571,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,29,0.4142857142857143,0,0,0.11435940001683775,1.6337057145262537,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,25,0.35714285714285715,4,0,0.15664019999167067,2.2377171427381524,18,0.2571428571428571,19,0.2714285714285714,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,17,0.24285714285714285,0,0,0.08782209999844781,1.2546014285492544,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,15,0.21428571428571427,2,0,0.1138769000172033,1.6268128573886185,16,0.22857142857142856,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,21,0.3,0,0,0.10416819999591098,1.4881171427987283,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,16,0.22857142857142856,5,0,0.1410691999917617,2.015274285596596,18,0.2571428571428571,18,0.2571428571428571,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,22,0.3142857142857143,0,0,0.09025299998756964,1.2893285712509948,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,3,1,0.13483809999524965,1.9262585713607092,19,0.2714285714285714,20,0.2857142857142857,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,21,0.3,0,0,0.08643420000225888,1.2347742857465553,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,18,0.2571428571428571,3,0,0.11480259999370901,1.6400371427672715,16,0.22857142857142856,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,23,0.32857142857142857,0,0,0.09777370000301744,1.396767142900249,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,3,0,0.1127060999860987,1.610087142658553,14,0.2,14,0.2,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,24,0.34285714285714286,0,0,0.09425779999946826,1.3465399999924037,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,4,0,0.11807089998546871,1.6867271426495531,16,0.22857142857142856,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
