method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,training_dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
savaux,0,70,1,0.014285714285714285,0,0,0.23013629997876706,3.287661428268101,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,1,0.014285714285714285,0,0,0.004016299993963912,0.05737571419948446,0,0.0,1,0.014285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,8,0.11428571428571428,0,0,0.07355939998160466,1.050848571165781,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,8,0.11428571428571428,0,0,0.004480900017370004,0.06401285739100006,0,0.0,7,0.1,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,16,0.22857142857142856,0,0,0.07799900000463822,1.114271428637689,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,16,0.22857142857142856,0,0,0.006052399989130208,0.0864628569875744,0,0.0,15,0.21428571428571427,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,1,0.014285714285714285,0,0,0.0772086999968451,1.1029814285263586,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,1,0.014285714285714285,0,0,0.00390529999640421,0.055789999948631576,0,0.0,3,0.04285714285714286,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,8,0.11428571428571428,0,0,0.07415810002203216,1.0594014288861737,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,8,0.11428571428571428,0,0,0.004866100003710017,0.06951571433871452,0,0.0,8,0.11428571428571428,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,15,0.21428571428571427,0,0,0.07679050001024734,1.0970071430035335,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,15,0.21428571428571427,0,0,0.005257399989204714,0.07510571413149592,0,0.0,12,0.17142857142857143,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,1,0.014285714285714285,0,0,0.07240779999847291,1.0343971428353274,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,1,0.014285714285714285,0,0,0.0035372000202187337,0.050531428860267624,0,0.0,1,0.014285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,5,0.07142857142857142,0,0,0.08176250002725283,1.1680357146750404,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,5,0.07142857142857142,0,0,0.005261700018309057,0.0751671431187008,0,0.0,10,0.14285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,15,0.21428571428571427,0,0,0.07540319998224732,1.0771885711749616,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,15,0.21428571428571427,0,0,0.0061153999995440245,0.0873628571363432,0,0.0,17,0.24285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
