snr_label,added_snr_db,seed,method,decisions,errors,ser,fixes_vs_savaux,breaks_vs_savaux,paired_sign_p,mean_gt_margin_db,physical_samples,sample_fraction_vs_savaux,branch_phases,downsample_phases,uses_phase_fingerprint
clean,,,litenap_savaux_k1,196,0,0.0,0,0,1.0,3.8145623418396153,1024,0.25,0|1|2|3,0,0
clean,,,litenap_savaux_k1_phase,196,0,0.0,0,0,1.0,3.8145623418396153,1024,0.25,0|1|2|3,0,1
clean,,,litenap_savaux_k2,196,0,0.0,0,0,1.0,6.841350829330778,2048,0.5,0|1|2|3,0|1,0
clean,,,litenap_savaux_k2_phase,196,0,0.0,0,0,1.0,6.841350829330778,2048,0.5,0|1|2|3,0|1,1
clean,,,litenap_single,196,168,0.8571428571428571,0,168,5.3455294201843883e-51,0.0,256,0.0625,0,0,0
clean,,,litenap_single_phase,196,98,0.5,0,98,6.310887241768107e-30,0.0,256,0.0625,0,0,1
clean,,,savaux,196,0,0.0,0,0,1.0,19.512733430787023,4096,1.0,0|1|2|3,0|1|2|3,0
clean,,,savaux_phase,196,0,0.0,0,0,1.0,19.512733430787023,4096,1.0,0|1|2|3,0|1|2|3,1
-28,-28.0,,litenap_savaux_k1,196,187,0.9540816326530612,3,69,2.6371947296288878e-17,-6.686026867104599,1024,0.25,0|1|2|3,0,0
-28,-28.0,,litenap_savaux_k1_phase,196,190,0.9693877551020408,1,70,6.098637220231101e-20,-6.686026867104599,1024,0.25,0|1|2|3,0,1
-28,-28.0,,litenap_savaux_k2,196,175,0.8928571428571429,1,55,1.5820678100908741e-15,-4.24418789919527,2048,0.5,0|1|2|3,0|1,0
-28,-28.0,,litenap_savaux_k2_phase,196,179,0.9132653061224489,0,58,6.9388939039072176e-18,-4.24418789919527,2048,0.5,0|1|2|3,0|1,1
-28,-28.0,,litenap_single,196,196,1.0,0,75,5.293955920339389e-23,-8.861043418821435,256,0.0625,0,0,0
-28,-28.0,,litenap_single_phase,196,194,0.9897959183673469,1,74,4.023406499457723e-21,-8.861043418821435,256,0.0625,0,0,1
-28,-28.0,,savaux,196,121,0.6173469387755102,0,0,1.0,-1.0840006226175756,4096,1.0,0|1|2|3,0|1|2|3,0
-28,-28.0,,savaux_phase,196,139,0.7091836734693877,5,23,0.0009122341871261501,-1.0840006226175756,4096,1.0,0|1|2|3,0|1|2|3,1
-26,-26.0,,litenap_savaux_k1,196,184,0.9387755102040817,1,129,1.9248719994716244e-37,-4.99161414164228,1024,0.25,0|1|2|3,0,0
-26,-26.0,,litenap_savaux_k1_phase,196,184,0.9387755102040817,2,130,3.224895283084391e-36,-4.99161414164228,1024,0.25,0|1|2|3,0,1
-26,-26.0,,litenap_savaux_k2,196,137,0.6989795918367347,3,84,1.4194419311408772e-21,-1.898669269382258,2048,0.5,0|1|2|3,0|1,0
-26,-26.0,,litenap_savaux_k2_phase,196,153,0.7806122448979592,1,98,3.1554436208839275e-28,-1.898669269382258,2048,0.5,0|1|2|3,0|1,1
-26,-26.0,,litenap_single,196,196,1.0,0,140,1.4349296274686257e-42,-7.888988887544593,256,0.0625,0,0,0
-26,-26.0,,litenap_single_phase,196,195,0.9948979591836735,0,139,2.8698592549372158e-42,-7.888988887544593,256,0.0625,0,0,1
-26,-26.0,,savaux,196,56,0.2857142857142857,0,0,1.0,1.0584932713676884,4096,1.0,0|1|2|3,0|1|2|3,0
-26,-26.0,,savaux_phase,196,78,0.3979591836734694,4,26,5.947612226009368e-05,1.0584932713676884,4096,1.0,0|1|2|3,0|1|2|3,1
-24,-24.0,,litenap_savaux_k1,196,172,0.8775510204081632,0,161,6.8422776578360095e-49,-3.5013340699860147,1024,0.25,0|1|2|3,0,0
-24,-24.0,,litenap_savaux_k1_phase,196,175,0.8928571428571429,0,164,8.552847072295085e-50,-3.5013340699860147,1024,0.25,0|1|2|3,0,1
-24,-24.0,,litenap_savaux_k2,196,96,0.4897959183673469,0,85,5.169878828456448e-26,-0.2409216650065246,2048,0.5,0|1|2|3,0|1,0
-24,-24.0,,litenap_savaux_k2_phase,196,110,0.5612244897959183,1,100,8.046381233254399e-29,-0.2409216650065246,2048,0.5,0|1|2|3,0|1,1
-24,-24.0,,litenap_single,196,196,1.0,0,185,4.0783152924990624e-56,-7.307387944970064,256,0.0625,0,0,0
-24,-24.0,,litenap_single_phase,196,195,0.9948979591836735,1,185,3.813224798486463e-54,-7.307387944970064,256,0.0625,0,0,1
-24,-24.0,,savaux,196,11,0.05612244897959184,0,0,1.0,2.926365329523236,4096,1.0,0|1|2|3,0|1|2|3,0
-24,-24.0,,savaux_phase,196,19,0.09693877551020408,4,12,0.0768127441406251,2.926365329523236,4096,1.0,0|1|2|3,0|1|2|3,1
