method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent
savaux,0,70,8,0.11428571428571428,0,0,0.4427819000047748,6.325455714353926,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,8,0.11428571428571428,0,0,1.017083000002458,14.529757142892256,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,8,0.11428571428571428,2,2,1.0254595000042173,14.649421428631674,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,9,0.12857142857142856,1,2,1.0888939999967988,15.55562857138284,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,8,0.11428571428571428,0,0,0.16387899998153443,2.3411285711647776,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,10,0.14285714285714285,0,2,1.1052123999979813,15.788748571399733,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,8,0.11428571428571428,1,1,1.089173300020775,15.559618571725357,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,6,0.08571428571428572,3,1,1.1554582000317168,16.506545714738813,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,5,0.07142857142857142,0,0,0.13152969998918707,1.8789957141312439,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,6,0.08571428571428572,0,1,0.817244000001665,11.67491428573807,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,7,0.1,0,2,0.8118864000098256,11.598377142997508,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,6,0.08571428571428572,1,2,0.8625057999852288,12.321511428360411,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
