branch_dimension,branch_covariance_count,branch_snapshots,branch_diagonal_cv,branch_mean_abs_correlation,branch_max_abs_correlation,pair_dimension,pair_covariance_count,pair_snapshots,pair_diagonal_cv,pair_mean_abs_correlation,pair_max_abs_correlation,dataset,snr_db,seed,packet_index,cfo_int,cfo_frac,offpacket_windows,branch_gls_active,branch_gate_diagonal_cv,branch_gate_mean_abs_correlation,min_branch_correlation,min_branch_diagonal_cv
4,1024,256,0.032282149455792095,0.03712933650231569,0.11822205035075532,2,1024,256,0.03198827944209447,0.05065398078751274,0.14904674062505519,0_0_0_10_14_32,-22.0,53,0,-25,0.05380236129609033,256,0,0.010260044645301227,0.014127643142292515,0.05,0.05
4,1024,256,0.03306791011831711,0.03707064072573691,0.13678229650558701,2,1024,256,0.031770087586106374,0.051228394648513156,0.1477385448727344,0_0_0_10_14_32,-22.0,53,2,-25,-0.2621175001545824,256,0,0.013000611162256419,0.013086303359947466,0.05,0.05
4,1024,256,0.0329625594542345,0.03710973604078589,0.1330607728114676,2,1024,256,0.03166186025504725,0.05138820997139183,0.1373430386428862,0_0_0_10_14_32,-22.0,53,3,-25,-0.3325083542533448,256,0,0.013266960663350418,0.014324533917132698,0.05,0.05
4,1024,256,0.03261716320188396,0.03718501662499724,0.12059287813426045,2,1024,256,0.03174411662823763,0.0513343218939412,0.1461163942640138,0_0_0_10_14_32,-22.0,53,4,-25,-0.4459073051101653,256,0,0.013583977395944935,0.016362733775148793,0.05,0.05
4,1024,256,0.032309276442445065,0.03724083267665805,0.12176162080387579,2,1024,256,0.03183044466283476,0.05096199028472754,0.15212734521681398,0_0_0_10_14_32,-22.0,53,5,-25,0.4549490166226258,256,0,0.01043907752151636,0.013378630195396651,0.05,0.05
4,1024,256,0.032017893340292196,0.03724033837886028,0.12813600823466642,2,1024,256,0.032011575443165095,0.050710558996192055,0.15257193135356564,0_0_0_10_14_32,-22.0,53,6,-25,0.36147652624687177,256,0,0.004929938924409375,0.013488940142705552,0.05,0.05
4,1024,256,0.03193521038106231,0.03720660884801216,0.1288143963412719,2,1024,256,0.03191236857415737,0.050575704278215866,0.14978188576326912,0_0_0_10_14_32,-22.0,53,7,-25,0.2634318661684987,256,0,0.0021343919002959327,0.0139685553960137,0.05,0.05
4,1024,256,0.03228163977843462,0.03710922125934678,0.11839222894119164,2,1024,256,0.03193822537125922,0.050634611045913804,0.14916597758929587,0_0_0_10_14_32,-26.0,53,0,-25,0.05380236129609033,256,0,0.010316506411536938,0.014368946184822,0.05,0.05
4,1024,256,0.033060424485340315,0.037052121802227805,0.1367221066883775,2,1024,256,0.031744832186835555,0.051275087935543785,0.14764267866649702,0_0_0_10_14_32,-26.0,53,2,-25,-0.2621175001545824,256,0,0.013018392829528706,0.012638367940829127,0.05,0.05
4,1024,256,0.03295864109694621,0.03709940222566689,0.13302316304998607,2,1024,256,0.03163995285077207,0.05142591560536909,0.137285260693083,0_0_0_10_14_32,-26.0,53,3,-25,-0.3325083542533448,256,0,0.013238845702231983,0.013813501635294137,0.05,0.05
4,1024,256,0.03261907414202482,0.03718014371172601,0.12099704183204446,2,1024,256,0.03167122161221314,0.05132349060204466,0.1455534564692178,0_0_0_10_14_32,-26.0,53,4,-25,-0.4459073051101653,256,0,0.013472480759785119,0.015892404406706726,0.05,0.05
4,1024,256,0.032317438302673654,0.037234678745823445,0.12143122752448753,2,1024,256,0.0317381129687165,0.050924303794366285,0.15138449033116844,0_0_0_10_14_32,-26.0,53,5,-25,0.4549490166226258,256,0,0.010356249179778971,0.013701772416731562,0.05,0.05
4,1024,256,0.0320267784572503,0.037231802354910984,0.12780525809964363,2,1024,256,0.03191623820392128,0.05066625763802118,0.15173370145811083,0_0_0_10_14_32,-26.0,53,6,-25,0.36147652624687177,256,0,0.00483996485072501,0.01387639713439214,0.05,0.05
4,1024,256,0.03193986086065542,0.0371945051229216,0.12855885613935863,2,1024,256,0.03182871160309056,0.05052882239628871,0.14893543051787914,0_0_0_10_14_32,-26.0,53,7,-25,0.2634318661684987,256,0,0.002070971108284334,0.014358323450887089,0.05,0.05
