dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-22.0,ordinary_fft,166,245,0,135,0.6775510204081633
0_0_0_10_14_32,-22.0,savaux,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,savaux_header,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,branch_gls,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,branch_shrinkage,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,savaux_dual,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,proposed,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-26.0,ordinary_fft,232,245,0,124,0.9469387755102041
0_0_0_10_14_32,-26.0,savaux,108,245,0,0,0.44081632653061226
0_0_0_10_14_32,-26.0,savaux_header,108,245,0,0,0.44081632653061226
0_0_0_10_14_32,-26.0,branch_gls,108,245,0,0,0.44081632653061226
0_0_0_10_14_32,-26.0,branch_shrinkage,108,245,0,0,0.44081632653061226
0_0_0_10_14_32,-26.0,savaux_dual,108,245,0,0,0.44081632653061226
0_0_0_10_14_32,-26.0,proposed,108,245,0,0,0.44081632653061226
