esn0_db,trials,strict_crc_pdr,decoder_aware_crc_pdr,oracle_crc_pdr,mean_list_generation_ms,mean_decode_all_ms,sync_cfo_reproduction_mismatches,sync_start_reproduction_mismatches,list1_crc_pdr,list1_crc_accept_rate,list1_crc_false_deliveries,list1_rescues_over_decoder_aware,list1_regressions_vs_decoder_aware,list1_mean_operational_attempts,list2_crc_pdr,list2_crc_accept_rate,list2_crc_false_deliveries,list2_rescues_over_decoder_aware,list2_regressions_vs_decoder_aware,list2_mean_operational_attempts,list4_crc_pdr,list4_crc_accept_rate,list4_crc_false_deliveries,list4_rescues_over_decoder_aware,list4_regressions_vs_decoder_aware,list4_mean_operational_attempts,list8_crc_pdr,list8_crc_accept_rate,list8_crc_false_deliveries,list8_rescues_over_decoder_aware,list8_regressions_vs_decoder_aware,list8_mean_operational_attempts,list16_crc_pdr,list16_crc_accept_rate,list16_crc_false_deliveries,list16_rescues_over_decoder_aware,list16_regressions_vs_decoder_aware,list16_mean_operational_attempts,list32_crc_pdr,list32_crc_accept_rate,list32_crc_false_deliveries,list32_rescues_over_decoder_aware,list32_regressions_vs_decoder_aware,list32_mean_operational_attempts
13.0,1,0.0,0.0,1.0,304.63610000151675,2924.698399998306,0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,2.0,0.0,0.0,0,0,0,4.0,0.0,0.0,0,0,0,8.0,1.0,1.0,0,1,0,9.0,1.0,1.0,0,1,0,9.0
14.0,1,0.0,0.0,1.0,319.5794000021124,883.6574000015389,0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,2.0,0.0,0.0,0,0,0,4.0,0.0,0.0,0,0,0,8.0,0.0,0.0,0,0,0,16.0,0.0,0.0,0,0,0,32.0
