trial_id,packet_id,reference_id,esn0_db,seed,estimate_available,strict_packet_delivered,decoder_aware_packet_delivered,oracle_packet_delivered,strict_gate,decoder_aware_gate,candidate_count,unique_integer_cfo_pool,sfd_peaks_examined,crc_success_count_top_max,sync_ms,list_generation_ms,list_decode_all_ms,selected_sync_cfo_reproduced,selected_sync_start_reproduced,list1_crc_accept,list1_packet_delivered,list1_crc_false_delivery,list1_selected_candidate,list1_operational_attempts,list2_crc_accept,list2_packet_delivered,list2_crc_false_delivery,list2_selected_candidate,list2_operational_attempts,list4_crc_accept,list4_packet_delivered,list4_crc_false_delivery,list4_selected_candidate,list4_operational_attempts,list8_crc_accept,list8_packet_delivered,list8_crc_false_delivery,list8_selected_candidate,list8_operational_attempts,list16_crc_accept,list16_packet_delivered,list16_crc_false_delivery,list16_selected_candidate,list16_operational_attempts,list32_crc_accept,list32_packet_delivered,list32_crc_false_delivery,list32_selected_candidate,list32_operational_attempts
exp0_000006_rxg20_0_fulltrim:13:20260821,exp0_000006_rxg20_0_fulltrim,6,13.0,20260821,1,0,0,1,0,0,32,32,32,1,10898.615899997822,304.63610000151675,2924.698399998306,1,1,0,0,0,,1,0,0,0,,2,0,0,0,,4,0,0,0,,8,1,1,0,8,9,1,1,0,8,9
exp0_000000_rxg20_0_fulltrim:14:20260822,exp0_000000_rxg20_0_fulltrim,0,14.0,20260822,1,0,0,1,0,0,32,32,32,0,11075.036199999886,319.5794000021124,883.6574000015389,1,1,0,0,0,,1,0,0,0,,2,0,0,0,,4,0,0,0,,8,0,0,0,,16,0,0,0,,32
