trial_id,reference_id,esn0_db,seed,candidate_index,source,sfd_peak_rank,sfd_peak_signed_bin,sfd_relative_power_db,cfo_total_est,fine_payload_start_sample,delta_cfo_bins,delta_payload_samples,ridge_residual_bins,netid1_est,netid2_est,netid_valid,netid_margin_db,decode_status,header_valid,crc_accepted,payload_exact,payload_hex
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,0,selected,1,1302,0.0,651.2184400439528,679793,0.0,0,0.0,8,16,1,2.927225577244495,header_invalid,0,0,0,
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,1,sfd_list,2,436,-0.16532752626002206,218.2184400439528,676327,-433.0,-3466,0.25,8,16,1,2.877975692854164,truncated_payload,1,0,0,
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,2,sfd_list,3,1537,-0.28355791245631834,768.2184400439528,680728,117.0,935,0.125,8,16,1,2.1215437887842112,header_invalid,0,0,0,
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,3,sfd_list,4,-424,-0.2902949702432864,-211.7815599560472,672890,-863.0,-6903,-0.125,8,16,1,3.604014646429365,ok,1,0,0,404433221100010058060050b704e1aeae8c5d1c65e040aec124ce22a17301d417
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,4,sfd_list,5,-1663,-0.29985812031670733,-831.7815599560472,667927,-1483.0,-11866,0.25,8,16,1,3.036593790638454,header_invalid,0,0,0,
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,5,sfd_list,6,63,-0.309955100627842,31.218440043952793,674835,-620.0,-4958,-0.25,9,548,0,0.998202984152433,truncated_payload,1,0,0,
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,6,sfd_list,7,-1629,-0.3489360182573866,-814.7815599560472,668062,-1466.0,-11731,0.375,8,16,1,2.577631193673633,header_invalid,0,0,0,
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,7,sfd_list,8,2033,-0.38871666118558534,1016.2184400439528,682714,365.0,2921,-0.125,8,1441,0,1.6443073653549034,header_invalid,0,0,0,
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,8,sfd_list,9,-253,-0.4554966907972703,-126.7815599560472,673568,-778.0,-6225,0.125,8,16,1,4.287116689705398,ok,1,1,1,404433221100010058060050b704e1aeae8c5d1c65e040aec124ce72a478563412
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,9,sfd_list,10,-68,-0.5414658442387408,-33.781559956047204,674309,-685.0,-5484,0.5,8,16,1,2.853114775562965,header_invalid,0,0,0,
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,10,sfd_list,11,966,-0.6759462242917442,483.2184400439528,678452,-168.0,-1341,-0.375,8,16,1,3.402058981709663,header_invalid,0,0,0,
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,11,sfd_list,12,883,-0.6787505693526201,441.2184400439528,678114,-210.0,-1679,-0.125,8,16,1,3.011882078102812,truncated_payload,1,0,0,
exp0_000006_rxg20_0_fulltrim:13:20260821,6,13.0,20260821,12,sfd_list,13,-207,-0.7562891673471407,-103.7815599560472,673752,-755.0,-6041,0.125,8,16,1,4.277311599527161,ok,1,0,0,404433221100010058060050b704e1aeae8c7d1c67c040aec025df22a47a567402
