packet_index,event_index,candidate_index,selected,candidate_values,candidate_payload_hex,score,signal_score,prior_score,known_symbols,mean_phase_score,mean_amp_score,mean_profile_score,line_rmse_pi,line_r2
1,1,3,1,6:03,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,0.721779170,0.571967953,1.000000000,10,0.435599200,0.185097534,0.000000000,0.120020460,0.883324372
1,1,4,0,6:04,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,0.468606737,0.648060597,0.135335283,10,0.560967143,0.280232431,0.000000000,0.095544114,0.629500248
1,1,2,0,6:02,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,0.465611426,0.643452427,0.135335283,10,0.594278503,0.269425212,0.000000000,0.106306856,0.794754155
1,1,84,0,6:54,404433221100540058303132333435363738393a3b3c3d3e3f4041424378563412,0.429628577,0.660967042,0.000000000,10,0.595657967,0.315154250,0.000000000,0.098378450,0.697580602
1,1,50,0,6:32,404433221100320058303132333435363738393a3b3c3d3e3f4041424378563412,0.425521131,0.654647894,0.000000000,10,0.631736097,0.278580557,0.000000000,0.106306856,0.794754155
1,1,100,0,6:64,404433221100640058303132333435363738393a3b3c3d3e3f4041424378563412,0.424640950,0.653293769,0.000000000,10,0.547361456,0.302871634,0.000000000,0.091182484,0.671521838
1,1,52,0,6:34,404433221100340058303132333435363738393a3b3c3d3e3f4041424378563412,0.422691385,0.650294438,0.000000000,10,0.598424738,0.289387776,0.000000000,0.104555805,0.656117298
1,1,210,0,6:d2,404433221100d20058303132333435363738393a3b3c3d3e3f4041424378563412,0.422360586,0.649785517,0.000000000,10,0.614932899,0.242393583,0.000000000,0.099845102,0.968547786
1,1,98,0,6:62,404433221100620058303132333435363738393a3b3c3d3e3f4041424378563412,0.420903144,0.647543299,0.000000000,10,0.580672816,0.292064415,0.000000000,0.103431998,0.812092346
1,1,178,0,6:b2,404433221100b20058303132333435363738393a3b3c3d3e3f4041424378563412,0.419460544,0.645323915,0.000000000,10,0.617699670,0.216627108,0.000000000,0.099845102,0.968547786
1,1,80,0,6:50,404433221100500058303132333435363738393a3b3c3d3e3f4041424378563412,0.417934627,0.642976349,0.000000000,10,0.542489073,0.282821878,0.000000000,0.096564196,0.638397034
1,1,116,0,6:74,404433221100740058303132333435363738393a3b3c3d3e3f4041424378563412,0.415335494,0.638977683,0.000000000,10,0.592877799,0.314275609,0.000000000,0.118380815,0.485722431
1,1,48,0,6:30,404433221100300058303132333435363738393a3b3c3d3e3f4041424378563412,0.409889596,0.630599379,0.000000000,10,0.545255844,0.257055403,0.000000000,0.104493937,0.580038425
1,1,209,0,6:d1,404433221100d10058303132333435363738393a3b3c3d3e3f4041424378563412,0.407302227,0.626618810,0.000000000,10,0.562352689,0.172586685,0.000000000,0.095813851,0.975249471
1,1,177,0,6:b1,404433221100b10058303132333435363738393a3b3c3d3e3f4041424378563412,0.404402185,0.622157208,0.000000000,10,0.565119460,0.146820210,0.000000000,0.095813851,0.975249471
1,1,244,0,6:f4,404433221100f40058303132333435363738393a3b3c3d3e3f4041424378563412,0.404188750,0.621828847,0.000000000,10,0.573562791,0.250952172,0.000000000,0.118074412,0.497873935
1,1,211,0,6:d3,404433221100d30058303132333435363738393a3b3c3d3e3f4041424378563412,0.403876227,0.621348042,0.000000000,10,0.456253596,0.158065905,0.000000000,0.067001955,0.989087829
1,1,115,0,6:73,404433221100730058303132333435363738393a3b3c3d3e3f4041424378563412,0.403227099,0.620349384,0.000000000,10,0.467509855,0.219140712,0.000000000,0.087029119,0.978312097
1,1,82,0,6:52,404433221100520058303132333435363738393a3b3c3d3e3f4041424378563412,0.402916870,0.619872108,0.000000000,10,0.628969326,0.304347032,0.000000000,0.140312884,0.669508129
1,1,215,0,6:d7,404433221100d70058303132333435363738393a3b3c3d3e3f4041424378563412,0.402522175,0.619264885,0.000000000,10,0.509422489,0.190398277,0.000000000,0.093379686,0.976975422
1,1,148,0,6:94,404433221100940058303132333435363738393a3b3c3d3e3f4041424378563412,0.399957505,0.615319239,0.000000000,10,0.587168478,0.228312969,0.000000000,0.122800903,0.445270404
1,1,243,0,6:f3,404433221100f30058303132333435363738393a3b3c3d3e3f4041424378563412,0.399756956,0.615010701,0.000000000,10,0.448194848,0.155817274,0.000000000,0.072284461,0.984154765
1,1,183,0,6:b7,404433221100b70058303132333435363738393a3b3c3d3e3f4041424378563412,0.399622134,0.614803282,0.000000000,10,0.512189260,0.164631803,0.000000000,0.093379686,0.976975422
1,1,179,0,6:b3,404433221100b30058303132333435363738393a3b3c3d3e3f4041424378563412,0.399139686,0.614061055,0.000000000,10,0.459020367,0.132299430,0.000000000,0.070890312,0.987311641
1,1,226,0,6:e2,404433221100e20058303132333435363738393a3b3c3d3e3f4041424378563412,0.398882501,0.613665386,0.000000000,10,0.566636388,0.230110966,0.000000000,0.120077258,0.958231502
1,1,55,0,6:37,404433221100370058303132333435363738393a3b3c3d3e3f4041424378563412,0.391756833,0.602702821,0.000000000,10,0.526225688,0.226585252,0.000000000,0.120213344,0.870634796
1,1,103,0,6:67,404433221100670058303132333435363738393a3b3c3d3e3f4041424378563412,0.387263524,0.595790038,0.000000000,10,0.475162406,0.240069109,0.000000000,0.117416456,0.879820340
1,1,106,0,6:6a,4044332211006a0058303132333435363738393a3b3c3d3e3f4041424378563412,0.385987172,0.593826419,0.000000000,10,0.394203935,0.237143290,0.000000000,0.099569697,0.967583181
1,1,176,0,6:b0,404433221100b00058303132333435363738393a3b3c3d3e3f4041424378563412,0.385374420,0.592883723,0.000000000,10,0.531219417,0.195101955,0.000000000,0.124359453,0.923705488
1,1,81,0,6:51,404433221100510058303132333435363738393a3b3c3d3e3f4041424378563412,0.384956984,0.592241514,0.000000000,10,0.576389116,0.234540134,0.000000000,0.140730955,0.637548870
1,1,7,0,6:07,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0.384479780,0.591507353,0.000000000,10,0.488768093,0.217429907,0.000000000,0.120213344,0.870634796
1,1,227,0,6:e3,404433221100e30058303132333435363738393a3b3c3d3e3f4041424378563412,0.384080144,0.590892529,0.000000000,10,0.407957085,0.145783288,0.000000000,0.086913386,0.983169483
1,1,225,0,6:e1,404433221100e10058303132333435363738393a3b3c3d3e3f4041424378563412,0.383201908,0.589541397,0.000000000,10,0.514056178,0.160304068,0.000000000,0.117433497,0.965781400
