pattern_count,selection_rank,candidate_index,pattern_name,marginal_information
8,1,106,block_w32_s2_b1,119.71922425184201
8,2,128,block_w64_s2_b0,111.31755390859344
8,3,132,block_w64_s2_b2,81.12430197884936
8,4,110,block_w32_s2_b3,63.15496289054074
8,5,48,block_w8_s1_b0,16.57939759020478
8,6,155,multiscale_w128_s2_b1,18.923085132324065
8,7,163,multiscale_w128_s3_b1,15.640753729455524
8,8,22,block_w2_s3_b3,13.664236556623711
12,1,106,block_w32_s2_b1,119.71922425184201
12,2,128,block_w64_s2_b0,111.31755390859344
12,3,132,block_w64_s2_b2,81.12430197884936
12,4,110,block_w32_s2_b3,63.15496289054074
12,5,48,block_w8_s1_b0,16.57939759020478
12,6,155,multiscale_w128_s2_b1,18.923085132324065
12,7,163,multiscale_w128_s3_b1,15.640753729455524
12,8,22,block_w2_s3_b3,13.664236556623711
12,9,99,multiscale_w32_s1_b1,16.019138117618468
12,10,23,multiscale_w2_s3_b3,15.013688079456402
12,11,102,block_w32_s1_b3,17.451163699076854
12,12,146,block_w128_s1_b1,14.224088643375442
16,1,106,block_w32_s2_b1,119.71922425184201
16,2,128,block_w64_s2_b0,111.31755390859344
16,3,132,block_w64_s2_b2,81.12430197884936
16,4,110,block_w32_s2_b3,63.15496289054074
16,5,48,block_w8_s1_b0,16.57939759020478
16,6,155,multiscale_w128_s2_b1,18.923085132324065
16,7,163,multiscale_w128_s3_b1,15.640753729455524
16,8,22,block_w2_s3_b3,13.664236556623711
16,9,99,multiscale_w32_s1_b1,16.019138117618468
16,10,23,multiscale_w2_s3_b3,15.013688079456402
16,11,102,block_w32_s1_b3,17.451163699076854
16,12,146,block_w128_s1_b1,14.224088643375442
16,13,71,multiscale_w8_s3_b3,12.626090831815384
16,14,39,multiscale_w4_s2_b3,10.726019960224257
16,15,172,block_w256_s1_b2,11.62460342088314
16,16,173,multiscale_w256_s1_b2,13.041646722874592
