method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,1,0.014285714285714285,0,0,0.2375709999942046,3.3938714284886373,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
information_8,8,70,2,0.02857142857142857,0,1,0.3469182000080764,4.9559742858296625,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
hamming_8,8,70,1,0.014285714285714285,0,0,0.32349319998684223,4.621331428383461,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
information_12,12,70,3,0.04285714285714286,0,2,0.5437646999962453,7.768067142803504,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
hamming_12,12,70,2,0.02857142857142857,0,1,0.5382997000197065,7.689995714567236,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
information_16,16,70,2,0.02857142857142857,0,1,0.6689095000110683,9.555850000158118,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
hamming_16,16,70,2,0.02857142857142857,0,1,0.6856679000011354,9.795255714301934,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4
savaux,0,70,8,0.11428571428571428,0,0,0.0960647000138124,1.372352857340177,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_8,8,70,8,0.11428571428571428,0,0,0.3442127999951481,4.9173257142164015,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_8,8,70,8,0.11428571428571428,0,0,0.33708110001316527,4.815444285902361,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,8,0.11428571428571428,2,2,0.5511163999908604,7.873091428440863,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,8,0.11428571428571428,0,0,0.5458602999897266,7.798004285567523,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_16,16,70,9,0.12857142857142856,1,2,0.6933636000176193,9.90519428596599,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_16,16,70,9,0.12857142857142856,0,1,0.6979913999966811,9.971305714238301,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,16,0.22857142857142856,0,0,0.09718699998120428,1.388385714017204,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4
information_8,8,70,18,0.2571428571428571,1,3,0.3443058999837376,4.918655714053394,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4
hamming_8,8,70,17,0.24285714285714285,2,3,0.3383241000046837,4.833201428638339,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4
information_12,12,70,14,0.2,2,0,0.5568610000009357,7.955157142870511,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4
hamming_12,12,70,16,0.22857142857142856,1,1,0.5418638000010105,7.740911428585865,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4
information_16,16,70,19,0.2714285714285714,1,4,0.6899717000160308,9.856738571657583,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4
hamming_16,16,70,17,0.24285714285714285,1,2,0.6972418999976071,9.960598571394387,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4
savaux,0,70,1,0.014285714285714285,0,0,0.09845600002881838,1.406514286125977,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4
information_8,8,70,2,0.02857142857142857,0,1,0.33725230000709416,4.817890000101345,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4
hamming_8,8,70,2,0.02857142857142857,0,1,0.33787580000716844,4.826797142959549,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4
information_12,12,70,2,0.02857142857142857,0,1,0.5420384000026388,7.743405714323411,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4
hamming_12,12,70,3,0.04285714285714286,0,2,0.5371318999823416,7.673312856890594,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4
information_16,16,70,2,0.02857142857142857,0,1,0.6938311000085378,9.911872857264825,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4
hamming_16,16,70,3,0.04285714285714286,0,2,0.6886465000134194,9.837807143048849,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4
savaux,0,70,8,0.11428571428571428,0,0,0.09641530001317733,1.377361428759676,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_8,8,70,7,0.1,1,0,0.3692391999938991,5.274845714198558,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_8,8,70,10,0.14285714285714285,0,2,0.3610714000024018,5.158162857177168,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,8,0.11428571428571428,1,1,0.5650883000053,8.072690000075713,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,10,0.14285714285714285,0,2,0.5674881000049936,8.106972857214194,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_16,16,70,10,0.14285714285714285,0,2,0.7418361000090954,10.597658571558506,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_16,16,70,10,0.14285714285714285,0,2,0.7279410000010103,10.399157142871575,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,15,0.21428571428571427,0,0,0.09496670000226004,1.3566671428894292,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4
information_8,8,70,17,0.24285714285714285,2,4,0.3330337000261352,4.757624286087646,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4
hamming_8,8,70,15,0.21428571428571427,1,1,0.3308156000057352,4.725937142939074,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4
information_12,12,70,17,0.24285714285714285,1,3,0.5175989999879675,7.394271428399536,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4
hamming_12,12,70,15,0.21428571428571427,1,1,0.5157351999951061,7.367645714215802,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4
information_16,16,70,16,0.22857142857142856,1,2,0.6787945999967633,9.697065714239475,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4
hamming_16,16,70,18,0.2571428571428571,1,4,0.6653756000050635,9.50536571435805,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4
savaux,0,70,1,0.014285714285714285,0,0,0.09672460000001593,1.3817800000002276,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4
information_8,8,70,1,0.014285714285714285,0,0,0.3553236000079778,5.076051428685397,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4
hamming_8,8,70,1,0.014285714285714285,0,0,0.3486878000003344,4.9812542857190625,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4
information_12,12,70,1,0.014285714285714285,0,0,0.5460017999939737,7.8000257141996245,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4
hamming_12,12,70,1,0.014285714285714285,0,0,0.5476563000083843,7.823661428691204,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4
information_16,16,70,1,0.014285714285714285,0,0,0.7078424000028463,10.112034285754946,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4
hamming_16,16,70,1,0.014285714285714285,0,0,0.694486299988057,9.921232856972242,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4
savaux,0,70,5,0.07142857142857142,0,0,0.1030246999944211,1.4717814284917299,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_8,8,70,8,0.11428571428571428,0,3,0.37575079997986904,5.367868571140987,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_8,8,70,6,0.08571428571428572,0,1,0.3751373999948555,5.359105714212221,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,7,0.1,0,2,0.5790707000160182,8.272438571657403,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,6,0.08571428571428572,0,1,0.5757244999913382,8.224635714161975,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_16,16,70,7,0.1,0,2,0.7441625000137719,10.6308928573396,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_16,16,70,6,0.08571428571428572,1,2,0.7395310000065365,10.56472857152195,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
savaux,0,70,15,0.21428571428571427,0,0,0.10034180000729975,1.433454285818568,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4
information_8,8,70,16,0.22857142857142856,0,1,0.37940579999485635,5.420082857069376,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4
hamming_8,8,70,18,0.2571428571428571,0,3,0.39526939999632305,5.646705714233186,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4
information_12,12,70,17,0.24285714285714285,0,2,0.5890148999824305,8.414498571177578,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4
