dataset,snr_db,seed,signal_reference_mode,signal_reference_power,signal_reference_sample_count,signal_reference_packet_count,whole_capture_power,reference_vs_whole_db,savaux_oversampled_err,loratrimmer_err,symfec_err,unichirp_err,symbol_count,packet_count,symfec_crc_valid_count,savaux_oversampled_ser,loratrimmer_ser,symfec_ser,unichirp_ser
0_0_0_10_14_8,-25.0,1,packet,0.00012896869188325043,352256,2,7.504825459917008e-06,12.351436985635196,15,-1,44,25,70,2,0,0.21428571428571427,,0.6285714285714286,0.35714285714285715
0_0_0_10_14_8,-26.0,1,packet,0.00012896869188325043,352256,2,7.504825459917008e-06,12.351436985635196,21,-1,49,45,70,2,0,0.3,,0.7,0.6428571428571429
0_0_0_10_14_8,-25.0,2,packet,0.00012896869188325043,352256,2,7.504825459917008e-06,12.351436985635196,14,-1,52,26,70,2,0,0.2,,0.7428571428571429,0.37142857142857144
0_0_0_10_14_8,-26.0,2,packet,0.00012896869188325043,352256,2,7.504825459917008e-06,12.351436985635196,21,-1,57,34,70,2,0,0.3,,0.8142857142857143,0.4857142857142857
0_0_0_10_14_8,-25.0,42,packet,0.00012896869188325043,352256,2,7.504825459917008e-06,12.351436985635196,15,-1,52,28,70,2,0,0.21428571428571427,,0.7428571428571429,0.4
0_0_0_10_14_8,-26.0,42,packet,0.00012896869188325043,352256,2,7.504825459917008e-06,12.351436985635196,22,-1,56,40,70,2,0,0.3142857142857143,,0.8,0.5714285714285714
0_0_0_10_14_16,-25.0,1,packet,6.424088937463311e-05,352256,2,9.769139123554605e-06,8.17955250355428,16,-1,62,35,70,2,0,0.22857142857142856,,0.8857142857142857,0.5
0_0_0_10_14_16,-26.0,1,packet,6.424088937463311e-05,352256,2,9.769139123554605e-06,8.17955250355428,34,-1,65,48,70,2,0,0.4857142857142857,,0.9285714285714286,0.6857142857142857
0_0_0_10_14_16,-25.0,2,packet,6.424088937463311e-05,352256,2,9.769139123554605e-06,8.17955250355428,17,-1,59,41,70,2,0,0.24285714285714285,,0.8428571428571429,0.5857142857142857
0_0_0_10_14_16,-26.0,2,packet,6.424088937463311e-05,352256,2,9.769139123554605e-06,8.17955250355428,29,-1,65,52,70,2,0,0.4142857142857143,,0.9285714285714286,0.7428571428571429
0_0_0_10_14_16,-25.0,42,packet,6.424088937463311e-05,352256,2,9.769139123554605e-06,8.17955250355428,16,-1,55,34,70,2,0,0.22857142857142856,,0.7857142857142857,0.4857142857142857
0_0_0_10_14_16,-26.0,42,packet,6.424088937463311e-05,352256,2,9.769139123554605e-06,8.17955250355428,31,-1,60,47,70,2,0,0.44285714285714284,,0.8571428571428571,0.6714285714285714
0_0_0_10_14_32,-25.0,1,packet,4.833952101409073e-05,352256,2,1.0802098314551583e-05,6.507942170980192,34,-1,45,43,70,2,0,0.4857142857142857,,0.6428571428571429,0.6142857142857143
0_0_0_10_14_32,-26.0,1,packet,4.833952101409073e-05,352256,2,1.0802098314551583e-05,6.507942170980192,35,-1,55,49,70,2,0,0.5,,0.7857142857142857,0.7
0_0_0_10_14_32,-25.0,2,packet,4.833952101409073e-05,352256,2,1.0802098314551583e-05,6.507942170980192,36,-1,50,37,70,2,0,0.5142857142857142,,0.7142857142857143,0.5285714285714286
0_0_0_10_14_32,-26.0,2,packet,4.833952101409073e-05,352256,2,1.0802098314551583e-05,6.507942170980192,41,-1,53,52,70,2,0,0.5857142857142857,,0.7571428571428571,0.7428571428571429
0_0_0_10_14_32,-25.0,42,packet,4.833952101409073e-05,352256,2,1.0802098314551583e-05,6.507942170980192,33,-1,50,32,70,2,0,0.4714285714285714,,0.7142857142857143,0.45714285714285713
0_0_0_10_14_32,-26.0,42,packet,4.833952101409073e-05,352256,2,1.0802098314551583e-05,6.507942170980192,36,-1,58,47,70,2,0,0.5142857142857142,,0.8285714285714286,0.6714285714285714
