branch_dimension,branch_covariance_count,branch_snapshots,branch_diagonal_cv,branch_mean_abs_correlation,branch_max_abs_correlation,pair_dimension,pair_snapshots,pair_diagonal_cv,pair_mean_abs_correlation,pair_max_abs_correlation,dataset,snr_db,seed,offpacket_windows,branch_gls_active,min_branch_correlation
4,1024,256,0.006476207602165959,0.9001563756963669,0.9051880515379939,2,4096,0.07242507867258548,0.015871846512549647,0.015871846512549647,0_0_0_10_14_32,-22.0,42,256,1,0.05
4,1024,256,0.00644604099532993,0.9002170816897723,0.9052055423802987,2,4096,0.07264242903471729,0.0156795380597047,0.0156795380597047,0_0_0_10_14_32,-24.0,42,256,1,0.05
4,1024,256,0.006426727415354252,0.900255411567172,0.9052200398987389,2,4096,0.07282608478588866,0.015558727302858925,0.015558727302858925,0_0_0_10_14_32,-26.0,42,256,1,0.05
