dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_32,-22.0,42,ordinary_fft,76,105,0.7238095238095238,4,3
0_0_0_10_14_32,-22.0,42,savaux,77,105,0.7333333333333333,0,0
0_0_0_10_14_32,-22.0,42,branch_gls,77,105,0.7333333333333333,0,0
0_0_0_10_14_32,-22.0,42,savaux_dual,77,105,0.7333333333333333,0,0
0_0_0_10_14_32,-22.0,42,proposed,78,105,0.7428571428571429,0,1
0_0_0_10_14_32,-24.0,42,ordinary_fft,94,105,0.8952380952380953,3,3
0_0_0_10_14_32,-24.0,42,savaux,94,105,0.8952380952380953,0,0
0_0_0_10_14_32,-24.0,42,branch_gls,95,105,0.9047619047619048,1,2
0_0_0_10_14_32,-24.0,42,savaux_dual,94,105,0.8952380952380953,0,0
0_0_0_10_14_32,-24.0,42,proposed,95,105,0.9047619047619048,1,2
0_0_0_10_14_32,-26.0,42,ordinary_fft,102,105,0.9714285714285714,0,1
0_0_0_10_14_32,-26.0,42,savaux,101,105,0.9619047619047619,0,0
0_0_0_10_14_32,-26.0,42,branch_gls,101,105,0.9619047619047619,1,1
0_0_0_10_14_32,-26.0,42,savaux_dual,101,105,0.9619047619047619,0,0
0_0_0_10_14_32,-26.0,42,proposed,101,105,0.9619047619047619,1,1
