copy_index,transmission_index,nominal_start_sample,relative_delay_samples,relative_cfo_hz,relative_phase_rad,peak_to_median,tone_bin,included,is_reference
0,5,8620033,0,-4.641327328767931,-1.7619645100994945,364257.38536281284,-4.866784445090161,1,0
1,6,10120398,0,0.0,0.0,inf,0.0,1,1
2,7,11620763,0,3.9619923343166343,0.9443508847736063,295768.30510087486,4.154450073948399,1,0
3,8,13121128,0,8.659902179085195,2.6851093595032665,377822.01116075786,9.080565587336437,1,0
4,9,14621493,0,13.287834163269684,0.02453776869182274,385812.6551403675,13.933303995584673,1,0
5,10,16121858,0,17.404477572812926,-2.224940201675033,298094.4441797251,18.249917475389886,1,0
6,11,17622223,0,21.904053035532737,-2.154488254625143,377448.4188414587,22.968064315786776,1,0
7,12,19122588,1,25.87622946202973,-2.7157868021900597,369091.1851028035,27.133193184377287,1,0
8,13,20622953,3,30.15603475664769,1.8846439971768427,280232.3801523716,31.620894300986606,1,0
9,14,22123318,2,34.31909033522922,-1.5462401177896936,395486.64009582624,35.986174467353315,1,0
10,15,23623683,2,38.17755481736335,2.0373124984896918,345057.87263372674,40.0320677201716,1,0
11,16,25124048,2,41.957963178712475,3.139845169008327,332028.6411141276,43.996113198081616,1,0
12,17,26624413,3,45.72619221955034,-2.210636117732985,363064.3490530521,47.94738773280722,1,0
