frame_index,packet_index,event_index,stage,frame_symbol_index,stage_symbol_index,start_sample,sf,bw,os_factor,cfo_int,cfo_frac,cfo_correction_mode,cfo_common_phase_rad,cfo_common_phase_pi,sto_frac,sfo_hat,sfo_cum_before,source_grlora_branch_sample_phases,source_grlora_branch_valid,source_grlora_branch_payload_sto_frac,source_grlora_branch_payload_sto_sample_correction,source_grlora_branch_sfo_hat,source_grlora_branch_sfo_cum_initial,sfo_sample_adjust_after,raw_fft_bin,signed_fft_bin,symbol_value,peak_real,peak_imag,peak_amp,peak_power,peak_phase,peak_margin_db,total_power,header_valid,payload_len,payload_cr,payload_has_crc,payload_ldro
0,0,0,header,0,0,2886876,10,125000.0,4,-211,0.4163893470049581,continuous,-0.0,-0.0,0.04923299601674658,-0.05397365456556158,0.04923299601674658,0|1|2|3,0|0|0|0,0.172421120076097|0.2582351211085032|0.04923299601674658|-0.38762446092973857,1|1|0|-2,-0.00879642152149109|0.009602461542347108|-0.05397365456556158|0.05566458905112756,-0.077578879923903|0.008235121108503218|0.04923299601674658|0.11237553907026143,0,461,461,115,-0.028913596644997597,0.002734601031988859,0.029042625806799404,0.0008434741175733507,3.0472947764602654,0.2313734310850923,0.15165484444651156,0,133,2,0,0
0,0,0,header,1,1,2890972,10,125000.0,4,-211,0.4163893470049581,continuous,-1323.135848387725,-421.16722130599004,0.04923299601674658,-0.05397365456556158,-0.004740658548815002,0|1|2|3,0|0|0|0,0.172421120076097|0.2582351211085032|0.04923299601674658|-0.38762446092973857,1|1|0|-2,-0.00879642152149109|0.009602461542347108|-0.05397365456556158|0.05566458905112756,-0.077578879923903|0.008235121108503218|0.04923299601674658|0.11237553907026143,0,448,448,111,0.010434472002089024,-0.0296153761446476,0.0313998202248252,0.0009859487181529403,-1.2320446944843062,0.55527572130024,0.1527563944927124,0,133,2,0,0
0,0,0,header,2,2,2895068,10,125000.0,4,-211,0.4163893470049581,continuous,-2646.27169677545,-842.3344426119801,0.04923299601674658,-0.05397365456556158,-0.05871431311437658,0|1|2|3,0|0|0|0,0.172421120076097|0.2582351211085032|0.04923299601674658|-0.38762446092973857,1|1|0|-2,-0.00879642152149109|0.009602461542347108|-0.05397365456556158|0.05566458905112756,-0.077578879923903|0.008235121108503218|0.04923299601674658|0.11237553907026143,0,858,-166,214,-0.011489848606288433,0.03176469728350639,0.03377887823045974,0.0011410127626731992,1.9178715719323067,0.6428099885949845,0.15493949038979338,0,133,2,0,0
0,0,0,header,3,3,2899164,10,125000.0,4,-211,0.4163893470049581,continuous,-3969.407545163175,-1263.5016639179703,0.04923299601674658,-0.05397365456556158,-0.11268796767993816,0|1|2|3,0|0|0|0,0.172421120076097|0.2582351211085032|0.04923299601674658|-0.38762446092973857,1|1|0|-2,-0.00879642152149109|0.009602461542347108|-0.05397365456556158|0.05566458905112756,-0.077578879923903|0.008235121108503218|0.04923299601674658|0.11237553907026143,0,188,188,46,-0.031683165580034256,0.01489722914993763,0.03501071860898629,0.0012257503112778068,2.7020730135851676,1.3280586684879612,0.1494908300263802,0,133,2,0,0
0,0,0,header,4,4,2903260,10,125000.0,4,-211,0.4163893470049581,continuous,-5292.5433935509,-1684.6688852239602,0.04923299601674658,-0.05397365456556158,-0.16666162224549974,0|1|2|3,0|0|0|0,0.172421120076097|0.2582351211085032|0.04923299601674658|-0.38762446092973857,1|1|0|-2,-0.00879642152149109|0.009602461542347108|-0.05397365456556158|0.05566458905112756,-0.077578879923903|0.008235121108503218|0.04923299601674658|0.11237553907026143,1,846,-178,211,0.017300300300121307,-0.03707526996731758,0.040913030120291245,0.0016738760750740767,-1.134202221086061,1.090149719863467,0.2169626016103976,0,133,2,0,0
0,0,0,header,5,5,2907357,10,125000.0,4,-211,0.4163893470049581,continuous,-6616.00227315161,-2105.9389305585896,0.04923299601674658,-0.05397365456556158,0.02936472318893868,0|1|2|3,0|0|0|0,0.172421120076097|0.2582351211085032|0.04923299601674658|-0.38762446092973857,1|1|0|-2,-0.00879642152149109|0.009602461542347108|-0.05397365456556158|0.05566458905112756,-0.077578879923903|0.008235121108503218|0.04923299601674658|0.11237553907026143,0,583,-441,145,0.042732469737529755,0.019663862884044647,0.047039679775604394,0.0022127314005047083,0.43127252003147865,0.15282013876651449,0.350896142449848,0,133,2,0,0
0,0,0,header,6,6,2911453,10,125000.0,4,-211,0.4163893470049581,continuous,-7939.138121539335,-2527.1061518645793,0.04923299601674658,-0.05397365456556158,-0.0246089313766229,0|1|2|3,0|0|0|0,0.172421120076097|0.2582351211085032|0.04923299601674658|-0.38762446092973857,1|1|0|-2,-0.00879642152149109|0.009602461542347108|-0.05397365456556158|0.05566458905112756,-0.077578879923903|0.008235121108503218|0.04923299601674658|0.11237553907026143,0,1023,-1,255,-0.05385494977235794,-0.005023544654250145,0.05408873834613303,0.002925591077655554,-3.0485826273632095,2.2311336376382283,0.27136920140701193,0,133,2,0,0
0,0,0,header,7,7,2915549,10,125000.0,4,-211,0.4163893470049581,continuous,-9262.27396992706,-2948.27337317057,0.04923299601674658,-0.05397365456556158,-0.07858258594218448,0|1|2|3,0|0|0|0,0.172421120076097|0.2582351211085032|0.04923299601674658|-0.38762446092973857,1|1|0|-2,-0.00879642152149109|0.009602461542347108|-0.05397365456556158|0.05566458905112756,-0.077578879923903|0.008235121108503218|0.04923299601674658|0.11237553907026143,0,207,207,51,0.0064058247953653336,-0.03340347483754158,0.03401215551139314,0.0011568268528208137,-1.3813254396457169,0.5064032385961106,0.15131530839113339,0,133,2,0,0
1,1,1,header,0,0,4391999,10,125000.0,4,-45,-0.3739086778985965,continuous,-0.0,-0.0,0.18904158940924243,-0.011629564455069356,-0.06095841059075757,0|1|2|3,0|0|0|0,-0.43805022932451304|-0.4847893610185432|0.18904158940924243|-0.3779269471287299,-2|-2|1|-2,-0.011604225582126535|0.04282033299630372|-0.011629564455069356|0.0038193415691467206,0.06194977067548696|0.015210638981456803|-0.06095841059075757|0.12207305287127013,0,729,-295,182,0.04935430735349655,0.003828770946711302,0.04950259731878504,0.002450507367029786,0.07742217370937717,0.24809828558546768,0.37427021370096725,0,52,2,1,0
1,1,1,header,1,1,4396095,10,125000.0,4,-45,-0.3739086778985965,continuous,-285.0926763342808,-90.7478173557972,0.18904158940924243,-0.011629564455069356,-0.07258797504582692,0|1|2|3,0|0|0|0,-0.43805022932451304|-0.4847893610185432|0.18904158940924243|-0.3779269471287299,-2|-2|1|-2,-0.011604225582126535|0.04282033299630372|-0.011629564455069356|0.0038193415691467206,0.06194977067548696|0.015210638981456803|-0.06095841059075757|0.12207305287127013,0,900,-124,224,-0.05144050717353821,0.009359915740787983,0.05228512026327841,0.002733733272179961,2.961605620749105,2.1903237038442076,0.25287252682680883,0,52,2,1,0
1,1,1,header,2,2,4400191,10,125000.0,4,-45,-0.3739086778985965,continuous,-570.1853526685616,-181.4956347115944,0.18904158940924243,-0.011629564455069356,-0.08421753950089628,0|1|2|3,0|0|0|0,-0.43805022932451304|-0.4847893610185432|0.18904158940924243|-0.3779269471287299,-2|-2|1|-2,-0.011604225582126535|0.04282033299630372|-0.011629564455069356|0.0038193415691467206,0.06194977067548696|0.015210638981456803|-0.06095841059075757|0.12207305287127013,0,955,-69,238,0.03636666387319565,0.013628366403281689,0.038836408331462506,0.0015082666650414467,0.3585504884183665,0.7879796237523258,0.15773201771735046,0,52,2,1,0
1,1,1,header,3,3,4404287,10,125000.0,4,-45,-0.3739086778985965,continuous,-855.2780290028423,-272.24345206739156,0.18904158940924243,-0.011629564455069356,-0.09584710395596563,0|1|2|3,0|0|0|0,-0.43805022932451304|-0.4847893610185432|0.18904158940924243|-0.3779269471287299,-2|-2|1|-2,-0.011604225582126535|0.04282033299630372|-0.011629564455069356|0.0038193415691467206,0.06194977067548696|0.015210638981456803|-0.06095841059075757|0.12207305287127013,0,38,38,9,-0.02363412268459797,0.01654374785721302,0.028849044147660572,0.0008322673966176808,2.5308706086383346,0.1741423185795385,0.14539836915689186,0,52,2,1,0
1,1,1,header,4,4,4408383,10,125000.0,4,-45,-0.3739086778985965,continuous,-1140.3707053371231,-362.9912694231888,0.18904158940924243,-0.011629564455069356,-0.10747666841103498,0|1|2|3,0|0|0|0,-0.43805022932451304|-0.4847893610185432|0.18904158940924243|-0.3779269471287299,-2|-2|1|-2,-0.011604225582126535|0.04282033299630372|-0.011629564455069356|0.0038193415691467206,0.06194977067548696|0.015210638981456803|-0.06095841059075757|0.12207305287127013,0,444,444,110,-0.008008517324924469,0.034731388092041016,0.03564275057488667,0.0012704057153314352,1.797419710797988,0.01206812603617753,0.1522137387083049,0,52,2,1,0
1,1,1,header,5,5,4412479,10,125000.0,4,-45,-0.3739086778985965,continuous,-1425.463381671404,-453.739086778986,0.18904158940924243,-0.011629564455069356,-0.11910623286610433,0|1|2|3,0|0|0|0,-0.43805022932451304|-0.4847893610185432|0.18904158940924243|-0.3779269471287299,-2|-2|1|-2,-0.011604225582126535|0.04282033299630372|-0.011629564455069356|0.0038193415691467206,0.06194977067548696|0.015210638981456803|-0.06095841059075757|0.12207305287127013,0,187,187,46,-0.021000919863581657,-0.027028759941458702,0.034228533405473,0.0011715925065800548,-2.231344855684362,0.4310778837458263,0.15231673398645285,0,52,2,1,0
1,1,1,header,6,6,4416575,10,125000.0,4,-45,-0.3739086778985965,continuous,-1710.5560580056847,-544.4869041347831,0.18904158940924243,-0.011629564455069356,-0.13073579732117369,0|1|2|3,0|0|0|0,-0.43805022932451304|-0.4847893610185432|0.18904158940924243|-0.3779269471287299,-2|-2|1|-2,-0.011604225582126535|0.04282033299630372|-0.011629564455069356|0.0038193415691467206,0.06194977067548696|0.015210638981456803|-0.06095841059075757|0.12207305287127013,1,57,57,14,0.027540674433112144,0.01942472718656063,0.03370176218690923,0.0011358087649568915,0.6142811816085996,0.5346653773281959,0.1513754023839482,0,52,2,1,0
1,1,1,header,7,7,4420672,10,125000.0,4,-45,-0.3739086778985965,continuous,-1995.7183370441487,-635.2568767194269,0.18904158940924243,-0.011629564455069356,0.10763463822375696,0|1|2|3,0|0|0|0,-0.43805022932451304|-0.4847893610185432|0.18904158940924243|-0.3779269471287299,-2|-2|1|-2,-0.011604225582126535|0.04282033299630372|-0.011629564455069356|0.0038193415691467206,0.06194977067548696|0.015210638981456803|-0.06095841059075757|0.12207305287127013,0,484,484,120,0.034132663160562515,0.011216274462640285,0.03592831066518015,0.0012908433564007282,0.31749196193711227,1.0928812436491633,0.15443879265671967,0,52,2,1,0
2,2,2,header,0,0,7420762,10,125000.0,4,-207,-0.12840973170508527,continuous,-0.0,-0.0,-0.3821893573332371,-0.05308806892856907,0.11781064266676289,0|1|2|3,0|0|0|0,-0.0067377338625231875|0.2719748703599182|-0.3821893573332371|0.0194521556732985,0|1|-2|0,-0.030412755137073935|0.008571460350933315|-0.05308806892856907|-0.03070626984388092,-0.0067377338625231875|0.021974870359918186|0.11781064266676289|0.0194521556732985,0,338,338,84,0.027148602530360222,-0.015197272412478924,0.031112757964066356,0.0009680037619546056,-0.510321604062929,0.36090578532908835,0.15061432433167,0,37,7,1,0
2,2,2,header,1,1,7424858,10,125000.0,4,-207,-0.12840973170508527,continuous,-1301.4261807257226,-414.2568194634102,-0.3821893573332371,-0.05308806892856907,0.06472257373819382,0|1|2|3,0|0|0|0,-0.0067377338625231875|0.2719748703599182|-0.3821893573332371|0.0194521556732985,0|1|-2|0,-0.030412755137073935|0.008571460350933315|-0.05308806892856907|-0.03070626984388092,-0.0067377338625231875|0.021974870359918186|0.11781064266676289|0.0194521556732985,0,851,-173,212,0.018674900755286217,0.04328877478837967,0.047145200613623914,0.002222670242190361,1.163514933082908,0.1641259658887209,0.35645642184384485,0,37,7,1,0
2,2,2,header,2,2,7428954,10,125000.0,4,-207,-0.12840973170508527,continuous,-2602.852361451445,-828.5136389268204,-0.3821893573332371,-0.05308806892856907,0.011634504809624746,0|1|2|3,0|0|0|0,-0.0067377338625231875|0.2719748703599182|-0.3821893573332371|0.0194521556732985,0|1|-2|0,-0.030412755137073935|0.008571460350933315|-0.05308806892856907|-0.03070626984388092,-0.0067377338625231875|0.021974870359918186|0.11781064266676289|0.0194521556732985,0,987,-37,246,0.03725861757993698,0.04172373190522194,0.05593813000151886,0.003129074117168784,0.8418711176553606,0.26994334100109896,0.35500767582001913,0,37,7,1,0
2,2,2,header,3,3,7433050,10,125000.0,4,-207,-0.12840973170508527,continuous,-3904.2785421771678,-1242.7704583902305,-0.3821893573332371,-0.05308806892856907,-0.041453564118944325,0|1|2|3,0|0|0|0,-0.0067377338625231875|0.2719748703599182|-0.3821893573332371|0.0194521556732985,0|1|-2|0,-0.030412755137073935|0.008571460350933315|-0.05308806892856907|-0.03070626984388092,-0.0067377338625231875|0.021974870359918186|0.11781064266676289|0.0194521556732985,0,847,-177,211,-0.028107570484280586,-0.01671729050576687,0.032703261616893874,0.0010695033706724644,-2.6050341650728828,0.6726461133593125,0.15564716060210415,0,37,7,1,0
