dataset,snr_db,seed,packet_index,payload_symbol_index,scope,dimension,snapshots,diagonal_loading,diagonal_cv,mean_abs_correlation,max_abs_correlation,condition_number
0_0_0_10_14_32,,42,,,offpacket_fixed,4,4096,0.05,0.03311424843351548,0.9204514610901694,0.9225714953647085,49.82242113464343
0_0_0_10_14_32,,42,0,,packet_null,4,35310,0.05,0.013333010941763616,0.11621139453956025,0.16664989480200515,1.9355186381210392
0_0_0_10_14_32,,42,0,0,symbol_null,4,1010,0.05,0.024881067714185467,0.12542087140780508,0.16689339011232185,1.8495825537011843
0_0_0_10_14_32,,42,0,1,symbol_null,4,1008,0.05,0.016767752191279704,0.16679017088625467,0.23950316584792922,2.667717750710221
0_0_0_10_14_32,,42,0,2,symbol_null,4,1008,0.05,0.020135466523467815,0.1222547669861298,0.21266287109496015,2.037525005588316
0_0_0_10_14_32,,42,0,3,symbol_null,4,1008,0.05,0.012461986561790813,0.11452339488775042,0.1555866936628139,1.877563046141133
0_0_0_10_14_32,,42,0,4,symbol_null,4,1012,0.05,0.03396681586966971,0.1452023514120007,0.20218536196725886,2.303725955201491
0_0_0_10_14_32,,42,0,5,symbol_null,4,1006,0.05,0.019415445208627133,0.1232844139905227,0.18043493716872003,1.9184825147534292
0_0_0_10_14_32,,42,0,6,symbol_null,4,1008,0.05,0.025007779739594393,0.144098793412327,0.20411845619427793,2.2775801371179965
0_0_0_10_14_32,,42,0,7,symbol_null,4,1008,0.05,0.006750592380782938,0.12326816296860042,0.2048172605028158,2.05795911164557
0_0_0_10_14_32,,42,0,8,symbol_null,4,1010,0.05,0.017729785326852602,0.11103596645385432,0.17712475398087327,1.9183851152502371
0_0_0_10_14_32,,42,0,9,symbol_null,4,1011,0.05,0.01880961917825213,0.12958576553520626,0.1762891264730188,1.981887079507709
0_0_0_10_14_32,,42,0,10,symbol_null,4,1009,0.05,0.025940023460410584,0.12279383323312176,0.18939673517923017,1.9817605837175742
0_0_0_10_14_32,,42,0,11,symbol_null,4,1003,0.05,0.005060908420162885,0.1341132254477733,0.1994818688075841,2.1903968615895253
0_0_0_10_14_32,,42,0,12,symbol_null,4,1010,0.05,0.01816681041438108,0.11001069954440623,0.14339899771236128,1.7265103714069376
0_0_0_10_14_32,,42,0,13,symbol_null,4,1010,0.05,0.013460880388903595,0.11002780466327076,0.197075481125256,1.8857826949567813
0_0_0_10_14_32,,42,0,14,symbol_null,4,1006,0.05,0.023982066225617223,0.11890826156662847,0.1589804359901388,1.867711629461618
0_0_0_10_14_32,,42,0,15,symbol_null,4,1010,0.05,0.051778665882482096,0.12230715130644616,0.19844887793389196,2.0481392359132298
0_0_0_10_14_32,,42,0,16,symbol_null,4,1011,0.05,0.017608420293828957,0.1244247087017224,0.1719651967853617,1.9728385427577317
0_0_0_10_14_32,,42,0,17,symbol_null,4,1009,0.05,0.012843439205335072,0.11971763404003227,0.18613715987010968,1.9419391520376956
0_0_0_10_14_32,,42,0,18,symbol_null,4,1007,0.05,0.011994561539641466,0.11900624491153111,0.17838407257858002,1.9923354108558602
0_0_0_10_14_32,,42,0,19,symbol_null,4,1013,0.05,0.017836021308074542,0.12390018707343814,0.2080807025731818,2.063834125801967
0_0_0_10_14_32,,42,0,20,symbol_null,4,1007,0.05,0.016687339352203276,0.1228452807994223,0.18459521975856996,1.9633956329730684
0_0_0_10_14_32,,42,0,21,symbol_null,4,1012,0.05,0.006854360952826227,0.10746779746521483,0.12561774717618454,1.7002126533946318
0_0_0_10_14_32,,42,0,22,symbol_null,4,1009,0.05,0.02899618818337382,0.13791312457533714,0.22632653215850562,2.235732507573755
0_0_0_10_14_32,,42,0,23,symbol_null,4,1009,0.05,0.0309711437213855,0.11966019324732473,0.19215858135689484,2.0466062977431063
0_0_0_10_14_32,,42,0,24,symbol_null,4,1008,0.05,0.0194554464587129,0.12873276155049668,0.19625091757016747,2.0442105239273687
0_0_0_10_14_32,,42,0,25,symbol_null,4,1012,0.05,0.015226118632968433,0.11841450570764361,0.16501492812802193,1.8917278615545758
0_0_0_10_14_32,,42,0,26,symbol_null,4,1009,0.05,0.01681441731383253,0.09915549363437527,0.14407361061946794,1.6613983743533214
