dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,null_bin_count,savaux_bin,savaux_error,gls_offpacket_fixed_bin,gls_offpacket_fixed_error,gls_packet_null_bin,gls_packet_null_error,gls_symbol_null_bin,gls_symbol_null_error
0_0_0_10_14_32,,42,0,0,8,803,1010,803,0,803,0,803,0,803,0
0_0_0_10_14_32,,42,0,1,9,711,1008,711,0,711,0,711,0,711,0
0_0_0_10_14_32,,42,0,2,10,922,1008,922,0,922,0,922,0,922,0
0_0_0_10_14_32,,42,0,3,11,718,1008,718,0,718,0,718,0,718,0
0_0_0_10_14_32,,42,0,4,12,107,1012,107,0,107,0,107,0,107,0
0_0_0_10_14_32,,42,0,5,13,468,1006,468,0,468,0,468,0,468,0
0_0_0_10_14_32,,42,0,6,14,89,1008,89,0,89,0,89,0,89,0
0_0_0_10_14_32,,42,0,7,15,713,1008,713,0,713,0,713,0,713,0
0_0_0_10_14_32,,42,0,8,16,865,1010,865,0,865,0,865,0,865,0
0_0_0_10_14_32,,42,0,9,17,492,1011,492,0,492,0,492,0,492,0
0_0_0_10_14_32,,42,0,10,18,765,1009,765,0,765,0,765,0,765,0
0_0_0_10_14_32,,42,0,11,19,1023,1003,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,,42,0,12,20,597,1010,597,0,597,0,597,0,597,0
0_0_0_10_14_32,,42,0,13,21,562,1010,562,0,562,0,562,0,562,0
0_0_0_10_14_32,,42,0,14,22,478,1006,478,0,478,0,478,0,478,0
0_0_0_10_14_32,,42,0,15,23,267,1010,267,0,267,0,267,0,267,0
0_0_0_10_14_32,,42,0,16,24,917,1011,917,0,917,0,917,0,917,0
0_0_0_10_14_32,,42,0,17,25,656,1009,656,0,656,0,656,0,656,0
0_0_0_10_14_32,,42,0,18,26,889,1007,889,0,889,0,889,0,889,0
0_0_0_10_14_32,,42,0,19,27,510,1013,510,0,510,0,510,0,510,0
0_0_0_10_14_32,,42,0,20,28,860,1007,860,0,860,0,860,0,860,0
0_0_0_10_14_32,,42,0,21,29,553,1012,553,0,553,0,553,0,553,0
0_0_0_10_14_32,,42,0,22,30,629,1009,629,0,629,0,629,0,629,0
0_0_0_10_14_32,,42,0,23,31,759,1009,759,0,759,0,759,0,759,0
0_0_0_10_14_32,,42,0,24,32,874,1008,874,0,874,0,874,0,874,0
0_0_0_10_14_32,,42,0,25,33,720,1012,720,0,720,0,720,0,720,0
0_0_0_10_14_32,,42,0,26,34,314,1009,314,0,314,0,314,0,314,0
0_0_0_10_14_32,,42,0,27,35,602,1008,602,0,602,0,602,0,602,0
0_0_0_10_14_32,,42,0,28,36,7,1009,7,0,7,0,7,0,7,0
0_0_0_10_14_32,,42,0,29,37,610,1008,610,0,610,0,610,0,610,0
0_0_0_10_14_32,,42,0,30,38,826,1013,826,0,826,0,826,0,826,0
0_0_0_10_14_32,,42,0,31,39,928,1006,928,0,928,0,928,0,928,0
0_0_0_10_14_32,,42,0,32,40,761,1007,761,0,761,0,761,0,761,0
0_0_0_10_14_32,,42,0,33,41,590,1007,590,0,590,0,590,0,590,0
0_0_0_10_14_32,,42,0,34,42,936,1009,936,0,936,0,936,0,936,0
0_0_0_10_14_32,,42,2,0,8,803,1005,803,0,803,0,803,0,803,0
0_0_0_10_14_32,,42,2,1,9,826,1005,826,0,826,0,826,0,826,0
0_0_0_10_14_32,,42,2,2,10,922,1006,922,0,922,0,922,0,922,0
0_0_0_10_14_32,,42,2,3,11,718,1006,718,0,718,0,718,0,718,0
0_0_0_10_14_32,,42,2,4,12,86,1012,86,0,86,0,86,0,86,0
0_0_0_10_14_32,,42,2,5,13,468,1006,468,0,468,0,468,0,468,0
0_0_0_10_14_32,,42,2,6,14,89,1008,89,0,89,0,89,0,89,0
0_0_0_10_14_32,,42,2,7,15,713,1006,713,0,713,0,713,0,713,0
0_0_0_10_14_32,,42,2,8,16,865,1006,865,0,865,0,865,0,865,0
0_0_0_10_14_32,,42,2,9,17,492,1010,492,0,492,0,492,0,492,0
0_0_0_10_14_32,,42,2,10,18,765,1007,765,0,765,0,765,0,765,0
0_0_0_10_14_32,,42,2,11,19,1023,1012,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,,42,2,12,20,597,1010,597,0,597,0,597,0,597,0
0_0_0_10_14_32,,42,2,13,21,562,1011,562,0,562,0,562,0,562,0
0_0_0_10_14_32,,42,2,14,22,478,1008,478,0,478,0,478,0,478,0
0_0_0_10_14_32,,42,2,15,23,267,1009,267,0,267,0,267,0,267,0
0_0_0_10_14_32,,42,2,16,24,917,1008,917,0,917,0,917,0,917,0
0_0_0_10_14_32,,42,2,17,25,656,1009,656,0,656,0,656,0,656,0
0_0_0_10_14_32,,42,2,18,26,889,1011,889,0,889,0,889,0,889,0
0_0_0_10_14_32,,42,2,19,27,510,1009,510,0,510,0,510,0,510,0
0_0_0_10_14_32,,42,2,20,28,860,1010,860,0,860,0,860,0,860,0
0_0_0_10_14_32,,42,2,21,29,553,1013,553,0,553,0,553,0,553,0
0_0_0_10_14_32,,42,2,22,30,629,1009,629,0,629,0,629,0,629,0
0_0_0_10_14_32,,42,2,23,31,759,1009,759,0,759,0,759,0,759,0
0_0_0_10_14_32,,42,2,24,32,874,1010,874,0,874,0,874,0,874,0
0_0_0_10_14_32,,42,2,25,33,720,1013,720,0,720,0,720,0,720,0
0_0_0_10_14_32,,42,2,26,34,314,1011,314,0,314,0,314,0,314,0
0_0_0_10_14_32,,42,2,27,35,602,1012,602,0,602,0,602,0,602,0
0_0_0_10_14_32,,42,2,28,36,7,1009,7,0,7,0,7,0,7,0
0_0_0_10_14_32,,42,2,29,37,610,1012,610,0,610,0,610,0,610,0
0_0_0_10_14_32,,42,2,30,38,775,1010,775,0,775,0,775,0,775,0
0_0_0_10_14_32,,42,2,31,39,912,1013,912,0,912,0,912,0,912,0
0_0_0_10_14_32,,42,2,32,40,768,1011,768,0,768,0,768,0,768,0
0_0_0_10_14_32,,42,2,33,41,581,1013,581,0,581,0,581,0,581,0
0_0_0_10_14_32,,42,2,34,42,93,1012,93,0,93,0,93,0,93,0
