dataset,snr_db,seed,method,errors,symbol_count,ser,savaux_errors,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_32,,42,savaux,0,245,0.0,0,0,0
0_0_0_10_14_32,,42,gls_offpacket_fixed,0,245,0.0,0,0,0
0_0_0_10_14_32,,42,gls_packet_null,0,245,0.0,0,0,0
0_0_0_10_14_32,,42,gls_symbol_null,0,245,0.0,0,0,0
0_0_0_10_14_32,-22.0,42,savaux,32,245,0.1306122448979592,32,0,0
0_0_0_10_14_32,-22.0,42,gls_offpacket_fixed,32,245,0.1306122448979592,32,0,0
0_0_0_10_14_32,-22.0,42,gls_packet_null,32,245,0.1306122448979592,32,0,0
0_0_0_10_14_32,-22.0,42,gls_symbol_null,32,245,0.1306122448979592,32,0,0
0_0_0_10_14_32,-22.0,43,savaux,29,245,0.11836734693877551,29,0,0
0_0_0_10_14_32,-22.0,43,gls_offpacket_fixed,29,245,0.11836734693877551,29,0,0
0_0_0_10_14_32,-22.0,43,gls_packet_null,29,245,0.11836734693877551,29,0,0
0_0_0_10_14_32,-22.0,43,gls_symbol_null,29,245,0.11836734693877551,29,0,0
0_0_0_10_14_32,-22.0,44,savaux,32,245,0.1306122448979592,32,0,0
0_0_0_10_14_32,-22.0,44,gls_offpacket_fixed,31,245,0.12653061224489795,32,1,0
0_0_0_10_14_32,-22.0,44,gls_packet_null,32,245,0.1306122448979592,32,0,0
0_0_0_10_14_32,-22.0,44,gls_symbol_null,33,245,0.1346938775510204,32,0,1
0_0_0_10_14_32,-23.0,42,savaux,35,245,0.14285714285714285,35,0,0
0_0_0_10_14_32,-23.0,42,gls_offpacket_fixed,35,245,0.14285714285714285,35,0,0
0_0_0_10_14_32,-23.0,42,gls_packet_null,35,245,0.14285714285714285,35,0,0
0_0_0_10_14_32,-23.0,42,gls_symbol_null,35,245,0.14285714285714285,35,0,0
0_0_0_10_14_32,-23.0,43,savaux,39,245,0.15918367346938775,39,0,0
0_0_0_10_14_32,-23.0,43,gls_offpacket_fixed,39,245,0.15918367346938775,39,0,0
0_0_0_10_14_32,-23.0,43,gls_packet_null,39,245,0.15918367346938775,39,0,0
0_0_0_10_14_32,-23.0,43,gls_symbol_null,36,245,0.1469387755102041,39,3,0
0_0_0_10_14_32,-23.0,44,savaux,37,245,0.1510204081632653,37,0,0
0_0_0_10_14_32,-23.0,44,gls_offpacket_fixed,37,245,0.1510204081632653,37,1,1
0_0_0_10_14_32,-23.0,44,gls_packet_null,37,245,0.1510204081632653,37,0,0
0_0_0_10_14_32,-23.0,44,gls_symbol_null,38,245,0.15510204081632653,37,0,1
0_0_0_10_14_32,-24.0,42,savaux,43,245,0.17551020408163265,43,0,0
0_0_0_10_14_32,-24.0,42,gls_offpacket_fixed,43,245,0.17551020408163265,43,0,0
0_0_0_10_14_32,-24.0,42,gls_packet_null,43,245,0.17551020408163265,43,0,0
0_0_0_10_14_32,-24.0,42,gls_symbol_null,44,245,0.17959183673469387,43,0,1
0_0_0_10_14_32,-24.0,43,savaux,50,245,0.20408163265306123,50,0,0
0_0_0_10_14_32,-24.0,43,gls_offpacket_fixed,50,245,0.20408163265306123,50,0,0
0_0_0_10_14_32,-24.0,43,gls_packet_null,50,245,0.20408163265306123,50,0,0
0_0_0_10_14_32,-24.0,43,gls_symbol_null,51,245,0.20816326530612245,50,0,1
0_0_0_10_14_32,-24.0,44,savaux,50,245,0.20408163265306123,50,0,0
0_0_0_10_14_32,-24.0,44,gls_offpacket_fixed,52,245,0.21224489795918366,50,0,2
0_0_0_10_14_32,-24.0,44,gls_packet_null,51,245,0.20816326530612245,50,0,1
0_0_0_10_14_32,-24.0,44,gls_symbol_null,51,245,0.20816326530612245,50,0,1
0_0_0_10_14_32,-25.0,42,savaux,69,245,0.2816326530612245,69,0,0
0_0_0_10_14_32,-25.0,42,gls_offpacket_fixed,69,245,0.2816326530612245,69,1,1
0_0_0_10_14_32,-25.0,42,gls_packet_null,69,245,0.2816326530612245,69,0,0
0_0_0_10_14_32,-25.0,42,gls_symbol_null,71,245,0.2897959183673469,69,0,2
0_0_0_10_14_32,-25.0,43,savaux,68,245,0.27755102040816326,68,0,0
0_0_0_10_14_32,-25.0,43,gls_offpacket_fixed,70,245,0.2857142857142857,68,0,2
0_0_0_10_14_32,-25.0,43,gls_packet_null,69,245,0.2816326530612245,68,0,1
0_0_0_10_14_32,-25.0,43,gls_symbol_null,70,245,0.2857142857142857,68,1,3
0_0_0_10_14_32,-25.0,44,savaux,72,245,0.2938775510204082,72,0,0
0_0_0_10_14_32,-25.0,44,gls_offpacket_fixed,73,245,0.2979591836734694,72,0,1
0_0_0_10_14_32,-25.0,44,gls_packet_null,72,245,0.2938775510204082,72,0,0
0_0_0_10_14_32,-25.0,44,gls_symbol_null,71,245,0.2897959183673469,72,3,2
0_0_0_10_14_32,-26.0,42,savaux,109,245,0.4448979591836735,109,0,0
0_0_0_10_14_32,-26.0,42,gls_offpacket_fixed,106,245,0.4326530612244898,109,4,1
0_0_0_10_14_32,-26.0,42,gls_packet_null,107,245,0.43673469387755104,109,2,0
0_0_0_10_14_32,-26.0,42,gls_symbol_null,110,245,0.4489795918367347,109,3,4
0_0_0_10_14_32,-26.0,43,savaux,108,245,0.44081632653061226,108,0,0
0_0_0_10_14_32,-26.0,43,gls_offpacket_fixed,108,245,0.44081632653061226,108,0,0
0_0_0_10_14_32,-26.0,43,gls_packet_null,108,245,0.44081632653061226,108,0,0
0_0_0_10_14_32,-26.0,43,gls_symbol_null,107,245,0.43673469387755104,108,2,1
0_0_0_10_14_32,-26.0,44,savaux,105,245,0.42857142857142855,105,0,0
0_0_0_10_14_32,-26.0,44,gls_offpacket_fixed,102,245,0.4163265306122449,105,3,0
0_0_0_10_14_32,-26.0,44,gls_packet_null,106,245,0.4326530612244898,105,0,1
0_0_0_10_14_32,-26.0,44,gls_symbol_null,107,245,0.43673469387755104,105,2,4
