packet_id,reference_id,sync_status,sync_valid,tested_payload_symbols,admitted_payload_symbols,fine_payload_start_sample,cfo_total_bins,cfo_hz,sfo_hat,sfo_cum_initial,signal_power,offpacket_power,full_decode_status,full_header_valid,full_crc_valid,full_payload_exact,full_decode_ms,full_header_symbol_errors,full_payload_symbol_errors
exp0_000000_rxg20_0_fulltrim,0,ok,1,16,16,673552,-128.71322618720285,-3928.015935888759,-0.032989857029732124,0.025580086162754756,6.153250447488309e-08,9.926245921143361e-08,ok,1,1,1,291.75390000000334,0,8
exp0_000002_rxg20_0_fulltrim,2,ok,1,16,16,673544,-129.9365825693268,-3965.3498098549435,-0.033303409516436025,0.02192780095683511,2.9434755784562603e-08,1.0311762318316182e-07,ok,1,1,1,214.18979999998555,0,8
exp0_000003_rxg20_0_fulltrim,3,ok,1,16,16,673552,-128.8702234183035,-3932.8071111542818,-0.033030096221627926,0.003800740547303061,5.3735255547964695e-08,1.0186873702357439e-07,ok,1,1,1,443.6941999992996,0,8
exp0_000004_rxg20_0_fulltrim,4,ok,1,16,16,673552,-128.86059867151772,-3932.513387192313,-0.03302762934988664,0.017080315363240395,6.126035586516529e-08,1.0086582804132267e-07,ok,1,1,1,444.33119999939663,0,8
exp0_000005_rxg20_0_fulltrim,5,ok,1,16,16,673551,-128.73133173018064,-3928.568473211079,-0.03299449757283695,-0.042478231976055714,7.242874646077204e-08,1.0497311641362284e-07,ok,1,1,1,226.1490999999296,0,8
exp0_000006_rxg20_0_fulltrim,6,ok,1,16,16,673552,-128.78823406390384,-3930.3049946259716,-0.03300908193149063,-0.007236161750474146,7.561376789538686e-08,1.0233014222891894e-07,ok,1,1,1,384.90860000001703,0,8
exp0_000007_rxg20_0_fulltrim,7,ok,1,16,16,673551,-128.76227301106474,-3929.512726167747,-0.03300242798110128,-0.05637472620745215,7.449895515307498e-08,1.0451823083620935e-07,ok,1,1,1,472.51909999977215,0,8
exp0_000008_rxg20_0_fulltrim,8,ok,1,16,16,673552,-128.7286519200897,-3928.486691897269,-0.032993810723828614,0.014836410647933007,6.982488910305618e-08,1.0457904969806782e-07,ok,1,1,1,237.30090000026394,0,8
