dataset,method,metric,threshold_snr_db,status
0_0_0_10_14_16,center,SER<=10%,-22.0,all_pass
0_0_0_10_14_16,center,accuracy>=90%,-22.0,all_pass
0_0_0_10_14_16,center,CRC/PRR>=90%,-22.0,all_pass
0_0_0_10_14_16,center,CRC/PRR>=80%,-22.0,all_pass
0_0_0_10_14_16,center,CRC/PRR>=50%,-22.0,all_pass
0_0_0_10_14_16,multi,SER<=10%,-22.0,all_pass
0_0_0_10_14_16,multi,accuracy>=90%,-22.0,all_pass
0_0_0_10_14_16,multi,CRC/PRR>=90%,-22.0,all_pass
0_0_0_10_14_16,multi,CRC/PRR>=80%,-22.0,all_pass
0_0_0_10_14_16,multi,CRC/PRR>=50%,-22.0,all_pass
0_0_0_10_14_16,v3,SER<=10%,-22.0,all_pass
0_0_0_10_14_16,v3,accuracy>=90%,-22.0,all_pass
0_0_0_10_14_16,v3,CRC/PRR>=90%,-22.0,all_pass
0_0_0_10_14_16,v3,CRC/PRR>=80%,-22.0,all_pass
0_0_0_10_14_16,v3,CRC/PRR>=50%,-22.0,all_pass
0_0_0_10_14_16,phase_line,SER<=10%,-22.0,all_pass
0_0_0_10_14_16,phase_line,accuracy>=90%,-22.0,all_pass
0_0_0_10_14_16,phase_line,CRC/PRR>=90%,-22.0,all_pass
0_0_0_10_14_16,phase_line,CRC/PRR>=80%,-22.0,all_pass
0_0_0_10_14_16,phase_line,CRC/PRR>=50%,-22.0,all_pass
mean_of_datasets,center,SER<=10%,-22.0,all_pass
mean_of_datasets,center,accuracy>=90%,-22.0,all_pass
mean_of_datasets,center,CRC/PRR>=90%,-22.0,all_pass
mean_of_datasets,center,CRC/PRR>=80%,-22.0,all_pass
mean_of_datasets,center,CRC/PRR>=50%,-22.0,all_pass
mean_of_datasets,multi,SER<=10%,-22.0,all_pass
mean_of_datasets,multi,accuracy>=90%,-22.0,all_pass
mean_of_datasets,multi,CRC/PRR>=90%,-22.0,all_pass
mean_of_datasets,multi,CRC/PRR>=80%,-22.0,all_pass
mean_of_datasets,multi,CRC/PRR>=50%,-22.0,all_pass
mean_of_datasets,v3,SER<=10%,-22.0,all_pass
mean_of_datasets,v3,accuracy>=90%,-22.0,all_pass
mean_of_datasets,v3,CRC/PRR>=90%,-22.0,all_pass
mean_of_datasets,v3,CRC/PRR>=80%,-22.0,all_pass
mean_of_datasets,v3,CRC/PRR>=50%,-22.0,all_pass
mean_of_datasets,phase_line,SER<=10%,-22.0,all_pass
mean_of_datasets,phase_line,accuracy>=90%,-22.0,all_pass
mean_of_datasets,phase_line,CRC/PRR>=90%,-22.0,all_pass
mean_of_datasets,phase_line,CRC/PRR>=80%,-22.0,all_pass
mean_of_datasets,phase_line,CRC/PRR>=50%,-22.0,all_pass
