dataset,target_snr_db,packet_count,center_argmax_symbol_ser,multi_offset_argmax_symbol_ser,legacy_phase_line_symbol_ser,savaux_hard_symbol_ser,savaux_phase_symbol_ser,savaux_guarded_symbol_ser,savaux_phase_gain_vs_savaux,savaux_guarded_gain_vs_savaux,savaux_phase_gain_vs_legacy,savaux_guarded_gain_vs_legacy,stage1_candidate_recall,legacy_candidate_recall,viterbi_candidate_recall,mean_hard_anchor_count,mean_hard_anchor_error_rate,savaux_phase_crc_valid_rate,savaux_guarded_crc_valid_rate,guard_accept_phase_rate,mean_selected_branch_agreement,noise_seed,wins_vs_savaux,ties_vs_savaux,losses_vs_savaux,guarded_wins_vs_savaux,guarded_ties_vs_savaux,guarded_losses_vs_savaux,packet_win_rate_vs_savaux,guarded_packet_win_rate_vs_savaux
0_0_0_10_14_16,-26.0,11,0.9532467532467532,0.7948051948051947,0.625974025974026,0.37922077922077924,0.35064935064935066,0.37922077922077924,0.02857142857142857,0.0,0.2753246753246753,0.2467532467532468,0.9298701298701298,0.6493506493506493,0.9298701298701298,5.0,0.0,0.0,0.0,0.0,0.926547650917206,42,9,0,2,0,11,0,0.8181818181818182,0.0
0_0_0_10_14_16,-24.0,11,0.8337662337662337,0.5168831168831168,0.20519480519480515,0.14285714285714285,0.10129870129870128,0.13766233766233762,0.04155844155844155,0.005194805194805196,0.10389610389610388,0.06753246753246754,0.9922077922077922,0.9038961038961039,0.9922077922077922,15.909090909090908,0.0,0.0,0.0,0.18181818181818182,0.9425314974517209,42,9,0,2,2,9,0,0.8181818181818182,0.18181818181818182
