method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent
savaux,0,70,25,0.35714285714285715,0,0,0.41289730000062264,5.898532857151752,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.25
hamming_12,12,70,23,0.32857142857142857,4,2,1.022549399993295,14.607848571332786,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.25
information_12,12,70,22,0.3142857142857143,4,1,1.0086187000015343,14.40883857145049,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.25
information_12_wrap,12,70,22,0.3142857142857143,4,1,1.079261700004281,15.418024285775443,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.25
savaux,0,70,21,0.3,0,0,0.16735179999886896,2.3907399999838423,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.25
hamming_12,12,70,18,0.2571428571428571,3,0,0.9708823000000848,13.869747142858355,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.25
information_12,12,70,15,0.21428571428571427,6,0,0.9669496000133222,13.81356571447603,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.25
information_12_wrap,12,70,15,0.21428571428571427,6,0,1.0320543000088946,14.743632857269924,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.25
savaux,0,70,23,0.32857142857142857,0,0,0.17584720000741072,2.5121028572487245,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.25
hamming_12,12,70,19,0.2714285714285714,4,0,1.0260645000162185,14.65806428594598,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.25
information_12,12,70,19,0.2714285714285714,4,0,1.0395116000036069,14.85016571433724,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.25
information_12_wrap,12,70,19,0.2714285714285714,4,0,1.1069515000053798,15.813592857219712,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.25
