snr_label,added_snr_db,noise_power_db_relative,seed,packet_index,payload_symbol_index,frame_symbol_index,start_sample,gt_bin,header_bin_correction,header_bin_consensus,header_bin_observations,header_bin_residual,savaux_bin,savaux_correct,savaux_gt_rank,savaux_gt_margin_db,litenap_single_bin,litenap_single_correct,litenap_single_gt_rank,litenap_single_gt_margin_db,litenap_savaux_k1_bin,litenap_savaux_k1_correct,litenap_savaux_k1_gt_rank,litenap_savaux_k1_gt_margin_db,litenap_savaux_k2_bin,litenap_savaux_k2_correct,litenap_savaux_k2_gt_rank,litenap_savaux_k2_gt_margin_db,savaux_error_mode,savaux_alias_bin_correct,litenap_single_error_mode,litenap_single_alias_bin_correct,litenap_savaux_k1_error_mode,litenap_savaux_k1_alias_bin_correct,litenap_savaux_k2_error_mode,litenap_savaux_k2_alias_bin_correct
clean,,,0,0,0,8,623528,803,0,1.0,8,0,803,1,1,24.635676232833536,35,0,1,0.0,803,1,1,3.511639796748746,803,1,1,6.591010208824516,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,1,9,627624,711,0,1.0,8,0,711,1,1,22.358258866722736,199,0,1,0.0,711,1,1,4.225390491039958,711,1,1,7.267186015945254,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,2,10,631720,922,0,1.0,8,0,922,1,1,26.779622436199237,154,0,1,0.0,922,1,1,3.471656586046306,922,1,1,6.512557736777075,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,3,11,635816,718,0,1.0,8,0,718,1,1,23.877205245897663,206,0,1,0.0,718,1,1,4.248495645439799,718,1,1,7.247499899293923,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,4,12,639912,756,0,1.0,8,0,756,1,1,24.403250830322662,244,0,1,0.0,756,1,1,3.8260928731413406,756,1,1,6.852777806509982,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,5,13,644008,109,0,1.0,8,0,109,1,1,25.834808373783783,109,1,1,0.0,109,1,1,3.7574289364857294,109,1,1,6.765974241105628,correct,1,correct,1,correct,1,correct,1
clean,,,0,0,6,14,648104,932,0,1.0,8,0,932,1,1,24.752081478410016,164,0,1,0.0,932,1,1,3.3936502358098615,932,1,1,6.432978854923297,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,7,15,652200,468,0,1.0,8,0,468,1,1,23.662753598716193,212,0,1,0.0,468,1,1,4.137311363096937,468,1,1,7.127405972933315,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,8,16,656296,89,0,1.0,8,0,89,1,1,23.285566407715184,89,1,1,0.0,89,1,1,3.702426002270307,89,1,1,6.712869061596377,correct,1,correct,1,correct,1,correct,1
clean,,,0,0,9,17,660392,713,0,1.0,8,0,713,1,1,24.9084842164263,201,0,1,0.0,713,1,1,4.1681721418279025,713,1,1,7.177621809907045,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,10,18,664488,865,0,1.0,8,0,865,1,1,22.006078174087037,97,0,1,0.0,865,1,1,3.372145537082361,865,1,1,6.427855106148409,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,11,19,668584,92,0,1.0,8,0,92,1,1,20.74402869189641,92,1,1,0.0,92,1,1,3.6110852883260836,92,1,1,6.642330787637837,correct,1,correct,1,correct,1,correct,1
clean,,,0,0,12,20,672680,645,0,1.0,8,0,645,1,1,24.376024692620845,133,0,1,0.0,645,1,1,4.102920178131528,645,1,1,7.11971581006035,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,13,21,676776,426,0,1.0,8,0,426,1,1,21.945336884201797,170,0,1,0.0,426,1,1,4.002211287485623,426,1,1,7.010034691310877,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,14,22,680872,765,0,1.0,8,0,765,1,1,21.56936273282764,253,0,1,0.0,765,1,1,3.5104228019897343,765,1,1,6.56611332077356,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,15,23,684968,1023,0,1.0,8,0,1023,1,1,17.688182575697844,255,0,1,0.0,1023,1,1,3.4947304780860695,1023,1,1,6.526892844125811,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,16,24,689064,597,0,1.0,8,0,597,1,1,20.83704937047718,85,0,1,0.0,597,1,1,4.0106800365539925,597,1,1,7.02799605286439,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,17,25,693160,562,0,1.0,8,0,562,1,1,19.45973510996841,50,0,1,0.0,562,1,1,3.9889025793898565,562,1,1,7.002707864469623,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,18,26,697256,827,0,1.0,8,0,827,1,1,17.74262891214661,59,0,1,0.0,827,1,1,3.2557514041903524,827,1,1,6.321034794779309,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,19,27,701352,890,0,1.0,8,0,890,1,1,16.280146556376174,122,0,1,0.0,890,1,1,3.1942110043310197,890,1,1,6.230449994675765,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,20,28,705448,174,0,1.0,8,0,174,1,1,17.06099988222586,174,1,1,0.0,174,1,1,3.545322925602559,174,1,1,6.552147949347413,correct,1,correct,1,correct,1,correct,1
clean,,,0,0,21,29,709544,267,0,1.0,8,0,267,1,1,18.668479490864517,11,0,1,0.0,267,1,1,3.679871265731144,267,1,1,6.709915394391851,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,22,30,713640,917,0,1.0,8,0,917,1,1,14.734116152140945,149,0,1,0.0,917,1,1,3.0675628934306562,917,1,1,6.120805330456879,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,23,31,717736,656,0,1.0,8,0,656,1,1,20.66855303930659,144,0,1,0.0,656,1,1,3.8178628153769307,656,1,1,6.819607233096805,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,24,32,721832,889,0,1.0,8,0,889,1,1,14.117523996818775,121,0,1,0.0,889,1,1,3.0774443258350197,889,1,1,6.126700466557028,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,25,33,725928,66,0,1.0,8,0,66,1,1,13.18466922528263,66,1,1,0.0,66,1,1,3.222965041202708,66,1,1,6.226350762367678,correct,1,correct,1,correct,1,correct,1
clean,,,0,0,26,34,730024,586,0,1.0,8,0,586,1,1,17.39204749819715,74,0,1,0.0,586,1,1,3.724828283043756,586,1,1,6.7243641976959605,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,27,35,734121,425,0,1.0,8,0,425,1,1,14.05491593706033,169,0,1,0.0,425,1,1,4.41628634202376,425,1,1,7.430426811158746,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,28,36,738217,860,0,1.0,8,0,860,1,1,19.855667090117638,92,0,1,0.0,860,1,1,3.5277601029423145,860,1,1,6.581418785974017,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,29,37,742313,553,0,1.0,8,0,553,1,1,14.222979795610444,41,0,1,0.0,553,1,1,4.377629071383563,553,1,1,7.392603707805218,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,30,38,746409,629,0,1.0,8,0,629,1,1,15.13101233192296,117,0,1,0.0,629,1,1,4.3548847213446935,629,1,1,7.372365862436658,correct,1,wrong_group,1,correct,1,correct,1
clean,,,0,0,31,39,750505,759,0,1.0,8,0,759,1,1,17.98943005155184,247,0,1,0.0,759,1,1,3.8714903184980165,759,1,1,6.901355091530954,correct,1,wrong_group,1,correct,1,correct,1
-20,-20.0,20.0,42,0,0,8,623528,803,0,1.0,8,0,803,1,1,7.3115728805938085,223,0,193,-5.724793676599633,517,0,3,-0.8308090374771933,803,1,1,3.2098902591059275,correct,1,wrong_alias_bin,0,wrong_alias_bin,0,correct,1
-20,-20.0,20.0,42,0,1,9,627624,711,0,1.0,8,0,711,1,1,5.450326891604518,168,0,13,-1.638463140144074,632,0,3,-0.342875922041048,711,1,1,2.6521381483597133,correct,1,wrong_alias_bin,0,wrong_alias_bin,0,correct,1
-20,-20.0,20.0,42,0,2,10,631720,922,0,1.0,8,0,922,1,1,5.107998632102543,37,0,253,-6.238938184585546,978,0,2,-1.3301150519048939,922,1,1,2.0979016638643193,correct,1,wrong_alias_bin,0,wrong_alias_bin,0,correct,1
-20,-20.0,20.0,42,0,3,11,635816,718,0,1.0,8,0,718,1,1,5.620348342171911,58,0,5,-0.3612480144597796,718,1,1,2.2369255610355236,718,1,1,3.6045012335667743,correct,1,wrong_alias_bin,0,correct,1,correct,1
-20,-20.0,20.0,42,0,4,12,639912,756,0,1.0,8,0,756,1,1,7.381176807466554,201,0,113,-5.643318542661394,756,1,1,1.590667511788346,756,1,1,4.841828093090649,correct,1,wrong_alias_bin,0,correct,1,correct,1
-20,-20.0,20.0,42,0,5,13,644008,109,0,1.0,8,0,109,1,1,5.48335033770988,216,0,221,-9.389807243480213,984,0,4,-1.4760067343137977,109,1,1,2.068663210787973,correct,1,wrong_alias_bin,0,wrong_alias_bin,0,correct,1
-20,-20.0,20.0,42,0,6,14,648104,932,0,1.0,8,0,932,1,1,7.607234087461046,164,0,1,0.0,932,1,1,0.43474262694475363,932,1,1,5.023648698641172,correct,1,wrong_group,1,correct,1,correct,1
-20,-20.0,20.0,42,0,7,15,652200,468,0,1.0,8,0,468,1,1,4.590886770143056,223,0,13,-1.2797113644426124,468,1,1,0.042163551239451015,468,1,1,3.1665977200872995,correct,1,wrong_alias_bin,0,correct,1,correct,1
-20,-20.0,20.0,42,0,8,16,656296,89,0,1.0,8,0,89,1,1,8.733531031906953,89,1,1,0.0,89,1,1,3.1248313800348235,89,1,1,4.738865254723612,correct,1,correct,1,correct,1,correct,1
-20,-20.0,20.0,42,0,9,17,660392,713,0,1.0,8,0,713,1,1,9.084686976041908,201,0,1,0.0,713,1,1,4.011523226859463,713,1,1,6.2709597331930915,correct,1,wrong_group,1,correct,1,correct,1
-20,-20.0,20.0,42,0,10,18,664488,865,0,1.0,8,0,865,1,1,10.129834471955785,197,0,329,-6.6666899796191,865,1,1,0.9777125154844102,865,1,1,5.939774884252809,correct,1,wrong_alias_bin,0,correct,1,correct,1
-20,-20.0,20.0,42,0,11,19,668584,92,0,1.0,8,0,92,1,1,4.776419147401301,15,0,57,-3.7824243152957004,92,1,1,1.135046417063726,92,1,1,4.115476973366595,correct,1,wrong_alias_bin,0,correct,1,correct,1
-20,-20.0,20.0,42,0,12,20,672680,645,0,1.0,8,0,645,1,1,7.344682106999131,133,0,1,0.0,840,0,18,-2.782874565105629,645,1,1,4.09876983460604,correct,1,wrong_group,1,wrong_alias_bin,0,correct,1
-20,-20.0,20.0,42,0,13,21,676776,426,0,1.0,8,0,426,1,1,4.869932953543413,194,0,17,-4.818250982453497,426,1,1,1.5321144582059596,426,1,1,3.309950276089011,correct,1,wrong_alias_bin,0,correct,1,correct,1
