dataset,scenario,snr_db,blocker_isr_db,seed,symbol_count,savaux_errors,alias_trim_errors,savaux_ser,alias_trim_ser,net_fixed_errors,fixes,breaks,gate_count,change_count,gate_rate,change_rate,mean_tone_prominence_db,mean_tone_power_fraction,mean_savaux_seconds,mean_alias_trim_overhead_seconds
0_0_0_10_14_16,awgn_alias_tone,-24.0,25.0,all,1155,704,355,0.6095238095238096,0.30735930735930733,349,349,0,1155,354,1.0,0.3064935064935065,38.57642077052547,0.55533723584446,0.0012078707359266733,0.0033109095238252604
0_0_0_10_14_16,awgn_alias_tone,-24.0,25.0,2101,385,238,118,0.6181818181818182,0.3064935064935065,120,120,0,385,123,1.0,0.3194805194805195,38.57200454678036,0.5550014187712591,0.0012295077922128447,0.00336477584418177
0_0_0_10_14_16,awgn_alias_tone,-24.0,25.0,2202,385,226,113,0.587012987012987,0.2935064935064935,113,113,0,385,113,1.0,0.2935064935064935,38.57947765173448,0.555504775674083,0.0011822431168822093,0.003257372467539556
0_0_0_10_14_16,awgn_alias_tone,-24.0,25.0,2303,385,240,124,0.6233766233766234,0.3220779220779221,116,116,0,385,118,1.0,0.3064935064935065,38.577780113061564,0.5555055130880383,0.001211861298684966,0.0033105802597544554
0_0_0_10_14_16,awgn_alias_tone,-24.0,30.0,all,1155,805,319,0.696969696969697,0.2761904761904762,486,486,0,1155,503,1.0,0.4354978354978355,43.48047081023508,0.7960735103521089,0.0012960198268361929,0.003436670822508083
0_0_0_10_14_16,awgn_alias_tone,-24.0,30.0,2101,385,274,102,0.7116883116883117,0.2649350649350649,172,172,0,385,179,1.0,0.4649350649350649,43.47754276429037,0.7959270422885343,0.0011126412986862766,0.0030775376623550276
0_0_0_10_14_16,awgn_alias_tone,-24.0,30.0,2202,385,255,103,0.6623376623376623,0.2675324675324675,152,152,0,385,156,1.0,0.4051948051948052,43.4810608160058,0.7960852551949484,0.0012998262337662579,0.0034853740259287794
0_0_0_10_14_16,awgn_alias_tone,-24.0,30.0,2303,385,276,114,0.7168831168831169,0.2961038961038961,162,162,0,385,168,1.0,0.43636363636363634,43.48280885040909,0.7962082335728443,0.0014755919480560439,0.0037471007792404423
0_0_0_10_14_16,awgn_alias_tone,-24.0,35.0,all,1155,907,234,0.7852813852813852,0.2025974025974026,673,673,0,1155,742,1.0,0.6424242424242425,48.23216410594885,0.9218364876188664,0.0011292074458884064,0.003090869696979732
0_0_0_10_14_16,awgn_alias_tone,-24.0,35.0,2101,385,306,68,0.7948051948051948,0.17662337662337663,238,238,0,385,262,1.0,0.6805194805194805,48.228994545765794,0.9217411628607903,0.0011113420779382706,0.0030312815584622585
0_0_0_10_14_16,awgn_alias_tone,-24.0,35.0,2202,385,299,82,0.7766233766233767,0.21298701298701297,217,217,0,385,238,1.0,0.6181818181818182,48.23315938765117,0.9218677903194717,0.001098060519469474,0.003061304155805858
0_0_0_10_14_16,awgn_alias_tone,-24.0,35.0,2303,385,302,84,0.7844155844155845,0.21818181818181817,218,218,0,385,242,1.0,0.6285714285714286,48.23433838442957,0.921900509676337,0.0011782197402574746,0.0031800233766710794
0_0_0_10_14_32,awgn_alias_tone,-24.0,25.0,all,735,466,262,0.6340136054421769,0.3564625850340136,204,204,0,735,218,1.0,0.2965986394557823,38.57779848642901,0.555241844243868,0.001137435918371302,0.003147612380947679
0_0_0_10_14_32,awgn_alias_tone,-24.0,25.0,2101,245,152,90,0.6204081632653061,0.3673469387755102,62,62,0,245,66,1.0,0.2693877551020408,38.58526422594872,0.5555949054446162,0.0011008387754985478,0.003085291836726597
0_0_0_10_14_32,awgn_alias_tone,-24.0,25.0,2202,245,164,89,0.6693877551020408,0.363265306122449,75,75,0,245,80,1.0,0.32653061224489793,38.566242911534594,0.5546933499865311,0.0010989877551319481,0.0030665118367323883
0_0_0_10_14_32,awgn_alias_tone,-24.0,25.0,2303,245,150,83,0.6122448979591837,0.33877551020408164,67,67,0,245,72,1.0,0.2938775510204082,38.5818883218037,0.555437277300457,0.00121248122448341,0.0032910334693840517
0_0_0_10_14_32,awgn_alias_tone,-24.0,30.0,all,735,533,246,0.7251700680272108,0.3346938775510204,287,287,0,735,336,1.0,0.45714285714285713,43.479926316118764,0.7959687560597846,0.0011437023129177277,0.0031314526530425977
0_0_0_10_14_32,awgn_alias_tone,-24.0,30.0,2101,245,176,81,0.7183673469387755,0.3306122448979592,95,95,0,245,107,1.0,0.43673469387755104,43.48305617307536,0.7960971587137724,0.0011434787755020732,0.003122140408149975
0_0_0_10_14_32,awgn_alias_tone,-24.0,30.0,2202,245,178,85,0.726530612244898,0.3469387755102041,93,93,0,245,111,1.0,0.4530612244897959,43.473562720647365,0.7958054925820284,0.00112738612242909,0.0031192620408026935
0_0_0_10_14_32,awgn_alias_tone,-24.0,30.0,2303,245,179,80,0.7306122448979592,0.32653061224489793,99,99,0,245,118,1.0,0.4816326530612245,43.48316005463357,0.7960036168835531,0.00116024204082202,0.003152955510175124
0_0_0_10_14_32,awgn_alias_tone,-24.0,35.0,all,735,598,191,0.8136054421768707,0.2598639455782313,407,407,0,735,513,1.0,0.6979591836734694,48.214510399462505,0.9214689111571196,0.0011650661224625858,0.003146152380944915
0_0_0_10_14_32,awgn_alias_tone,-24.0,35.0,2101,245,202,63,0.8244897959183674,0.2571428571428571,139,139,0,245,170,1.0,0.6938775510204082,48.21711378329998,0.9215437930109595,0.0011203114285790992,0.0030644763264866255
0_0_0_10_14_32,awgn_alias_tone,-24.0,35.0,2202,245,199,64,0.8122448979591836,0.2612244897959184,135,135,0,245,173,1.0,0.7061224489795919,48.20692324225395,0.9213551678365476,0.0011013130612271345,0.0030163195918601338
0_0_0_10_14_32,awgn_alias_tone,-24.0,35.0,2303,245,197,64,0.8040816326530612,0.2612244897959184,133,133,0,245,170,1.0,0.6938775510204082,48.21949417283361,0.9215077726238519,0.0012735738775815236,0.003357661224487986
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,all,1050,640,328,0.6095238095238096,0.31238095238095237,312,312,0,1050,318,1.0,0.3028571428571429,38.573019649500566,0.555055591713332,0.0013474419047703296,0.0040242871428355495
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,2101,350,224,110,0.64,0.3142857142857143,114,114,0,350,116,1.0,0.3314285714285714,38.57408244830111,0.5550752251934638,0.001637884857141866,0.004138997999998537
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,2202,350,197,102,0.5628571428571428,0.2914285714285714,95,95,0,350,96,1.0,0.2742857142857143,38.56896685873569,0.5548178586944834,0.0012039808571353205,0.003964487142815674
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,2303,350,219,116,0.6257142857142857,0.3314285714285714,103,103,0,350,106,1.0,0.3028571428571429,38.57600964146491,0.5552736912520483,0.0012004600000338022,0.003969376285692436
0_0_0_10_14_8,awgn_alias_tone,-24.0,30.0,all,1050,743,300,0.7076190476190476,0.2857142857142857,443,443,0,1050,477,1.0,0.4542857142857143,43.47819146601414,0.7959127956380521,0.0011486017142851778,0.0033570175238214904
0_0_0_10_14_8,awgn_alias_tone,-24.0,30.0,2101,350,258,99,0.7371428571428571,0.28285714285714286,159,159,0,350,173,1.0,0.4942857142857143,43.48014553913227,0.795960782455228,0.0011253334285434642,0.0034736260000266025
0_0_0_10_14_8,awgn_alias_tone,-24.0,30.0,2202,350,230,98,0.6571428571428571,0.28,132,132,0,350,137,1.0,0.3914285714285714,43.471655332778944,0.7957012510224178,0.0011561482857255863,0.0032928500000005963
0_0_0_10_14_8,awgn_alias_tone,-24.0,30.0,2303,350,255,103,0.7285714285714285,0.29428571428571426,152,152,0,350,167,1.0,0.47714285714285715,43.482773526131226,0.7960763534365102,0.001164323428586483,0.0033045765714372725
0_0_0_10_14_8,awgn_alias_tone,-24.0,35.0,all,1050,850,217,0.8095238095238095,0.20666666666666667,633,633,0,1050,731,1.0,0.6961904761904761,48.211419971344945,0.9213818631776216,0.0011551336190435298,0.0031689712380864963
0_0_0_10_14_8,awgn_alias_tone,-24.0,35.0,2101,350,293,67,0.8371428571428572,0.19142857142857142,226,226,0,350,270,1.0,0.7714285714285715,48.20947331492079,0.9213301948281677,0.001150897714261581,0.0032845165714024916
0_0_0_10_14_8,awgn_alias_tone,-24.0,35.0,2202,350,274,71,0.7828571428571428,0.20285714285714285,203,203,0,350,224,1.0,0.64,48.20950233428406,0.9214062090464964,0.0011396214286053562,0.0030827965714057166
0_0_0_10_14_8,awgn_alias_tone,-24.0,35.0,2303,350,283,79,0.8085714285714286,0.2257142857142857,204,204,0,350,237,1.0,0.6771428571428572,48.21528426482997,0.921409185658201,0.0011748817142636524,0.0031396005714512806
