dataset,scenario,snr_db,blocker_isr_db,blocker_frequency,seed,packet_index,payload_symbol_index,raw_start_sample,demod_start_sample,origin_shift,sf,os_factor,signal_reference_power,gt_bin,savaux_bin,cleaned_bin,alias_trim_bin,savaux_error,alias_trim_error,fix,break,gate_triggered,changed,blocker_count,clean_gain_db,strongest_tone_prominence_db,strongest_tone_power_fraction,estimated_blocker_frequency,blocker_frequency_error,savaux_seconds,alias_trim_overhead_seconds
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,0,728281,728283,2,10,4,9.805608631442118e-05,803,424,803,803,1,0,1,0,1,1,1,3.809359517313454,38.72700282349421,0.5612621609625308,0.05000036264288825,3.6264288827414504e-07,0.14005329999963578,0.004611199999999371
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,1,732377,732379,2,10,4,9.805608631442118e-05,826,826,826,826,0,0,0,0,1,0,1,0.0,38.61999886996631,0.5569340731863439,0.04999963994842045,-3.6005157955099065e-07,0.001556700000037381,0.0054400999997596955
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,2,736473,736475,2,10,4,9.805608631442118e-05,922,922,922,922,0,0,0,0,1,0,1,0.0,38.68880264237129,0.5555476829565231,0.05000010581259309,1.0581259313191538e-07,0.001530500000626489,0.004732999999760068
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,3,740569,740571,2,10,4,9.805608631442118e-05,718,921,718,718,1,0,1,0,1,1,1,4.865745027579892,38.47795990962712,0.550419304286109,0.04999962864026386,-3.713597361287846e-07,0.0013860999997632462,0.005269100000077742
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,4,744665,744667,2,10,4,9.805608631442118e-05,86,86,86,86,0,0,0,0,1,0,1,0.0,38.51637146927598,0.5532586980620169,0.04999834551657559,-1.6544834244291984e-06,0.001310100000409875,0.00447840000015276
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,5,748761,748763,2,10,4,9.805608631442118e-05,467,420,467,467,1,0,1,0,1,1,1,3.640060422883995,38.645975491520716,0.5615860472865495,0.05000209825861886,2.098258618854487e-06,0.0012311999998928513,0.0048127000000022235
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,6,752857,752859,2,10,4,9.805608631442118e-05,89,89,89,89,0,0,0,0,1,0,1,0.0,38.596152924303816,0.5586474028878102,0.04999921973972344,-7.802602765560884e-07,0.0012553999995361664,0.004432799999449344
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,7,756953,756955,2,10,4,9.805608631442118e-05,713,960,713,960,1,1,0,0,1,0,1,2.5042720032279537,38.58806805771313,0.5553120267774597,0.05000095497453451,9.549745345616145e-07,0.0012640999993891455,0.004812799999854178
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,8,761049,761051,2,10,4,9.805608631442118e-05,865,693,865,865,1,0,1,0,1,1,1,4.818300971625652,38.557013230864264,0.5567206747425117,0.050001054260264716,1.0542602647545252e-06,0.0013144000004103873,0.004830600000786944
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,9,765145,765147,2,10,4,9.805608631442118e-05,405,942,405,405,1,0,1,0,1,1,1,3.0251261230809865,38.763437791341296,0.5605217924291346,0.05000031625597403,3.1625597407547446e-07,0.0012166999995315564,0.004478899999412533
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,10,769241,769243,2,10,4,9.805608631442118e-05,765,765,765,765,0,0,0,0,1,0,1,0.0,38.76787300675807,0.5667128219915796,0.05000161281761789,1.612817617901996e-06,0.0013005999999222695,0.005765400000200316
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,11,773337,773339,2,10,4,9.805608631442118e-05,1023,191,1023,1023,1,0,1,0,1,1,1,5.070058097611381,38.56548326901741,0.5523956495567933,0.04999958711351257,-4.128864874441973e-07,0.0014937000005375012,0.004703200000221841
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,12,777433,777435,2,10,4,9.805608631442118e-05,597,991,597,597,1,0,1,0,1,1,1,5.302436662605698,38.45677090359362,0.5448818509591661,0.04999894168853295,-1.0583114670725813e-06,0.0012998000001971377,0.004806599999938044
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,13,781529,781531,2,10,4,9.805608631442118e-05,562,562,562,562,0,0,0,0,1,0,1,0.0,38.58862922797506,0.5558618336689444,0.05000245647687067,2.4564768706936135e-06,0.0013367000001380802,0.00483299999996234
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,14,785625,785627,2,10,4,9.805608631442118e-05,478,478,478,478,0,0,0,0,1,0,1,0.0,38.48656240380756,0.5527898120466996,0.04999911008849113,-8.899115088722986e-07,0.001398700000208919,0.004523099999460101
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,15,789721,789723,2,10,4,9.805608631442118e-05,267,267,267,267,0,0,0,0,1,0,1,0.0,38.60780482408032,0.5532002790676332,0.04999811498454326,-1.8850154567262578e-06,0.0013177999999243184,0.004837000000406988
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,16,793817,793819,2,10,4,9.805608631442118e-05,917,55,917,917,1,0,1,0,1,1,1,4.064424654096738,38.51404826621684,0.5536546702304286,0.05000094651771376,9.465177137624181e-07,0.001314200000706478,0.004381200000352692
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,17,797913,797915,2,10,4,9.805608631442118e-05,656,656,656,656,0,0,0,0,1,0,1,0.0,38.74044743939948,0.5628021943837825,0.05000149638517096,1.4963851709959286e-06,0.0012640999993891455,0.004988199999388598
0_0_0_10_14_8,awgn_alias_tone,-24.0,25.0,0.05,2101,0,18,802009,802011,2,10,4,9.805608631442118e-05,889,368,889,368,1,1,0,0,1,0,1,1.382621913573041,38.42552339659308,0.5473965354091275,0.04999973963217267,-2.603678273538357e-07,0.0018452000003890134,0.006231699999261764
