target_snr_db,packet_index,event_index,frame_index,candidate_label,candidate_kind,candidate_value,payload_symbol_count,target_gt_hit_rate,target_argmax_hit_rate,argmax_gt_hit_rate,phase_slope_pi_per_symbol,linear_fit_r2,linear_fit_rmse_pi,residual_std_pi,residual_peak_to_peak_pi,residual_quad_r2,target_amp_mean,target_amp_std,target_amp_cv,target_energy_ratio_mean,target_energy_ratio_std,target_rank_mean,target_rank_median,target_rank_min,target_rank_max,target_amp_vs_gt_db_mean,target_power_vs_gt_db_mean,target_power_vs_argmax_db_mean,gt_energy_ratio_mean,cfo_frac,sto_frac,sfo_hat
-20.0,1,1,0,argmax,argmax,0,35,0.42857142857142855,1.0,0.42857142857142855,-0.058113494550268145,0.5864658599447496,0.4928461797699872,0.3881346754502795,1.5658824697463187,0.13553148242380075,8.343555201130329,1.2263712325464338,0.1469842534727035,0.009209424600549397,0.00290959955196089,1.0,1.0,1,1,1.3271770641060696,1.3271770680564634,0.0,0.007788884555950889,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
-20.0,1,1,0,fix0000,fixed,0,35,0.0,0.0,0.42857142857142855,-0.1596448901894076,0.5733812431712877,1.3907636794491818,0.5437296640038997,1.8996339052790947,0.01869623163787404,2.229521070977789,1.0927306906122118,0.4901190236937204,0.0008028971382436774,0.0007646879025842217,556.2,644.0,35,965,-11.184647648868301,-11.18464767180359,-12.511824739860053,0.007788884555950889,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
-20.0,1,1,0,fix0256,fixed,256,35,0.0,0.0,0.42857142857142855,-0.07546419162026252,0.5157650512986238,0.7384874514300954,0.5538813882997801,1.8774399136555233,0.15630506334395122,2.1013419225547505,1.1373581043064724,0.5412532306611508,0.0007348001982752217,0.0007011342536492053,583.2285714285714,594.0,46,1019,-12.348139674355066,-12.348139679249199,-13.675316747305663,0.007788884555950889,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
-20.0,1,1,0,fix0512,fixed,512,35,0.0,0.0,0.42857142857142855,0.2066734573864355,0.8718030462180414,0.8004135872873607,0.5685574324907248,1.954146072835168,0.09745052850128055,2.300356955296014,1.1338364812251835,0.4928958867078433,0.0008461104431986384,0.0007541677995502614,536.9714285714285,618.0,34,1007,-11.053112128492213,-11.053112265018282,-12.380289333074748,0.007788884555950889,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
-20.0,1,1,0,fix0768,fixed,768,35,0.0,0.0,0.42857142857142855,-0.09563010136114687,0.6868110332196021,0.6521977517689883,0.5427349769077745,1.880366869653226,0.05825966840521413,2.893988579985276,1.3512315655203055,0.4669097780362286,0.0013146931578874893,0.001336136613348074,408.77142857142854,383.0,2,905,-8.72088066544654,-8.720880700043281,-10.048057768099747,0.007788884555950889,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
-20.0,1,1,0,gt,gt,0,35,1.0,0.42857142857142855,0.42857142857142855,-0.053093824599655344,0.9239101073199572,0.15388373661056404,0.15388373661056404,0.6327016049541877,0.717929031360036,7.447267502160785,2.1591458129668624,0.2899245679493046,0.007788884555950889,0.004176273028215239,27.942857142857143,2.0,1,340,0.0,0.0,-1.3271770680564634,0.007788884555950889,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
-20.0,1,1,0,off+1,offset,1,35,0.0,0.0,0.42857142857142855,0.1799714822502656,0.8333330924687721,0.8128663654789153,0.6566887501757546,1.9630248348184973,0.09161906652147389,2.4854928347427223,1.1210370076964737,0.45103208185772714,0.0009636436634486549,0.0007820279490618864,488.74285714285713,535.0,55,995,-10.20399457307379,-10.203994632845538,-11.531171700902002,0.007788884555950889,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
-20.0,1,1,0,off+16,offset,16,35,0.0,0.0,0.42857142857142855,-0.22948946178856572,0.8291460939956634,1.0521066356014426,0.6268856783728536,1.88811855652588,0.13648490368079624,2.6207305437135515,1.3683976183885738,0.5221435762142744,0.0011329469109522673,0.0010956458953063275,470.9714285714286,375.0,5,1008,-10.164186260904179,-10.164186375953841,-11.491363444010307,0.007788884555950889,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
-20.0,1,1,0,off+256,offset,256,35,0.0,0.0,0.42857142857142855,-0.15131313114857348,0.6859805765008437,1.0339488409785074,0.5658625540844084,1.952887940915069,0.011256567616036217,2.6324054393981298,1.1425183555575533,0.4340206635565901,0.0010560546178148141,0.000837937362146387,457.57142857142856,458.0,31,984,-9.56078485202309,-9.560784919801387,-10.887961987857853,0.007788884555950889,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
-20.0,1,1,0,off+4,offset,4,35,0.0,0.0,0.42857142857142855,0.025058998550242285,0.08497147780578473,0.8305093514774278,0.5839464850033766,1.923961375575952,0.006507871120098985,2.488253237093535,1.2036990570976531,0.48375263383708617,0.0009872585500706097,0.0009000814317631488,493.57142857142856,430.0,28,1001,-10.347597572969654,-10.3475976311426,-11.674774699199064,0.007788884555950889,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
