event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,2277376,2637824,139,157,19,166,166,166,166,26.838460738040386,2.9546313856465622,0.02059089322768906,12,125000.0,500000.0,4,16384,4,16384,13,2
1,4784128,5128192,292,309,18,1717,1717,1717,1717,13.358005133057304,3.027970505711716,0.014334293395601237,12,125000.0,500000.0,4,16384,4,16384,13,2
2,7274496,7634944,444,462,19,15491,-893,15491,15492,6.482730635766577,0.7644435374338837,0.008006944920246173,12,125000.0,500000.0,4,16384,4,16384,13,2
3,9781248,10141696,597,615,19,621,621,621,621,4.272068627180584,1.2368969320661884,0.007043684729581864,12,125000.0,500000.0,4,16384,4,16384,13,2
4,12271616,12533760,749,761,13,14426,-1958,14426,14426,3.194249625800204,1.7106081922520144,0.005176961649778082,12,125000.0,500000.0,4,16384,4,16384,13,2
5,14778368,15122432,902,919,18,16081,-303,16081,16082,20.027432598562477,0.6526240548919098,0.02007838415025023,12,125000.0,500000.0,4,16384,4,16384,13,2
6,17301504,17645568,1056,1073,18,1273,1273,1273,1273,0.4785728970115694,3.24345173057696,0.0029306551407303418,12,125000.0,500000.0,4,16384,4,16384,13,2
7,22282240,22626304,1360,1377,18,295,295,295,296,1.0217679265923734,1.3996926725645533,0.004824373734450671,12,125000.0,500000.0,4,16384,4,16384,13,2
8,27279360,27607040,1665,1681,17,15560,-824,15560,15560,1.7166257317979163,1.9196100425171054,0.0059246286040205666,12,125000.0,500000.0,4,16384,4,16384,13,2
9,29786112,30130176,1818,1835,18,772,772,772,772,10.59482561196718,2.433865746157241,0.011410071413052019,12,125000.0,500000.0,4,16384,4,16384,13,2
10,32276480,32620544,1970,1987,18,14615,-1769,14615,14615,91.9517504424358,1.264001485839357,0.024777599396572886,12,125000.0,500000.0,4,16384,4,16384,13,2
11,34783232,35127296,2123,2140,18,16258,-126,16258,16258,42.72865294892917,12.52141844784173,0.02613574358333339,12,125000.0,500000.0,4,16384,4,16384,13,2
12,37289984,37617664,2276,2292,17,1425,1425,1425,1425,14.913229175714044,3.404210947752646,0.010167149153861648,12,125000.0,500000.0,4,16384,4,16384,13,2
13,39780352,40124416,2428,2445,18,15291,-1093,15291,15291,44.138085813966526,5.798152370209393,0.024357571361942207,12,125000.0,500000.0,4,16384,4,16384,13,2
