method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,25,0.35714285714285715,0,0,0.4109572999914235,5.87081857130605,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,23,0.32857142857142857,4,2,1.0153155000043625,14.504507142919465,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,22,0.3142857142857143,4,1,1.0023596999890287,14.319424285557554,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
lora_information_12,12,70,21,0.3,5,1,0.9942996999961906,14.204281428517008,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,21,0.3,0,0,0.17916439999680733,2.5594914285258192,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,18,0.2571428571428571,3,0,1.0924666999999317,15.606667142856168,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,15,0.21428571428571427,6,0,1.1569802000194613,16.52828857170659,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
lora_information_12,12,70,18,0.2571428571428571,3,0,1.0945582000094873,15.636545714421247,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,23,0.32857142857142857,0,0,0.1586740999991889,2.26677285713127,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,19,0.2714285714285714,4,0,0.9244984000069962,13.207120000099946,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,19,0.2714285714285714,4,0,0.9392384000057064,13.417691428652947,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
lora_information_12,12,70,16,0.22857142857142856,7,0,0.9499970999895595,13.571387142707993,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
