sf,tx_power_dbm,capture_count,ok_capture_count,header_valid_packets,probe_traditional_fft_crc_valid_rate,probe_current_selected_crc_valid_rate,probe_savaux_paper_crc_valid_rate,probe_savaux_codec_crc_valid_rate
12,10,2,2,6,0.0,0.0,0.0,0.0
12,14,4,4,12,0.0,0.0,0.0,0.0
