snr_label,added_snr_db,method,decisions,errors,ser,fixes_vs_savaux,breaks_vs_savaux,paired_sign_p,mean_gt_to_mean_energy,mean_gt_margin_db,mean_gt_floor_db
clean,,savaux,8,0,0.0,0,0,1.0,120.92103185452056,12.73008968967454,22.93197107269016
clean,,plain_nus_mean,8,1,0.125,0,1,1.0,20.794416857719924,4.045328383818269,12.529737487612222
clean,,phase_fft_1,8,0,0.0,0,0,1.0,115.49601708787851,11.97140738689065,22.67278954924109
clean,,phase_fft_2,8,0,0.0,0,0,1.0,126.26499150918681,12.813484120013044,23.150766960796282
clean,,exact_nus_coherent,8,0,0.0,0,0,1.0,120.92104526805893,12.730090251836385,22.93197066532783
