branch_dimension,branch_covariance_count,branch_snapshots,branch_diagonal_cv,branch_mean_abs_correlation,branch_max_abs_correlation,pair_dimension,pair_snapshots,pair_diagonal_cv,pair_mean_abs_correlation,pair_max_abs_correlation,dataset,snr_db,seed,offpacket_windows,branch_gls_active,min_branch_correlation
4,1024,256,0.026894504671349267,0.365267575021024,0.5127684334041333,2,4096,0.6927278158463448,0.002704090961052425,0.002704090961052425,0_0_0_10_14_32,-18.0,42,256,1,0.05
4,1024,256,0.026900211301214304,0.3651756763576368,0.5130057732240817,2,4096,0.6946245041065855,0.002164719106786779,0.002164719106786779,0_0_0_10_14_32,-20.0,42,256,1,0.05
4,1024,256,0.026905475285550328,0.36511495260525517,0.513184223224032,2,4096,0.6958543829265069,0.002074334681356682,0.002074334681356682,0_0_0_10_14_32,-22.0,42,256,1,0.05
