method,packet_index,symbol_index,gt_bin,savaux_bin,proposal_bin,savaux_correct,proposal_correct,savaux_margin_db,savaux_consistency,proposal_consistency,consistency_margin_db,color_mismatch,branch_color_mismatch,accepted,dataset,noise_mode,snr_db,seed,lora_guard_segments
information_8_wrap_lora_guarded,0,15,267,728,587,0,0,0.09125832726265264,0.5040634047483192,0.5969308930561266,0.73438886993123,0.0666442539444979,0.08197106518513479,1,0_0_0_10_14_16,awgn,-24.0,42,8
information_8_wrap_lora_guarded,0,19,510,641,547,0,0,0.0582096800498886,0.518092561759712,0.41664776179028384,-0.9463830401728223,0.07094508213697369,0.05084749994159058,0,0_0_0_10_14_16,awgn,-24.0,42,8
information_8_wrap_lora_guarded,1,43,865,865,247,1,0,0.3026675914017812,0.541686573079171,0.7739286330209163,1.5495284378603293,0.06454633388571833,0.07478393607979864,1,0_0_0_10_14_16,awgn,-24.0,42,8
information_8_wrap_lora_guarded,1,62,602,365,588,0,0,0.1572149048669608,0.4261332983117866,0.510870412532411,0.7876527934115025,0.09071885065971308,0.0500290922588798,1,0_0_0_10_14_16,awgn,-24.0,42,8
information_8_wrap_lora_guarded,1,45,765,233,493,0,0,0.0796450175165738,0.4932553963242156,0.3889233071524782,-1.0320787517369545,0.07281822939341422,0.05050554253867112,0,0_0_0_10_14_16,awgn,-24.0,43,8
information_8_wrap_lora_guarded,1,66,912,851,912,0,1,0.3000422454278662,0.4251550006089697,0.49833222136875227,0.689716773205278,0.07278209470473349,0.05599912513492165,1,0_0_0_10_14_16,awgn,-24.0,43,8
information_8_wrap_lora_guarded,0,8,865,374,865,0,1,0.32210575755366944,0.4986238569447385,0.5527537978030227,0.44758681432421876,0.08114410382976697,0.05779657401342084,1,0_0_0_10_14_16,awgn,-24.0,44,8
information_8_wrap_lora_guarded,0,15,267,990,95,0,0,0.3777317386154543,0.5280216053736652,0.38857007528708326,-1.3318234169015764,0.06668212442082494,0.04684651083062108,0,0_0_0_10_14_16,awgn,-24.0,44,8
information_8_wrap_lora_guarded,0,17,656,632,163,0,0,0.03315692516783919,0.6994524180829237,0.3898766179143735,-2.5383098590686357,0.0984323561628943,0.0545132034983082,0,0_0_0_10_14_16,awgn,-24.0,44,8
information_8_wrap_lora_guarded,0,24,874,39,874,0,1,0.12069421878802068,0.5051729544734644,0.495229202242323,-0.0863384574724562,0.07211671146852258,0.0534387168790198,0,0_0_0_10_14_16,awgn,-24.0,44,8
information_8_wrap_lora_guarded,0,26,314,314,449,1,0,0.013640385019355121,0.4839698054735345,0.6273989898117162,1.1272554792494254,0.08924933583260765,0.08747048853487735,1,0_0_0_10_14_16,awgn,-24.0,44,8
information_8_wrap_lora_guarded,1,52,656,656,277,1,0,0.15517204952854538,0.5086624404114624,0.5113274154174501,0.022694080073699923,0.07071780368249131,0.04455088114263701,1,0_0_0_10_14_16,awgn,-24.0,44,8
information_8_wrap_lora_guarded,1,61,314,314,160,1,0,0.2990848407815167,0.5098453510835085,0.6956188287035386,1.3493286514634104,0.08027974529780997,0.07053011729231101,1,0_0_0_10_14_16,awgn,-24.0,44,8
