file_name,target_snr_db,signal_reference_power,added_noise_power,seed,cfo_correction_mode,frame_index,packet_index,event_index,payload_symbol_index,frame_symbol_index,start_sample,header_start_sample,sf,os_factor,cfo_int,cfo_frac,cfo_common_phase_rad,sto_frac,sfo_hat,gt_raw_fft_bin,gt_signed_fft_bin,noisy_argmax_bin,is_argmax_correct,gt_bin_rank,gt_bin_real,gt_bin_imag,gt_bin_amp,gt_bin_power,gt_bin_phase,gt_peak_energy_ratio,gt_to_argmax_power_db,selected_peak_amp,selected_peak_power,selected_peak_phase,selected_peak_margin_db,total_fft_energy,clean_gt_peak_amp,clean_gt_peak_phase,gt_bin_phase_unwrap,phase_linear_fit,phase_linear_residual,packet_phase_slope_pi_per_symbol,packet_phase_linear_r2,packet_phase_linear_rmse_pi,packet_residual_quad_r2
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,7.297427983845209e-05,0.01456028305236567,20260531,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,222,222,222,1,1,11.382766723632812,-3.531541109085083,11.918018328975684,142.03915405273438,-0.30083675915733354,0.00927585819876558,0.0,11.918018328975684,142.03915405273438,-0.30083675915733354,1.1549077383281778,15312.777643758804,7.063831186843052,-3.098894693806952,-0.30083675915733354,0.44262646104243064,-0.7434632201997643,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,7.297427983845209e-05,0.01456028305236567,20260531,continuous,0,1,1,1,9,2555056,2518192,10,4,-24,-0.42916033761813344,-1381.436471700509,-0.04216817378983262,-0.006261318519996445,826,-198,1007,0,151,5.266820907592773,0.7753186225891113,5.323581636378824,28.340517044067383,0.1461583569102061,0.001877989254199209,-5.808652001869291,10.390501258508337,107.96250915527344,-1.8700649771465474,0.4950507200394373,15090.883497175295,6.74510206672026,0.4595877892856269,0.1461583569102061,0.27657051095450136,-0.13041215404429526,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,7.297427983845209e-05,0.01456028305236567,20260531,continuous,0,1,1,2,10,2559152,2518192,10,4,-24,-0.42916033761813344,-1534.9294130005655,-0.04216817378983262,-0.006261318519996445,922,-102,637,0,316,4.190442085266113,-0.5675660371780396,4.228703829369869,17.88193702697754,-0.13462377082203741,0.0011324593475288268,-8.797344915730228,11.643257686268937,135.56546020507812,-0.23936116577846872,0.4771556095743274,15790.356683441438,7.440769902043106,-2.3172671145511328,-0.13462377082203741,0.11051456086657213,-0.24513833168860955,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,7.297427983845209e-05,0.01456028305236567,20260531,continuous,0,1,1,3,11,2563248,2518192,10,4,-24,-0.42916033761813344,-1688.422354300622,-0.04216817378983262,-0.006261318519996445,718,-306,718,1,1,7.3597412109375,-7.537569999694824,10.534740252719628,110.98075866699219,-0.7973345686059585,0.007606265184421946,0.0,10.534740252719628,110.98075866699219,-0.7973345686059585,0.5650999511052848,14590.703318402171,7.401109039565556,1.2288693529772425,-0.7973345686059585,-0.055541389221357096,-0.7417931793846014,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,7.297427983845209e-05,0.01456028305236567,20260531,continuous,0,1,1,4,12,2567344,2518192,10,4,-24,-0.42916033761813344,-1841.9152956006785,-0.04216817378983262,-0.006261318519996445,107,107,989,0,19,6.578640937805176,-4.201112270355225,7.805630076854487,60.92786407470703,-0.568318524445773,0.003917525039295177,-3.0031942515735532,11.029802299785917,121.6565170288086,-1.4372836148294899,1.3345923156208095,15552.641901088879,7.367553942644698,-1.5304539817973404,-0.568318524445773,-0.22159733930928638,-0.34672118513648664,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,7.297427983845209e-05,0.01456028305236567,20260531,continuous,0,1,1,5,13,2571440,2518192,10,4,-24,-0.42916033761813344,-1995.4082369007351,-0.04216817378983262,-0.006261318519996445,468,468,880,0,824,1.0762852430343628,-1.3829771280288696,1.7524313570078909,3.0710153579711914,-0.9094665180913474,0.0002035245482966812,-15.66828277426917,10.642781145702813,113.26879119873047,1.0297523417989258,0.44566442486787144,15089.164347361773,7.34648279164602,1.9985015584324404,-0.9094665180913474,-0.38765328939721566,-0.5218132286941317,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,7.297427983845209e-05,0.01456028305236567,20260531,continuous,0,1,1,6,14,2575536,2518192,10,4,-24,-0.42916033761813344,-2148.9011782007915,-0.04216817378983262,-0.006261318519996445,89,89,921,0,927,0.5156959295272827,-0.9458487033843994,1.0772985015421481,1.1605720520019531,-1.0716301432069346,7.830851503784838e-05,-19.721792096240716,10.433394751608535,108.8557357788086,1.337082869644148,0.5467179963599813,14820.509001364931,7.345387635035792,-0.7786539625172761,-1.0716301432069346,-0.5537092394851448,-0.5179209037217898,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,7.297427983845209e-05,0.01456028305236567,20260531,continuous,0,1,1,7,15,2579633,2518192,10,4,-24,-0.42916033761813344,-2302.4315933634703,-0.04216817378983262,-0.006261318519996445,713,-311,713,1,1,10.253308296203613,-8.084070205688477,13.056895576954652,170.4825439453125,-0.6676494086921438,0.01139923431679204,0.0,13.056895576954652,170.4825439453125,-0.6676494086921438,2.2934587703241984,14955.613614694914,7.212777183507643,2.699145587458501,-0.6676494086921438,-0.7197651895730741,0.052115780880930274,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,7.297427983845209e-05,0.01456028305236567,20260531,continuous,0,1,1,8,16,2583729,2518192,10,4,-24,-0.42916033761813344,-2455.9245346635266,-0.04216817378983262,-0.006261318519996445,865,-159,865,1,1,4.670978546142578,-10.899457931518555,11.858171181909416,140.61622619628906,-1.1659214155629685,0.009043838012264665,0.0,11.858171181909416,140.61622619628906,-1.1659214155629685,0.27373359443098166,15548.2911133077,7.323200850899506,-0.10777339604293505,-1.1659214155629685,-0.8858211396610034,-0.28010027590196507,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,7.297427983845209e-05,0.01456028305236567,20260531,continuous,0,1,1,9,17,2587825,2518192,10,4,-24,-0.42916033761813344,-2609.4174759635835,-0.04216817378983262,-0.006261318519996445,492,492,449,0,6,6.771976947784424,-5.808000087738037,8.92146494699658,79.59253692626953,-0.7089197479576693,0.005028069225162889,-1.5634254509883014,10.680890067838519,114.08141326904297,0.2714180393893983,0.21483022215246317,15829.642226871103,7.328638112433475,-2.891570629016237,-0.7089197479576693,-1.0518770897489327,0.34295734179126336,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
