window_index,start_sample,end_sample,peak_bin,peak_bin_div_os,peak_power,second_power,total_power,confidence_db,peak_share,valid
0,0,16384,-1,-0.25,0.0,0.0,0.0,nan,nan,0
1,4096,20480,-1,-0.25,0.0,0.0,0.0,nan,nan,0
2,8192,24576,-1,-0.25,0.0,0.0,0.0,nan,nan,0
3,12288,28672,-1,-0.25,0.0,0.0,0.0,nan,nan,0
4,16384,32768,-1,-0.25,0.0,0.0,0.0,nan,nan,0
5,20480,36864,-1,-0.25,0.0,0.0,0.0,nan,nan,0
6,24576,40960,-1,-0.25,0.0,0.0,0.0,nan,nan,0
7,28672,45056,-1,-0.25,0.0,0.0,0.0,nan,nan,0
8,32768,49152,-1,-0.25,0.0,0.0,0.0,nan,nan,0
9,36864,53248,-1,-0.25,0.0,0.0,0.0,nan,nan,0
10,40960,57344,-1,-0.25,0.0,0.0,0.0,nan,nan,0
11,45056,61440,-1,-0.25,0.0,0.0,0.0,nan,nan,0
12,49152,65536,-1,-0.25,0.0,0.0,0.0,nan,nan,0
13,53248,69632,-1,-0.25,0.0,0.0,0.0,nan,nan,0
14,57344,73728,-1,-0.25,0.0,0.0,0.0,nan,nan,0
15,61440,77824,-1,-0.25,0.0,0.0,0.0,nan,nan,0
16,65536,81920,-1,-0.25,0.0,0.0,0.0,nan,nan,0
17,69632,86016,-1,-0.25,0.0,0.0,0.0,nan,nan,0
18,73728,90112,-1,-0.25,0.0,0.0,0.0,nan,nan,0
19,77824,94208,-1,-0.25,0.0,0.0,0.0,nan,nan,0
20,81920,98304,-1,-0.25,0.0,0.0,0.0,nan,nan,0
21,86016,102400,-1,-0.25,0.0,0.0,0.0,nan,nan,0
22,90112,106496,-1,-0.25,0.0,0.0,0.0,nan,nan,0
23,94208,110592,-1,-0.25,0.0,0.0,0.0,nan,nan,0
24,98304,114688,-1,-0.25,0.0,0.0,0.0,nan,nan,0
25,102400,118784,-1,-0.25,0.0,0.0,0.0,nan,nan,0
26,106496,122880,-1,-0.25,0.0,0.0,0.0,nan,nan,0
27,110592,126976,-1,-0.25,0.0,0.0,0.0,nan,nan,0
28,114688,131072,-1,-0.25,0.0,0.0,0.0,nan,nan,0
29,118784,135168,-1,-0.25,0.0,0.0,0.0,nan,nan,0
30,122880,139264,-1,-0.25,0.0,0.0,0.0,nan,nan,0
31,126976,143360,-1,-0.25,0.0,0.0,0.0,nan,nan,0
32,131072,147456,-1,-0.25,0.0,0.0,0.0,nan,nan,0
33,135168,151552,-1,-0.25,0.0,0.0,0.0,nan,nan,0
34,139264,155648,-1,-0.25,0.0,0.0,0.0,nan,nan,0
35,143360,159744,-1,-0.25,0.0,0.0,0.0,nan,nan,0
36,147456,163840,-1,-0.25,0.0,0.0,0.0,nan,nan,0
37,151552,167936,-1,-0.25,0.0,0.0,0.0,nan,nan,0
38,155648,172032,-1,-0.25,0.0,0.0,0.0,nan,nan,0
39,159744,176128,-1,-0.25,0.0,0.0,0.0,nan,nan,0
40,163840,180224,-1,-0.25,0.0,0.0,0.0,nan,nan,0
41,167936,184320,-1,-0.25,0.0,0.0,0.0,nan,nan,0
42,172032,188416,-1,-0.25,0.0,0.0,0.0,nan,nan,0
43,176128,192512,-1,-0.25,0.0,0.0,0.0,nan,nan,0
44,180224,196608,-1,-0.25,0.0,0.0,0.0,nan,nan,0
45,184320,200704,-1,-0.25,0.0,0.0,0.0,nan,nan,0
46,188416,204800,-1,-0.25,0.0,0.0,0.0,nan,nan,0
47,192512,208896,-1,-0.25,0.0,0.0,0.0,nan,nan,0
48,196608,212992,-1,-0.25,0.0,0.0,0.0,nan,nan,0
49,200704,217088,-1,-0.25,0.0,0.0,0.0,nan,nan,0
50,204800,221184,-1,-0.25,0.0,0.0,0.0,nan,nan,0
51,208896,225280,-1,-0.25,0.0,0.0,0.0,nan,nan,0
52,212992,229376,-1,-0.25,0.0,0.0,0.0,nan,nan,0
53,217088,233472,-1,-0.25,0.0,0.0,0.0,nan,nan,0
54,221184,237568,-1,-0.25,0.0,0.0,0.0,nan,nan,0
55,225280,241664,-1,-0.25,0.0,0.0,0.0,nan,nan,0
56,229376,245760,-1,-0.25,0.0,0.0,0.0,nan,nan,0
57,233472,249856,-1,-0.25,0.0,0.0,0.0,nan,nan,0
58,237568,253952,-1,-0.25,0.0,0.0,0.0,nan,nan,0
59,241664,258048,-1,-0.25,0.0,0.0,0.0,nan,nan,0
60,245760,262144,-1,-0.25,0.0,0.0,0.0,nan,nan,0
61,249856,266240,-1,-0.25,0.0,0.0,0.0,nan,nan,0
62,253952,270336,-1,-0.25,0.0,0.0,0.0,nan,nan,0
63,258048,274432,-1,-0.25,0.0,0.0,0.0,nan,nan,0
64,262144,278528,-1,-0.25,0.0,0.0,0.0,nan,nan,0
65,266240,282624,-1,-0.25,0.0,0.0,0.0,nan,nan,0
66,270336,286720,-1,-0.25,0.0,0.0,0.0,nan,nan,0
67,274432,290816,-1,-0.25,0.0,0.0,0.0,nan,nan,0
68,278528,294912,-1,-0.25,0.0,0.0,0.0,nan,nan,0
69,282624,299008,-1,-0.25,0.0,0.0,0.0,nan,nan,0
70,286720,303104,-1,-0.25,0.0,0.0,0.0,nan,nan,0
71,290816,307200,-1,-0.25,0.0,0.0,0.0,nan,nan,0
72,294912,311296,-1,-0.25,0.0,0.0,0.0,nan,nan,0
73,299008,315392,-1,-0.25,0.0,0.0,0.0,nan,nan,0
74,303104,319488,-1,-0.25,0.0,0.0,0.0,nan,nan,0
75,307200,323584,-1,-0.25,0.0,0.0,0.0,nan,nan,0
76,311296,327680,-1,-0.25,0.0,0.0,0.0,nan,nan,0
77,315392,331776,-1,-0.25,0.0,0.0,0.0,nan,nan,0
78,319488,335872,-1,-0.25,0.0,0.0,0.0,nan,nan,0
79,323584,339968,-1,-0.25,0.0,0.0,0.0,nan,nan,0
80,327680,344064,-1,-0.25,0.0,0.0,0.0,nan,nan,0
81,331776,348160,-1,-0.25,0.0,0.0,0.0,nan,nan,0
82,335872,352256,-1,-0.25,0.0,0.0,0.0,nan,nan,0
83,339968,356352,-1,-0.25,0.0,0.0,0.0,nan,nan,0
84,344064,360448,-1,-0.25,0.0,0.0,0.0,nan,nan,0
85,348160,364544,-1,-0.25,0.0,0.0,0.0,nan,nan,0
86,352256,368640,-1,-0.25,0.0,0.0,0.0,nan,nan,0
87,356352,372736,-1,-0.25,0.0,0.0,0.0,nan,nan,0
88,360448,376832,-1,-0.25,0.0,0.0,0.0,nan,nan,0
89,364544,380928,-1,-0.25,0.0,0.0,0.0,nan,nan,0
90,368640,385024,-1,-0.25,0.0,0.0,0.0,nan,nan,0
91,372736,389120,-1,-0.25,0.0,0.0,0.0,nan,nan,0
92,376832,393216,-1,-0.25,0.0,0.0,0.0,nan,nan,0
93,380928,397312,-1,-0.25,0.0,0.0,0.0,nan,nan,0
94,385024,401408,-1,-0.25,0.0,0.0,0.0,nan,nan,0
95,389120,405504,-1,-0.25,0.0,0.0,0.0,nan,nan,0
96,393216,409600,-1,-0.25,0.0,0.0,0.0,nan,nan,0
97,397312,413696,-1,-0.25,0.0,0.0,0.0,nan,nan,0
98,401408,417792,-1,-0.25,0.0,0.0,0.0,nan,nan,0
99,405504,421888,-1,-0.25,0.0,0.0,0.0,nan,nan,0
100,409600,425984,-1,-0.25,0.0,0.0,0.0,nan,nan,0
101,413696,430080,-1,-0.25,0.0,0.0,0.0,nan,nan,0
102,417792,434176,-1,-0.25,0.0,0.0,0.0,nan,nan,0
103,421888,438272,-1,-0.25,0.0,0.0,0.0,nan,nan,0
104,425984,442368,-1,-0.25,0.0,0.0,0.0,nan,nan,0
105,430080,446464,-1,-0.25,0.0,0.0,0.0,nan,nan,0
106,434176,450560,-1,-0.25,0.0,0.0,0.0,nan,nan,0
107,438272,454656,-1,-0.25,0.0,0.0,0.0,nan,nan,0
108,442368,458752,-1,-0.25,0.0,0.0,0.0,nan,nan,0
109,446464,462848,-1,-0.25,0.0,0.0,0.0,nan,nan,0
110,450560,466944,-1,-0.25,0.0,0.0,0.0,nan,nan,0
111,454656,471040,-1,-0.25,0.0,0.0,0.0,nan,nan,0
112,458752,475136,-1,-0.25,0.0,0.0,0.0,nan,nan,0
113,462848,479232,-1,-0.25,0.0,0.0,0.0,nan,nan,0
114,466944,483328,-1,-0.25,0.0,0.0,0.0,nan,nan,0
115,471040,487424,-1,-0.25,0.0,0.0,0.0,nan,nan,0
116,475136,491520,-1,-0.25,0.0,0.0,0.0,nan,nan,0
117,479232,495616,-1,-0.25,0.0,0.0,0.0,nan,nan,0
118,483328,499712,-1,-0.25,0.0,0.0,0.0,nan,nan,0
119,487424,503808,-1,-0.25,0.0,0.0,0.0,nan,nan,0
120,491520,507904,-1,-0.25,0.0,0.0,0.0,nan,nan,0
121,495616,512000,-1,-0.25,0.0,0.0,0.0,nan,nan,0
122,499712,516096,-1,-0.25,0.0,0.0,0.0,nan,nan,0
123,503808,520192,-1,-0.25,0.0,0.0,0.0,nan,nan,0
124,507904,524288,-1,-0.25,0.0,0.0,0.0,nan,nan,0
125,512000,528384,-1,-0.25,0.0,0.0,0.0,nan,nan,0
126,516096,532480,-1,-0.25,0.0,0.0,0.0,nan,nan,0
127,520192,536576,-1,-0.25,0.0,0.0,0.0,nan,nan,0
128,524288,540672,-1,-0.25,0.0,0.0,0.0,nan,nan,0
129,528384,544768,-1,-0.25,0.0,0.0,0.0,nan,nan,0
130,532480,548864,-1,-0.25,0.0,0.0,0.0,nan,nan,0
131,536576,552960,-1,-0.25,0.0,0.0,0.0,nan,nan,0
132,540672,557056,-1,-0.25,0.0,0.0,0.0,nan,nan,0
133,544768,561152,-1,-0.25,0.0,0.0,0.0,nan,nan,0
