capture,packet_index,frame_index,payload_start_sample,payload_start_time_s,symbol_count,dechirp_gt_bin_energy,dechirp_residual_fft_energy,dechirp_total_fft_energy,dechirp_gt_energy_ratio,dechirp_gt_packet_snr_db
low1,1,0,1736735,3.47347,49,0.5036868393102281,0.02989279622701802,0.5335796355372462,0.9439768794831911,12.265940618069973
low1,2,1,3237101,6.474202,49,0.5091582808327957,0.02890114487664354,0.5380594257094393,0.9462863328924365,12.45937764387371
low1,4,2,6237828,12.475656,49,0.3351805416924732,0.021458069980722985,0.35663861167319616,0.9398324542593668,11.936881411874701
low1,5,3,7738193,15.476386,49,0.2973639132254357,0.019254559913180515,0.31661847313861624,0.9391868714345329,11.887546665846727
low1,6,4,9238556,18.477112,49,0.32146896707533373,0.02128448409050988,0.3427534511658436,0.9379014740242215,11.790759268955114
low1,7,5,10738921,21.477842,49,0.33453105073082073,0.02016618812402402,0.3546972388548448,0.9431453478771601,12.19812620347048
low1,8,6,12239285,24.47857,49,0.3568138933615458,0.021831463879068043,0.3786453572406138,0.9423432416069609,12.133588985676926
low1,9,7,13739651,27.479302,49,0.3139461735057636,0.02061888830383969,0.33456506180960327,0.938371065429499,11.825899480967006
low1,11,8,16740378,33.480756,49,0.305404654241938,0.020148525592795338,0.32555317983473336,0.9381098793044389,11.80632379937121
low1,12,9,18240743,36.481486,49,0.9585824748023553,0.04240920275620138,1.0009916775585566,0.9576328118335226,13.541693764744917
low1,14,10,21241472,42.482944,49,0.3714659427138588,0.023461247778816294,0.3949271904926751,0.9405934857269559,11.995678960930169
