packet_index,frame_index,frame_symbol_index,payload_symbol_index,start_sample,gt_bin,ordinary_fft_bin,savaux_bin,gls_crossfit_bin,gls_offpacket_bin,dechirp_pnr_db,dechirp_gt_bin_power,dechirp_total_fft_energy,dechirp_residual_fft_energy,dechirp_gt_symbol_snr_db,savaux_margin_db,branch_color_mismatch,ordinary_fft_correct,savaux_correct,gls_crossfit_correct,gls_offpacket_correct
1,0,8,0,1736735,803,803,803,803,803,48.32184570560953,0.010314080300086792,0.01071014271836655,0.00039606241827975716,14.156668734151477,21.492657695045125,1.026243823875978,1,1,1,1
1,0,9,1,1740831,711,711,711,711,711,48.41184826960536,0.010461522698790526,0.010872941941740426,0.00041141924294989946,14.053103009898857,23.18948830872567,1.0554669023858765,1,1,1,1
1,0,10,2,1744927,922,922,922,922,922,47.95801990272832,0.010265957997073694,0.010790587081381111,0.0005246290843074174,12.915471197495021,18.921475844168125,1.0327453941146942,1,1,1,1
1,0,11,3,1749023,718,718,718,718,718,48.32732377670388,0.010210001193439178,0.010665803306068127,0.0004558021126289495,13.502494590605048,21.661649568868626,1.072103233453744,1,1,1,1
1,0,12,4,1753119,756,756,756,756,756,48.07148137033738,0.010270557367499988,0.010815376844949315,0.0005448194774493268,12.753413874046878,20.5943859928075,1.0020959818252033,1,1,1,1
1,0,13,5,1757215,109,109,109,109,109,47.543679773496315,0.010066504115626762,0.010730556972097313,0.0006640528564705508,11.806760262434485,17.117691071991995,0.986992140946543,1,1,1,1
1,0,14,6,1761311,932,932,932,932,932,46.87616559526842,0.010207521487189342,0.010961267654604843,0.0007537461674155012,11.316951859109302,16.30285257889115,0.9589082777649538,1,1,1,1
1,0,15,7,1765407,468,468,468,468,468,45.34194508524665,0.010272895196746179,0.011059168644984994,0.0007862734482388146,11.161192473271377,18.716848323965046,0.8175828736133386,1,1,1,1
1,0,16,8,1769503,89,89,89,89,89,44.99086192853361,0.00980292366847163,0.010827248696598407,0.0010243250281267765,9.80917836669891,15.753854479804847,0.8296705561420902,1,1,1,1
1,0,17,9,1773599,713,713,713,713,713,48.092970090252,0.01005579782862065,0.010742404415897985,0.0006866065872773355,11.657085675795782,18.513868077396335,1.0949865095111362,1,1,1,1
1,0,18,10,1777695,865,865,865,865,865,47.89972058823139,0.009909599024528148,0.010786723224768226,0.000877124200240078,10.529949882873396,15.618662349369274,1.0311164964745352,1,1,1,1
