dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,predicted_phase_rad,predicted_fractional_bin,frequency_rmse_bins,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency
0_0_0_10_14_32,-22.0,42,0,0,8,803,130,711,711,711,711,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-1.0738944919499067,0.32731049458324313,0.14507208316957304,0.9174459751727635,0.8510402319203633,711|470|803|814|346|89|404|339,0.91744598|0.95632848|0.77518971|0.98184447|0.91748302|0.7553233|0.9469131|0.81275474
0_0_0_10_14_32,-22.0,42,0,1,9,711,885,711,711,711,711,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-1.2449345850449816,0.37933809480383307,0.14507208316957304,0.9416151662949546,-0.6706435901054868,711|278|44|336|707|23|487|986,0.94161517|0.7752011|0.95982173|0.62900753|0.99926732|0.51811667|0.9374235|0.65803477
0_0_0_10_14_32,-22.0,42,0,2,10,922,971,922,922,922,922,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-1.4159746781400568,0.431365695024423,0.14507208316957304,0.9621263732390277,-1.2022441550924379,922|550|202|813|808|638|18|664,0.96212637|0.62459538|0.99216524|0.6821536|0.72330688|0.59473568|0.99330677|0.95175488
0_0_0_10_14_32,-22.0,42,0,3,11,718,954,718,718,718,718,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-1.5870147712351317,0.48339329524501273,0.14507208316957304,0.9352443347096816,0.8539167778500625,718|265|400|312|825|25|716|493,0.93524433|0.74018043|0.99615969|0.85293882|0.89901449|0.55249603|0.94922666|0.99023768
0_0_0_10_14_32,-22.0,42,0,4,12,107,640,107,107,107,107,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-1.7580548643302065,0.5,0.14507208316957304,0.9347442639829698,1.5769091285832166,107|599|514|189|897|505|679|694,0.93474426|0.96232928|0.85605426|0.40031309|0.89112326|0.51480426|0.71112295|0.68713423
0_0_0_10_14_32,-22.0,42,0,5,13,468,223,468,468,468,468,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-1.9290949574252818,0.5,0.14507208316957304,0.8472294528749759,0.03371754127265536,468|546|156|846|389|1008|714|137,0.84722945|0.8317792|0.62282459|0.94676514|0.99272815|0.81381139|0.87573181|0.79890641
0_0_0_10_14_32,-22.0,42,0,6,14,89,697,89,89,189,189,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-2.100135050520357,0.5,0.14507208316957304,0.7174681565926261,-0.9755068258001449,89|189|633|619|772|129|224|319,0.46313597|0.71746816|0.99199388|0.99226114|0.94746469|0.44040234|0.8135396|0.762885
0_0_0_10_14_32,-22.0,42,0,7,15,713,777,713,501,713,501,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-2.2711751436154324,0.5,0.14507208316957304,0.5788993087096554,1.4811166038140056,501|713|982|872|20|905|776|531,0.57889931|0.70746342|0.99857194|0.67411799|0.6992826|0.93582145|0.35723914|0.51547211
0_0_0_10_14_32,-22.0,42,0,8,16,865,572,171,171,171,171,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-2.4422152367105077,0.5,0.14507208316957304,0.9989312706543889,-0.06701987486923722,171|396|676|272|865|906|838|671,0.99893127|0.85733859|0.95041399|0.30194191|0.86623005|0.98277798|0.34440786|0.97085927
0_0_0_10_14_32,-22.0,42,0,9,17,492,220,492,492,492,492,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-2.613255329805582,0.5,0.14507208316957304,0.4218965464245675,1.8902245114716731,492|193|51|934|297|493|138|159,0.42189655|0.77900121|0.94649208|0.90223034|0.39540589|0.69822676|0.18767516|0.99105111
0_0_0_10_14_32,-22.0,42,0,10,18,765,43,765,765,765,765,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-2.7842954229006573,0.5,0.14507208316957304,0.9880503533286812,0.20184381076575875,765|896|634|44|344|211|925|43,0.98805035|0.81786757|0.70657459|0.6773558|0.62088165|0.89019365|0.88035069|0.85075115
0_0_0_10_14_32,-22.0,42,0,11,19,1023,621,693,693,693,693,0,0,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-2.9553355159957326,0.5,0.14507208316957304,0.39836841565108183,2.0666725366332495,693|593|477|338|299|215|733|468,0.39836842|0.41051373|0.67087387|0.76542868|0.35105192|0.99840227|0.083121773|0.7470026
0_0_0_10_14_32,-22.0,42,0,12,20,597,331,539,539,539,539,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-3.126375609090808,0.5,0.14507208316957304,0.667194896769079,1.283946071978701,539|886|47|597|153|854|598|171,0.6671949|0.72607896|0.89072126|0.8298566|0.99601065|0.2916967|0.4230021|0.85295808
0_0_0_10_14_32,-22.0,42,0,13,21,562,947,562,562,562,562,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-3.2974157021858823,0.5,0.14507208316957304,0.7442040931172461,-0.07691464085009006,562|262|450|1001|568|160|780|838,0.74420409|0.42273442|0.35476779|0.70068633|0.67704683|0.90146008|0.95356968|0.76871084
0_0_0_10_14_32,-22.0,42,0,14,22,478,3,839,839,839,839,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-3.4684557952809576,0.5,0.14507208316957304,0.6997000951212774,2.6147357794010224,839|478|656|205|335|808|936|211,0.6997001|0.74191691|0.11368946|0.40462442|0.33893704|0.63347351|0.59385027|0.82004497
0_0_0_10_14_32,-22.0,42,0,15,23,267,856,267,267,267,267,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-3.639495888376033,0.5,0.14507208316957304,0.9626872397683305,-0.1743000651032125,267|437|171|101|632|287|732|329,0.96268724|0.5201488|0.45841809|0.52837918|0.30746607|0.87341559|0.39388982|0.066168161
0_0_0_10_14_32,-22.0,42,0,16,24,917,567,917,917,917,917,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-3.810535981471108,0.5,0.14507208316957304,0.9329886839663601,2.66074220229678,917|984|166|935|453|550|163|397,0.93298868|0.97822302|0.77780315|0.71732579|0.44906744|0.54973454|0.2997192|0.064687753
0_0_0_10_14_32,-22.0,42,0,17,25,656,531,381,224,224,224,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-3.9815760745661835,0.5,0.14507208316957304,0.6872096343237946,1.621557626539237,224|207|381|65|347|714|876|656,0.68720963|0.1284975|0.074737741|0.64625248|0.015054484|0.50160414|0.89481591|0.69004008
0_0_0_10_14_32,-22.0,42,0,18,26,889,456,889,889,889,889,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-4.152616167661257,0.5,0.14507208316957304,0.799875314341789,0.897603543302324,889|553|894|460|699|364|746|1002,0.79987531|0.10573161|0.30892554|0.42907947|0.20516565|0.7962379|0.34928235|0.90436964
0_0_0_10_14_32,-22.0,42,0,19,27,510,525,510,510,510,510,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-4.323656260756334,0.5,0.14507208316957304,0.090088894543523,2.6091084476606152,510|633|933|783|320|184|82|340,0.090088895|0.03582442|0.82195148|0.7748729|0.80480378|0.70481978|0.93838646|0.41720126
0_0_0_10_14_32,-22.0,42,0,20,28,860,500,340,340,340,830,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-4.494696353851408,0.5,0.14507208316957304,0.5743478636742106,-2.748062304723167,340|830|860|135|438|82|335|953,0.49420164|0.57434786|0.60050277|0.80652522|0.80858641|0.98741338|0.39249372|0.44771395
0_0_0_10_14_32,-22.0,42,0,21,29,553,694,553,553,553,553,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-4.665736446946484,0.5,0.14507208316957304,0.44816434293185636,1.5629469101879785,553|244|367|775|596|900|130|522,0.44816434|0.97762264|0.0082245513|0.72222661|0.33870191|0.84422084|0.52606483|0.11103842
0_0_0_10_14_32,-22.0,42,0,22,30,629,23,629,629,624,624,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-4.8367765400415585,0.5,0.14507208316957304,0.5607089550754885,1.5394508805940335,629|624|361|315|405|779|166|826,0.0086476772|0.56070896|0.17228387|0.079268108|0.23862336|0.638807|0.64909163|0.58106525
0_0_0_10_14_32,-22.0,42,0,23,31,759,357,946,946,946,946,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-5.007816633136633,0.5,0.14507208316957304,0.9950617237274133,1.1319788398647732,946|238|759|619|341|998|950|101,0.99506172|0.32654284|0.89048973|0.26158325|0.61678684|0.71613171|0.66008923|0.89138953
0_0_0_10_14_32,-22.0,42,0,24,32,874,592,877,877,877,877,0,0,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-5.178856726231709,0.5,0.14507208316957304,0.849468580630452,2.2472420849757624,877|884|94|98|50|295|864|729,0.84946858|0.5373482|0.50140853|0.84917684|0.97504284|0.50074597|0.87812754|0.91809256
0_0_0_10_14_32,-22.0,42,0,25,33,720,16,720,720,720,720,1,1,8,0.5858432380791162,0.3854408638561445,0.11563225915684334,-5.3498968193267835,0.5,0.14507208316957304,0.5982039283948002,-2.3235564649935214,720|256|40|723|495|865|551|44,0.59820393|0.14750528|0.49415964|0.12418429|0.16233341|0.83176392|0.89039374|0.77838285
