method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db
savaux,0,70,1,0.014285714285714285,0,0,0.6381699000012304,9.116712857160435,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,1,0.014285714285714285,0,0,1.1005088000019896,15.721554285742709,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,2,0.02857142857142857,0,1,1.2044362999840814,17.20623285691545,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,2,0.02857142857142857,0,1,1.3075150000004214,18.678785714291735,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,2,0.02857142857142857,0,1,0.20225469999058987,2.8893528570084266,11,0.15714285714285714,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,8,0.11428571428571428,0,0,0.29162910000013653,4.16613000000195,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,8,0.11428571428571428,0,0,1.1147001000099408,15.924287142999153,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,8,0.11428571428571428,0,0,1.103908799996134,15.770125714230485,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,10,0.14285714285714285,0,2,1.21829119999893,17.404159999984717,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,10,0.14285714285714285,0,2,0.37938859998757835,5.4198371426796905,21,0.3,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,16,0.22857142857142856,0,0,0.296678000009706,4.2382571429958,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,17,0.24285714285714285,2,3,1.2410931999947934,17.729902857068478,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,18,0.2571428571428571,1,3,1.1339873999822885,16.19981999974698,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,20,0.2857142857142857,1,5,1.2322060999758833,17.602944285369762,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,20,0.2857142857142857,1,5,0.6155064999766182,8.792949999665975,34,0.4857142857142857,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,1,0.014285714285714285,0,0,0.26436009997632937,3.7765728568047052,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,2,0.02857142857142857,0,1,1.1804559000120207,16.86365571445744,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,2,0.02857142857142857,0,1,1.1974537000023702,17.10648142860529,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,3,0.04285714285714286,0,2,1.284698399987974,18.352834285542485,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,3,0.04285714285714286,0,2,0.21233269999356708,3.033324285622387,12,0.17142857142857143,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,8,0.11428571428571428,0,0,0.25428350000220235,3.632621428602891,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,10,0.14285714285714285,0,2,1.0365074000255845,14.807248571794064,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,7,0.1,1,0,1.0556360999908065,15.080515714154378,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,6,0.08571428571428572,2,0,1.1416967999975896,16.30995428567985,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,6,0.08571428571428572,2,0,0.3360114999995858,4.800164285708369,20,0.2857142857142857,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,15,0.21428571428571427,0,0,0.2802236000170524,4.003194285957891,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,15,0.21428571428571427,1,1,1.163591999993514,16.622742857050202,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,17,0.24285714285714285,2,4,1.148704800001724,16.4100685714532,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,16,0.22857142857142856,2,3,1.2462492999911774,17.80356142844539,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,16,0.22857142857142856,2,3,0.6180489999969723,8.829271428528175,34,0.4857142857142857,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,1,0.014285714285714285,0,0,0.2926755000007688,4.181078571439555,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,1,0.014285714285714285,0,0,1.2087702000062563,17.26814571437509,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,1,0.014285714285714285,0,0,1.1662951999751385,16.661359999644837,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,1,0.014285714285714285,0,0,1.2773354999662843,18.247649999518348,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,1,0.014285714285714285,0,0,0.1510649999981979,2.1580714285456843,9,0.12857142857142856,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,5,0.07142857142857142,0,0,0.26396740000200225,3.770962857171461,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,6,0.08571428571428572,0,1,1.0323369999969145,14.747671428527351,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,8,0.11428571428571428,0,3,1.022778799997468,14.611125714249543,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
