snr_db,kappa,packets,affine_slope,affine_intercept,second_affine_slope,second_affine_intercept,model_score,model_margin,model_margin_per_packet,joint_top1_count,mean_joint_candidate_rank,app_compared,joint_app_exact,independent_app_exact,expected_affine_ok,candidate_csv
-10,0.0,5,1,1,129,129,-0.0022490517,0.40117174170000003,0.08023434834000001,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m10dB\0_0_0_10_14_16_snr_m10dB_residual_candidates.csv
-10,0.5,5,1,1,129,129,0.55753040805,0.4287956747625,0.08575913495250001,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m10dB\0_0_0_10_14_16_snr_m10dB_residual_candidates.csv
-10,1.0,5,1,1,129,129,1.1173098678,0.456419607825,0.09128392156500001,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m10dB\0_0_0_10_14_16_snr_m10dB_residual_candidates.csv
-10,2.0,5,1,1,129,129,2.2368687872999997,0.5116674739499998,0.10233349478999995,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m10dB\0_0_0_10_14_16_snr_m10dB_residual_candidates.csv
-15,0.0,5,1,1,129,129,-0.0074925901999999996,0.30247529940000006,0.060495059880000014,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m15dB\0_0_0_10_14_16_snr_m15dB_residual_candidates.csv
-15,0.5,5,1,1,129,129,0.5423906556125,0.33040662958750006,0.06608132591750002,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m15dB\0_0_0_10_14_16_snr_m15dB_residual_candidates.csv
-15,1.0,5,1,1,129,129,1.092273901425,0.35833795977500005,0.07166759195500001,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m15dB\0_0_0_10_14_16_snr_m15dB_residual_candidates.csv
-15,2.0,5,1,1,129,129,2.1920403930499996,0.4142006201499999,0.08284012402999999,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m15dB\0_0_0_10_14_16_snr_m15dB_residual_candidates.csv
-20,0.0,5,1,1,129,129,-0.40127081870000003,0.20268407909999997,0.040536815819999995,4,1.2,5,5,4,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m20dB\0_0_0_10_14_16_snr_m20dB_residual_candidates.csv
-20,0.5,5,1,1,129,129,0.10745595529999996,0.23090985835000002,0.04618197167,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m20dB\0_0_0_10_14_16_snr_m20dB_residual_candidates.csv
-20,1.0,5,1,1,129,129,0.6161827293,0.2591356376,0.05182712752,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m20dB\0_0_0_10_14_16_snr_m20dB_residual_candidates.csv
-20,2.0,5,1,1,129,129,1.6336362773000002,0.3155871961000003,0.06311743922000006,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m20dB\0_0_0_10_14_16_snr_m20dB_residual_candidates.csv
-23,0.0,5,1,1,129,129,-0.9183536129000001,0.14658085210000005,0.02931617042000001,4,1.6,5,5,4,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m23dB\0_0_0_10_14_16_snr_m23dB_residual_candidates.csv
-23,0.5,5,1,1,129,129,-0.4807372102125,0.17621981960000005,0.03524396392000001,4,1.2,5,5,4,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m23dB\0_0_0_10_14_16_snr_m23dB_residual_candidates.csv
-23,1.0,5,1,1,129,129,-0.04312080752500003,0.20585878709999994,0.04117175741999999,4,1.2,5,5,4,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m23dB\0_0_0_10_14_16_snr_m23dB_residual_candidates.csv
-23,2.0,5,1,1,129,129,0.83211199785,0.26513672210000006,0.05302734442000001,5,1.0,5,5,5,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_threshold\snr_m23dB\0_0_0_10_14_16_snr_m23dB_residual_candidates.csv
